Structure                	Q	T	D	M
333-EXP-1                7	26	18	0	
333-EXP-11               7	25	19	0	
333-EXP-27               7	26	18	0	
333-EXP-6                7	26	18	0	
333-HD-100C-11           34	19	10	3	
333-HD-100C-14           34	19	10	3	
333-HD-100C-20           34	19	10	3	
333-RV-31                7	11	18	15	
333-RV-32                7	11	18	15	
333U-50C-1               10	33	20	3	
333U-50C-14              10	33	20	3	
333U-50C-20              10	33	20	3	
333U-50C-26              10	30	20	6	
333U-50C-33              10	33	20	3	
333U-50C-48              10	33	20	3	
333U-50C-5               10	33	20	3	
333U-50C-9               10	33	20	3	
