# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0155635 0.0138947 0.0150963 0.0445546 182.48
200 0.0604334 0.0548678 0.0644673 0.179769 215.273
300 0.109875 0.0858603 0.112273 0.308008 272.581
400 0.136502 0.0931718 0.141706 0.37138 315.4
500 0.168357 0.134577 0.188855 0.491789 326.99
600 0.226474 0.192646 0.221922 0.641042 325.401
700 0.261028 0.212915 0.257819 0.731762 307.915
800 0.290494 0.260104 0.302925 0.853523 308.426
900 0.305123 0.265978 0.306829 0.877929 297.82
1000 0.315929 0.29454 0.297632 0.908101 288.99
1100 0.319948 0.333849 0.315312 0.969109 326.346
1200 0.352553 0.362137 0.360883 1.07557 329.628
1300 0.365207 0.389066 0.349051 1.10332 324.959
1400 0.400096 0.409311 0.383815 1.19322 308.482
1500 0.421337 0.438244 0.4263 1.28588 305.028
1600 0.462864 0.455198 0.434494 1.35256 295.447
1700 0.482971 0.453903 0.474331 1.4112 294.85
1800 0.487464 0.456268 0.486764 1.4305 298.152
1900 0.514193 0.505697 0.534625 1.55452 306.294
2000 0.541451 0.585256 0.593368 1.72008 299.238
2100 0.552248 0.596768 0.578878 1.72789 307.739
2200 0.57898 0.59546 0.603299 1.77774 309.673
2300 0.605139 0.579359 0.621667 1.80617 310.835
2400 0.641774 0.582003 0.669645 1.89342 304.58
2500 0.692922 0.589443 0.70414 1.9865 311.344
2600 0.715527 0.61725 0.733024 2.0658 352.365
2700 0.775771 0.645353 0.744637 2.16576 337.918
2800 0.786994 0.687208 0.756167 2.23037 315.21
2900 0.737917 0.715894 0.763654 2.21746 297.227
3000 0.778119 0.705405 0.753269 2.23679 282.112
3100 0.76994 0.693523 0.803689 2.26715 294.905
3200 0.738676 0.726944 0.814712 2.28033 305.023
3300 0.780194 0.744839 0.799494 2.32453 307.866
3400 0.801125 0.74686 0.787656 2.33564 311.796
3500 0.830317 0.766496 0.806466 2.40328 293.011
3600 0.87514 0.750767 0.787786 2.41369 314.339
3700 0.883263 0.701581 0.799629 2.38447 314.775
3800 0.885096 0.741433 0.846261 2.47279 311.799
3900 0.833002 0.765301 0.849541 2.44784 305.31
4000 0.828396 0.790398 0.808384 2.42718 298.661
4100 0.798063 0.805921 0.763878 2.36786 296.846
4200 0.755071 0.758019 0.772298 2.28539 309.302
4300 0.727016 0.759456 0.760769 2.24724 300.167
4400 0.751231 0.799514 0.725747 2.27649 291.987
4500 0.746001 0.776834 0.696642 2.21948 303.961
4600 0.775953 0.806561 0.678015 2.26053 300.226
4700 0.762936 0.848206 0.707668 2.31881 306.003
4800 0.746059 0.877282 0.738847 2.36219 299.4
4900 0.770537 0.897753 0.763332 2.43162 290.359
5000 0.729078 0.87637 0.774743 2.38019 295.108
5100 0.700937 0.879699 0.780716 2.36135 301.992
5200 0.740484 0.889174 0.780412 2.41007 310.854
5300 0.775148 0.863908 0.803639 2.4427 311.418
5400 0.746783 0.85197 0.806352 2.4051 308.892
5500 0.734019 0.84813 0.793688 2.37584 292.903
5600 0.722342 0.821301 0.784998 2.32864 289.887
5700 0.767983 0.800626 0.800706 2.36932 303.625
