# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.00319159 0.00275595 0.00316542 0.00911296 168.429
200 0.00703746 0.00624626 0.00638787 0.0196716 190.09
300 0.00782577 0.00723453 0.00667741 0.0217377 229.453
400 0.00812791 0.00832744 0.00552759 0.0219829 272.256
500 0.00631269 0.00688492 0.00601664 0.0192143 316.041
600 0.00863084 0.0076765 0.00667502 0.0229824 316.505
700 0.011134 0.00994822 0.00813181 0.029214 299.42
800 0.00902786 0.00964645 0.00686369 0.025538 299.126
900 0.00644006 0.00762996 0.00594204 0.0200121 297.038
1000 0.00662361 0.00592826 0.00634306 0.0188949 290.842
1100 0.00789907 0.0080148 0.00752337 0.0234372 293.999
1200 0.0081722 0.00850155 0.00738967 0.0240634 301.834
1300 0.00738999 0.00750123 0.00820826 0.0230995 310.789
1400 0.00706532 0.00735712 0.00724593 0.0216684 307.135
1500 0.0063097 0.00652282 0.00734834 0.0201809 298.315
1600 0.0061036 0.00673506 0.00657921 0.0194179 292.959
1700 0.00677107 0.0073365 0.00761792 0.0217255 283.843
1800 0.00698284 0.00682863 0.0076785 0.02149 301.744
1900 0.00864982 0.00644305 0.0081119 0.0232048 311.029
2000 0.00773327 0.00591557 0.00711068 0.0207595 316.948
2100 0.00697039 0.00658324 0.00719875 0.0207524 303.889
2200 0.00816995 0.00720645 0.00660001 0.0219764 292.97
2300 0.00837342 0.0061335 0.00767427 0.0221812 300.751
2400 0.00779721 0.00798649 0.00811855 0.0239023 299.924
2500 0.00591795 0.0077135 0.00754301 0.0211745 320.959
2600 0.00661553 0.00689564 0.00755317 0.0210643 325.584
2700 0.00720709 0.00803349 0.00804069 0.0232813 298.401
2800 0.00690712 0.00721524 0.00919331 0.0233157 294.077
2900 0.00773084 0.00716091 0.00775767 0.0226494 296.998
3000 0.00701585 0.00724161 0.00825699 0.0225144 314.785
3100 0.00823127 0.00764408 0.00874902 0.0246244 306.569
3200 0.00710835 0.00663256 0.00862699 0.0223679 304.448
3300 0.00691401 0.00683103 0.00766501 0.0214101 287.461
3400 0.00731252 0.00754903 0.00868789 0.0235494 281.314
3500 0.00713308 0.00652933 0.00837776 0.0220402 301.831
3600 0.00820345 0.00665491 0.0082614 0.0231198 304.785
3700 0.00754109 0.00656262 0.00849691 0.0226006 298.744
3800 0.00638909 0.00688247 0.00753233 0.0208039 296.496
3900 0.00614375 0.00728096 0.00618064 0.0196054 291.088
4000 0.00750131 0.00806881 0.00760037 0.0231705 276.519
4100 0.00799078 0.0081299 0.00917048 0.0252912 282.679
4200 0.00610368 0.00709624 0.00871555 0.0219155 302.964
4300 0.00585532 0.00621071 0.00793615 0.0200022 310.019
4400 0.00628802 0.00753835 0.00828245 0.0221088 291.093
4500 0.00753512 0.0081811 0.00728893 0.0230052 290.142
4600 0.00828859 0.00668456 0.00838238 0.0233555 296.15
4700 0.00826297 0.00666676 0.0085232 0.0234529 312.546
4800 0.00869415 0.00802221 0.00885894 0.0255753 309.515
4900 0.00983245 0.00855158 0.00862713 0.0270112 303.562
5000 0.00865033 0.00769025 0.00845248 0.0247931 282.545
5100 0.00597467 0.00585358 0.00775214 0.0195804 291.364
5200 0.00675756 0.00637804 0.00800486 0.0211405 295.049
5300 0.00852468 0.00981475 0.00838265 0.0267221 300.806
5400 0.00902215 0.00977112 0.00969009 0.0284834 311.63
5500 0.00942661 0.00848884 0.00919988 0.0271153 333.263
5600 0.00708287 0.00758179 0.00844225 0.0231069 327.547
5700 0.00843966 0.00863244 0.00778441 0.0248565 297.513
5800 0.00942445 0.00961515 0.00911969 0.0281593 290.07
5900 0.00909543 0.00881499 0.00839953 0.02631 296.524
6000 0.007826 0.00799779 0.00778273 0.0236065 309.846
6100 0.00836522 0.00645281 0.00881812 0.0236361 309.117
6200 0.00670789 0.0075518 0.00803804 0.0222977 300.194
6300 0.00692285 0.00867621 0.00680922 0.0224083 287.222
6400 0.00745831 0.00919571 0.00657325 0.0232273 284.428
6500 0.00626524 0.00761901 0.00725091 0.0211352 299.05
6600 0.00741637 0.0089147 0.0085004 0.0248315 297.888
6700 0.00837588 0.0120876 0.00895228 0.0294158 296.649
6800 0.00663178 0.00975048 0.00862022 0.0250025 311.768
6900 0.00819262 0.00834361 0.00832408 0.0248603 305.868
7000 0.00902696 0.00773541 0.00896876 0.0257311 281.447
7100 0.00854726 0.00743929 0.00792071 0.0239073 287.523
7200 0.00790476 0.00964203 0.00721622 0.024763 305.571
7300 0.00880203 0.00903356 0.00852972 0.0263653 302.077
7400 0.00886911 0.00735751 0.00818325 0.0244099 307.128
7500 0.00741768 0.00542068 0.00844233 0.0212807 304.844
7600 0.00694999 0.00680998 0.00787545 0.0216354 299.141
7700 0.00779494 0.00955878 0.00718091 0.0245346 283.023
7800 0.00813338 0.00754407 0.00670422 0.0223817 304.531
7900 0.00996786 0.00707723 0.00812127 0.0251664 319.341
8000 0.0105426 0.00834823 0.00961733 0.0285082 302.7
8100 0.00807816 0.0100173 0.00897636 0.0270718 291.746
8200 0.0076916 0.00759869 0.00555102 0.0208413 300.197
8300 0.00608853 0.00669799 0.00876051 0.021547 286.356
8400 0.00773246 0.00798032 0.00826484 0.0239776 297.195
8500 0.0094037 0.00943203 0.00861885 0.0274546 306.969
8600 0.00963072 0.0101024 0.00890684 0.0286399 310.256
8700 0.00941324 0.00752575 0.00840141 0.0253404 313.485
8800 0.00797163 0.00689254 0.00677218 0.0216364 292.141
8900 0.00680493 0.00698658 0.00736403 0.0211555 292.985
9000 0.00799345 0.00805974 0.00961365 0.0256668 285.916
9100 0.010018 0.00777343 0.00891487 0.0267063 307.559
9200 0.00810086 0.00819921 0.00752727 0.0238273 312.907
9300 0.00779237 0.00761911 0.00773189 0.0231434 299.768
9400 0.00727039 0.00699995 0.00898895 0.0232593 298.318
9500 0.00702818 0.00767565 0.0101114 0.0248152 282.973
9600 0.00719585 0.00775727 0.00872103 0.0236742 308.005
9700 0.00810405 0.00876222 0.00911894 0.0259852 319.058
9800 0.00994111 0.0103656 0.00851128 0.028818 301.967
9900 0.00801132 0.00890683 0.00877479 0.0256929 299.983
10000 0.0068369 0.00698587 0.00758133 0.0214041 295.182
10100 0.00629243 0.00695 0.00622823 0.0194707 277.472
10200 0.00665756 0.0080682 0.0057408 0.0204666 267.571
10300 0.00770784 0.00835367 0.00777652 0.023838 275.87
10400 0.0074331 0.00689073 0.00885061 0.0231744 295.438
10500 0.00568403 0.00635507 0.00586452 0.0179036 310.489
10600 0.00617605 0.00637095 0.00571896 0.018266 308.247
10700 0.00753422 0.00728085 0.00713245 0.0219475 288.429
10800 0.00696973 0.00824243 0.00702158 0.0222337 288.41
10900 0.00705176 0.00660225 0.00834455 0.0219986 282.872
11000 0.0059364 0.00636639 0.00712538 0.0194282 301.298
11100 0.00658869 0.00656475 0.00703419 0.0201876 315.357
11200 0.00816014 0.00808393 0.00801886 0.0242629 301.517
11300 0.00748596 0.00753465 0.00839243 0.023413 294.538
11400 0.00706737 0.00648055 0.00702046 0.0205684 280.263
