# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0156485 0.0151893 0.02135 0.0521878 176.828
200 0.0820734 0.0768167 0.102136 0.261026 255.022
300 0.194649 0.137312 0.20369 0.535651 299.124
400 0.296162 0.222694 0.310651 0.829507 337.243
500 0.395872 0.306076 0.394757 1.09671 305.395
600 0.50002 0.374059 0.488365 1.36244 293.626
700 0.55504 0.451684 0.538294 1.54502 302.568
800 0.581866 0.495965 0.55785 1.63568 290.732
900 0.625559 0.543368 0.658185 1.82711 288.586
1000 0.701831 0.626606 0.694545 2.02298 302.84
1100 0.733602 0.68628 0.757044 2.17693 333.399
1200 0.754844 0.771674 0.776514 2.30303 321.356
1300 0.804223 0.890193 0.746001 2.44042 313.093
1400 0.810627 0.992615 0.742477 2.54572 304.865
1500 0.787517 1.02489 0.759031 2.57144 327.063
1600 0.794517 1.1306 0.796405 2.72153 356.392
1700 0.831891 1.05713 0.758058 2.64708 337.385
1800 0.910719 1.00449 0.807995 2.7232 310.397
1900 0.997661 1.02968 0.763287 2.79063 303.691
2000 1.10087 1.1099 0.804904 3.01567 299.81
2100 1.22213 1.14898 0.885588 3.25669 321.192
2200 1.32701 1.16523 0.995649 3.48789 311.731
2300 1.3553 1.28536 1.06908 3.70974 309.808
2400 1.39042 1.31857 1.14311 3.85209 313.276
2500 1.47151 1.33229 1.11697 3.92077 305.814
2600 1.56574 1.28871 1.05684 3.91129 306.56
2700 1.54034 1.27368 1.09441 3.90842 298.059
2800 1.45117 1.30293 1.18572 3.93981 391.806
2900 1.33272 1.37275 1.37547 4.08094 392.897
3000 1.27599 1.34724 1.57259 4.19582 355.481
3100 1.32642 1.3552 1.5527 4.23432 324.719
3200 1.47217 1.39829 1.59877 4.46923 291.696
3300 1.55349 1.41547 1.65658 4.62554 276.742
3400 1.58353 1.34964 1.60641 4.53959 293.253
3500 1.61529 1.30007 1.56647 4.48183 304.484
3600 1.60062 1.36328 1.57841 4.54232 306.691
3700 1.58656 1.49692 1.66436 4.74783 312.024
3800 1.61657 1.55462 1.74084 4.91203 290.577
3900 1.59513 1.47201 1.56007 4.62721 297.467
4000 1.56788 1.43918 1.53001 4.53707 289.097
4100 1.62231 1.53659 1.49911 4.658 310.272
4200 1.61324 1.53623 1.58849 4.73796 307.7
4300 1.62002 1.50952 1.62702 4.75656 303.825
4400 1.61136 1.57142 1.56957 4.75235 286.254
4500 1.66107 1.50033 1.65384 4.81524 285.434
4600 1.76445 1.46926 1.69577 4.92948 307.487
4700 1.86811 1.43043 1.65775 4.95629 309.299
4800 1.83575 1.4088 1.78228 5.02683 310.899
4900 1.65461 1.55931 1.736 4.94992 310.878
5000 1.52533 1.62359 1.7558 4.90472 309.602
5100 1.5373 1.62211 1.7479 4.90731 290.65
5200 1.61707 1.68961 1.76915 5.07584 296.969
5300 1.7979 1.69525 1.67373 5.16688 304.356
5400 1.88737 1.65954 1.67697 5.22387 303.136
5500 1.73155 1.67742 1.7572 5.16617 324.372
5600 1.52842 1.68168 1.7536 4.9637 311.414
5700 1.39501 1.63363 1.78207 4.8107 307.317
5800 1.37887 1.60173 1.78173 4.76232 291.201
5900 1.3206 1.5509 1.77217 4.64367 312.484
6000 1.18232 1.58871 1.78676 4.55779 304.556
6100 1.11362 1.58397 1.70858 4.40616 287.884
6200 1.08126 1.47069 1.68073 4.23268 308.457
6300 1.0516 1.4274 1.67085 4.14985 294.087
6400 0.977366 1.47919 1.68839 4.14495 291.954
6500 0.963267 1.47596 1.71 4.14923 290.885
6600 0.97829 1.52899 1.64545 4.15273 315.255
6700 1.04289 1.53811 1.59228 4.17328 314.522
6800 1.02033 1.53777 1.59693 4.15503 301.409
6900 0.986384 1.57431 1.58256 4.14325 289.386
7000 1.02716 1.45346 1.51957 4.00018 299.425
7100 1.13635 1.38465 1.53825 4.05925 315.242
7200 1.232 1.3525 1.5622 4.14669 286.178
7300 1.39295 1.43465 1.5562 4.38379 288.703
7400 1.41018 1.45996 1.59966 4.4698 314.248
7500 1.2726 1.53276 1.59815 4.40351 335.081
7600 1.20109 1.55134 1.53821 4.29064 307.389
