# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0103904 0.0126237 0.0109293 0.0339434 179.607
200 0.0421338 0.054407 0.0503713 0.146912 206.461
300 0.0730716 0.0844276 0.0960811 0.25358 255.7
400 0.112948 0.11464 0.139727 0.367315 286.96
500 0.14432 0.149134 0.153474 0.446927 314.721
600 0.163755 0.192361 0.184644 0.54076 317.273
700 0.188413 0.222655 0.215625 0.626693 291.737
800 0.210048 0.26264 0.227968 0.700657 290.907
900 0.21747 0.271292 0.250055 0.738817 306.384
1000 0.222535 0.272021 0.283696 0.778252 298.737
1100 0.223412 0.254771 0.295394 0.773578 307.127
1200 0.242912 0.27539 0.32095 0.839252 299.362
1300 0.271495 0.274227 0.302507 0.848229 298.679
1400 0.278231 0.265596 0.281249 0.825076 298.82
1500 0.259308 0.287176 0.287061 0.833545 287.855
1600 0.256174 0.308035 0.308346 0.872554 306.726
1700 0.28058 0.31199 0.326718 0.919288 305.84
1800 0.292534 0.328982 0.315738 0.937254 301.918
1900 0.31488 0.343615 0.335078 0.993573 293.082
2000 0.340268 0.3503 0.33043 1.021 284.69
2100 0.342519 0.348825 0.330208 1.02155 291.04
2200 0.330122 0.347442 0.320307 0.997871 303.31
2300 0.350699 0.36708 0.354414 1.07219 293.837
2400 0.38118 0.390668 0.374841 1.14669 305.272
2500 0.392981 0.409407 0.405042 1.20743 308.103
2600 0.438999 0.415522 0.455462 1.30998 306.142
2700 0.469484 0.432197 0.448144 1.34983 300.234
2800 0.469108 0.436849 0.433678 1.33964 286.273
2900 0.441257 0.429947 0.423474 1.29468 300.173
3000 0.417553 0.428924 0.415806 1.26228 310.143
3100 0.408048 0.435169 0.402021 1.24524 316.403
3200 0.388932 0.456066 0.398923 1.24392 301.804
3300 0.396257 0.465894 0.392255 1.25441 289.321
3400 0.438593 0.453653 0.385039 1.27729 297.015
3500 0.433881 0.453975 0.385107 1.27296 304.225
3600 0.439793 0.45572 0.399545 1.29506 309.554
3700 0.471989 0.441012 0.418853 1.33185 313.157
3800 0.511707 0.439302 0.402654 1.35366 309.484
3900 0.51027 0.440438 0.402208 1.35292 297.647
4000 0.543313 0.434907 0.382912 1.36113 297.997
4100 0.556439 0.416785 0.361684 1.33491 291.33
4200 0.527122 0.423005 0.361498 1.31162 296.095
4300 0.467204 0.444098 0.377601 1.2889 316.901
4400 0.432185 0.466024 0.391706 1.28992 318.274
4500 0.415021 0.479007 0.407473 1.3015 301.678
4600 0.40237 0.462829 0.410872 1.27607 294.574
4700 0.436133 0.449287 0.423224 1.30864 295.457
4800 0.458318 0.42165 0.426151 1.30612 302.203
4900 0.472162 0.422657 0.426711 1.32153 312.519
5000 0.458525 0.411982 0.405923 1.27643 295.181
5100 0.42393 0.433072 0.394727 1.25173 285.225
5200 0.397742 0.456638 0.408378 1.26276 298.941
5300 0.393375 0.436689 0.395904 1.22597 297.878
5400 0.419911 0.453889 0.400482 1.27428 308.716
5500 0.475066 0.464808 0.409202 1.34908 305.584
5600 0.448394 0.413033 0.412998 1.27443 294.233
5700 0.405155 0.392162 0.40994 1.20726 285.646
5800 0.387163 0.388726 0.390956 1.16685 295.424
5900 0.39962 0.397749 0.390753 1.18812 302.912
6000 0.492247 0.422147 0.39969 1.31408 314.415
6100 0.550474 0.46331 0.426372 1.44016 293.864
6200 0.563149 0.457916 0.449853 1.47092 297.831
6300 0.489389 0.428453 0.45111 1.36895 292.339
6400 0.433126 0.412547 0.421238 1.26691 301.767
6500 0.458638 0.423148 0.469711 1.3515 301.236
6600 0.460931 0.439871 0.492382 1.39318 302.991
6700 0.426673 0.431261 0.46274 1.32067 304.047
6800 0.421948 0.387445 0.434908 1.2443 296.919
6900 0.395239 0.391238 0.417652 1.20413 306.658
7000 0.391082 0.390933 0.424497 1.20651 306.777
7100 0.412437 0.393841 0.427074 1.23335 284.919
7200 0.449265 0.398241 0.42408 1.27159 287.795
7300 0.506181 0.42619 0.424983 1.35735 305.487
7400 0.509024 0.438217 0.426862 1.3741 305.559
7500 0.449773 0.429978 0.412176 1.29193 306.734
7600 0.405386 0.431661 0.382307 1.21935 303.668
7700 0.41231 0.446309 0.390976 1.2496 278.816
7800 0.426399 0.449607 0.391972 1.26798 304.333
7900 0.426663 0.441644 0.399237 1.26754 305.166
8000 0.435293 0.450046 0.420099 1.30544 308.16
8100 0.451065 0.4489 0.441832 1.3418 291.234
8200 0.46778 0.457492 0.414941 1.34021 297.078
8300 0.470744 0.4741 0.442472 1.38732 298.355
8400 0.496085 0.51968 0.439508 1.45527 310.393
8500 0.463626 0.503927 0.416565 1.38412 311.156
8600 0.435631 0.456967 0.400223 1.29282 303.984
8700 0.431357 0.43035 0.390082 1.25179 296.856
8800 0.461166 0.457474 0.404573 1.32321 297.007
8900 0.532704 0.4636 0.410598 1.4069 296.268
9000 0.5068 0.451778 0.411689 1.37027 306.152
9100 0.469517 0.457026 0.40686 1.3334 317.775
9200 0.461648 0.453365 0.409568 1.32458 287.927
9300 0.464977 0.439516 0.422521 1.32701 285.527
9400 0.41821 0.433873 0.41859 1.27067 296.409
9500 0.448336 0.442684 0.433546 1.32457 299.625
9600 0.518271 0.448593 0.449529 1.41639 301.599
9700 0.538933 0.437191 0.421091 1.39721 316.046
9800 0.490925 0.422583 0.400571 1.31408 303.14
9900 0.434963 0.414923 0.391802 1.24169 287.289
10000 0.387908 0.389348 0.371876 1.14913 294.812
10100 0.377726 0.427771 0.370744 1.17624 307.217
10200 0.397147 0.431467 0.377753 1.20637 309.156
10300 0.448117 0.389929 0.355579 1.19363 298.704
10400 0.47807 0.344589 0.332351 1.15501 290.298
10500 0.459145 0.330524 0.311044 1.10071 287.043
10600 0.442788 0.358583 0.336107 1.13748 294.661
10700 0.392945 0.364507 0.342695 1.10015 309.115
10800 0.362353 0.346549 0.336417 1.04532 297.726
10900 0.350089 0.342837 0.335496 1.02842 302.539
11000 0.360693 0.340827 0.350565 1.05209 298.983
11100 0.400119 0.335819 0.380014 1.11595 287.786
11200 0.41796 0.376601 0.38652 1.18108 285.914
11300 0.394593 0.408146 0.358909 1.16165 297.906
11400 0.379662 0.388413 0.35487 1.12295 305.057
11500 0.362018 0.346016 0.349631 1.05767 303.785
11600 0.366699 0.342489 0.368954 1.07814 294.771
11700 0.388994 0.337695 0.37339 1.10008 284.986
11800 0.420574 0.371049 0.384143 1.17577 281.093
11900 0.450164 0.4016 0.388853 1.24062 293.583
12000 0.434618 0.415465 0.407389 1.25747 302.735
12100 0.416205 0.404391 0.381748 1.20234 299.692
12200 0.441838 0.388816 0.375343 1.206 306.727
12300 0.443184 0.392012 0.381496 1.21669 297.841
12400 0.405773 0.396466 0.365277 1.16752 288.963
12500 0.426927 0.409901 0.385972 1.2228 287.132
12600 0.470182 0.476117 0.406839 1.35314 302.85
12700 0.528814 0.521148 0.4315 1.48146 308.176
12800 0.565542 0.533869 0.426949 1.52636 301.683
12900 0.566432 0.530187 0.428941 1.52556 302.646
13000 0.565686 0.531833 0.418241 1.51576 292.547
13100 0.557255 0.555296 0.419607 1.53216 293.642
13200 0.519076 0.552432 0.421781 1.49329 301.998
13300 0.478961 0.514117 0.438377 1.43146 310.106
13400 0.432774 0.480386 0.433273 1.34643 302.482
13500 0.426479 0.456356 0.410356 1.29319 295.445
13600 0.409372 0.451351 0.399078 1.2598 283.028
13700 0.411264 0.447703 0.41154 1.27051 293.483
13800 0.428575 0.458436 0.391666 1.27868 300.906
13900 0.468523 0.458761 0.392968 1.32025 313.857
14000 0.483315 0.43079 0.386317 1.30042 310.145
14100 0.451439 0.421487 0.373824 1.24675 295.26
14200 0.436179 0.424417 0.367286 1.22788 294.52
14300 0.431805 0.430557 0.362176 1.22454 295.654
14400 0.446203 0.457689 0.355857 1.25975 299.73
14500 0.485012 0.457038 0.376378 1.31843 302.492
14600 0.469228 0.442908 0.392449 1.30458 293.179
14700 0.46182 0.451304 0.411959 1.32508 307.634
14800 0.499254 0.462755 0.414327 1.37634 315.419
14900 0.507793 0.459749 0.434729 1.40227 318.722
15000 0.554836 0.444064 0.396188 1.39509 302.954
15100 0.57706 0.425259 0.363048 1.36537 290.194
15200 0.534166 0.411945 0.3494 1.29551 301.076
15300 0.464996 0.375161 0.34234 1.1825 300.566
15400 0.370718 0.371613 0.364023 1.10635 310.163
15500 0.355197 0.390672 0.389118 1.13499 317.323
15600 0.35761 0.373888 0.382036 1.11353 304.792
15700 0.359759 0.356592 0.37257 1.08892 297.161
15800 0.389602 0.380208 0.396153 1.16596 294.701
15900 0.450112 0.380202 0.40515 1.23546 297.386
16000 0.501083 0.388506 0.408839 1.29843 319.24
16100 0.501263 0.421453 0.423491 1.34621 306.336
16200 0.518487 0.434395 0.427454 1.38034 288.957
16300 0.574787 0.426925 0.427741 1.42945 294.478
16400 0.610132 0.452089 0.453197 1.51542 298.916
16500 0.550907 0.471086 0.448789 1.47078 314.688
16600 0.469791 0.453165 0.470341 1.3933 313.642
16700 0.468946 0.470146 0.479442 1.41853 295.819
16800 0.45796 0.471971 0.494509 1.42444 286.899
16900 0.489397 0.467221 0.494276 1.45089 296.48
17000 0.506054 0.472366 0.498336 1.47676 303.649
17100 0.500289 0.439375 0.509962 1.44963 309.802
17200 0.461242 0.430888 0.475008 1.36714 294.634
17300 0.439891 0.436078 0.439888 1.31586 284.512
17400 0.440458 0.45654 0.438172 1.33517 291.314
17500 0.523953 0.484985 0.431653 1.44059 291.852
17600 0.606002 0.485151 0.442907 1.53406 303.349
17700 0.5787 0.489564 0.466124 1.53439 300.886
17800 0.529093 0.465034 0.462462 1.45659 293.736
17900 0.481103 0.445279 0.437183 1.36357 312.868
18000 0.468218 0.449416 0.439152 1.35679 326.467
18100 0.48969 0.465601 0.465228 1.42052 303.106
18200 0.47458 0.47988 0.460918 1.41538 296.734
18300 0.44964 0.471278 0.444435 1.36535 294.781
18400 0.445148 0.466669 0.455528 1.36734 294.874
18500 0.446001 0.460346 0.466401 1.37275 310.855
18600 0.480181 0.463857 0.466148 1.41019 311
18700 0.533784 0.472377 0.460298 1.46646 306.506
18800 0.532992 0.480547 0.465193 1.47873 300.391
18900 0.517463 0.507415 0.485087 1.50997 295.647
19000 0.494969 0.471517 0.495644 1.46213 302.216
19100 0.49181 0.487775 0.49253 1.47212 300.109
19200 0.499038 0.503992 0.483055 1.48608 301.914
19300 0.54919 0.503571 0.485034 1.5378 309.601
19400 0.540075 0.509476 0.483896 1.53345 294.838
19500 0.514094 0.516112 0.481765 1.51197 292.526
19600 0.50898 0.498986 0.470719 1.47868 288.331
19700 0.500564 0.473026 0.470851 1.44444 298.637
19800 0.480603 0.486129 0.482063 1.4488 307.322
19900 0.469006 0.473586 0.487612 1.4302 299.136
20000 0.45788 0.474062 0.48577 1.41771 306.591
