# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0256998 0.0227991 0.0235823 0.0720812 224.386
200 0.119577 0.107732 0.109107 0.336416 267.753
300 0.254945 0.22503 0.208238 0.688213 319.588
400 0.425121 0.334342 0.308058 1.06752 317.737
500 0.603272 0.463221 0.428069 1.49456 303.875
600 0.73164 0.611729 0.560708 1.90408 325.453
700 0.813873 0.727206 0.688265 2.22934 329.545
800 0.857835 0.88551 0.854624 2.59797 331.231
900 0.88503 1.01486 1.00645 2.90634 314.344
1000 0.934617 1.12544 1.10306 3.16312 307.863
1100 0.995014 1.21674 1.14572 3.35748 301.177
1200 1.12406 1.30096 1.26939 3.69441 291.477
1300 1.19315 1.41637 1.46303 4.07255 332.131
1400 1.18289 1.60214 1.73918 4.52421 323.556
1500 1.2512 1.81285 1.88701 4.95105 301.011
1600 1.46189 1.88493 2.01619 5.36301 312.891
1700 1.51293 2.0512 2.07616 5.64029 299.792
1800 1.57298 2.28104 2.12595 5.97997 302.665
1900 1.64387 2.45937 2.14875 6.25199 294.069
2000 1.79845 2.59105 2.21496 6.60446 288.436
2100 1.98381 2.70667 2.35124 7.04173 295.813
2200 2.2043 2.83276 2.53539 7.57246 341.006
2300 2.53568 3.01088 2.76819 8.31475 333.062
2400 2.78287 3.21481 3.29293 9.2906 347
2500 2.76957 3.12646 3.81453 9.71057 322.148
2600 2.81266 3.0279 3.95772 9.79828 313.851
2700 3.05753 3.16027 3.86593 10.0837 290.24
2800 3.27469 3.25855 3.97785 10.5111 315.189
2900 3.2647 3.30784 4.19433 10.7669 294.581
3000 3.18977 3.46866 4.27319 10.9316 300.959
3100 3.21143 3.56584 4.34839 11.1257 283.276
3200 3.25435 3.58502 4.47638 11.3157 303.446
3300 3.32653 3.7624 4.6313 11.7202 314.074
3400 3.3682 4.123 4.97311 12.4643 307.881
3500 3.55674 4.3685 5.19061 13.1158 297.727
3600 3.67819 4.49269 5.20041 13.3713 307.41
3700 3.85195 4.77634 5.18041 13.8087 296.39
3800 3.98989 5.14707 5.46278 14.5997 300.492
3900 4.00821 5.59076 5.85412 15.4531 303.42
4000 3.96328 6.15839 5.9208 16.0425 299.494
4100 4.03583 6.63139 5.93012 16.5973 280.076
4200 4.16431 7.04199 5.96597 17.1723 290.177
4300 4.11932 7.06654 6.30524 17.4911 312.017
4400 4.13166 7.17929 6.74962 18.0606 303.123
4500 4.16177 7.5263 7.04226 18.7303 293.177
4600 4.14395 7.9674 7.17495 19.2863 304.369
4700 4.23406 8.6465 7.38587 20.2664 326.854
4800 4.45604 9.08412 7.76374 21.3039 325.917
4900 4.6942 9.40453 8.12282 22.2215 311.468
5000 5.00905 9.68378 8.2349 22.9277 297.772
5100 5.28949 9.79717 8.09628 23.1829 297.852
5200 5.51877 9.63503 8.32572 23.4795 307.04
5300 5.92639 9.41416 8.40483 23.7454 318.535
5400 6.44908 9.44648 8.61031 24.5059 312.735
5500 6.89378 9.43688 9.11232 25.443 306.631
5600 7.25565 8.98625 9.4468 25.6887 300.895
5700 7.58333 8.57048 9.70093 25.8547 291.999
5800 8.07308 8.4085 10.0331 26.5147 314.504
5900 8.58992 8.40881 10.3676 27.3663 295.888
6000 9.11707 8.27611 10.4695 27.8627 323.304
6100 9.61319 8.22347 10.4702 28.3069 314.273
6200 10.0759 8.35225 10.5135 28.9416 306.623
6300 10.4324 8.45679 10.8915 29.7807 300.983
6400 10.9656 8.79345 11.2859 31.0449 319.174
6500 11.5718 9.19638 11.4364 32.2046 309.56
6600 11.7501 9.54553 11.8835 33.1792 310.168
6700 11.8548 9.81124 12.3096 33.9756 295.15
6800 11.9515 10.3842 12.8935 35.2291 334.097
6900 11.8993 10.9452 13.6205 36.465 296.183
7000 11.8088 11.547 14.1403 37.4961 275.203
7100 11.9424 12.1221 14.5484 38.6129 280.349
7200 12.3144 12.4636 14.4641 39.2421 310.735
7300 12.6039 12.7261 14.321 39.6509 309.914
7400 12.9785 12.808 14.3562 40.1427 275.641
7500 13.3924 12.7865 14.5993 40.7782 312.81
7600 13.9705 12.6369 14.7852 41.3926 301.173
7700 14.3898 12.6563 15.104 42.15 334.38
7800 14.6349 13.0139 15.4237 43.0726 308.511
7900 14.9559 13.0905 15.6307 43.6771 293.924
8000 14.8044 13.029 16.0242 43.8576 284.745
8100 14.144 12.9083 16.5757 43.628 296.82
8200 13.6856 12.6527 16.9486 43.2868 330.476
8300 13.8399 12.2265 16.9409 43.0073 310.075
8400 14.0447 11.8633 16.6684 42.5763 305.885
8500 13.9513 11.5173 16.6775 42.1462 311.776
8600 13.698 11.3494 16.5001 41.5474 315.406
8700 13.7927 11.4816 16.2823 41.5566 295.956
8800 13.9286 11.7891 16.1723 41.8901 301.911
8900 14.1536 12.2565 15.9047 42.3148 309.985
9000 14.4052 12.4949 15.6461 42.5463 285.719
9100 14.5194 12.7413 15.6303 42.891 287.099
9200 14.4821 12.8838 15.5176 42.8835 313.228
9300 14.495 12.9106 15.5262 42.9318 317.819
9400 14.4388 13.0394 15.6586 43.1368 313.996
9500 14.4134 13.0083 15.6118 43.0334 301.64
9600 14.4963 13.5547 15.7896 43.8406 296.835
9700 14.5254 14.4512 16.5785 45.5551 296.04
9800 14.2739 15.0282 16.7151 46.0173 302.748
9900 14.2501 15.8178 16.7783 46.8462 324.999
10000 14.3313 16.6186 16.6432 47.5931 297.126
10100 14.5841 16.9419 16.4188 47.9447 301.803
10200 14.6859 17.4875 15.8853 48.0586 294.545
10300 14.8498 17.3966 15.4174 47.6638 298.082
10400 15.4062 17.3031 15.0899 47.7992 287.43
10500 15.85 17.3708 15.0436 48.2644 292.003
10600 16.1019 17.3281 15.1627 48.5927 304.798
10700 16.4783 17.7109 15.0946 49.2837 303.165
10800 16.7664 18.7636 15.2127 50.7426 320.463
10900 16.562 19.2529 15.6914 51.5063 297.755
11000 16.0615 18.9965 16.2159 51.2739 313.866
11100 15.6914 18.899 16.5068 51.0971 315.183
11200 15.6048 19.0574 16.4622 51.1244 293.159
11300 15.6074 18.7556 16.3815 50.7445 301.793
11400 15.9995 18.4912 16.1076 50.5982 302.275
11500 16.132 18.8517 15.7878 50.7715 320.691
11600 16.6087 18.6754 15.7429 51.027 308.526
11700 16.7901 17.8273 15.6631 50.2806 303.502
11800 16.9876 17.2295 15.9373 50.1544 307.245
11900 17.0703 16.7858 16.2426 50.0987 288.782
12000 17.2808 16.5142 16.645 50.44 292.69
12100 17.3846 16.8142 16.9927 51.1916 309.547
12200 17.3691 16.9808 17.1142 51.4641 315.173
12300 17.2258 16.6427 17.4857 51.3542 310.832
12400 17.0551 16.3062 17.7138 51.0751 308.611
12500 16.9735 16.1262 17.2344 50.3342 309.701
12600 16.9227 15.9194 16.9239 49.766 311.094
12700 16.9868 15.4406 16.7196 49.1471 309.952
12800 17.1673 14.998 16.3824 48.5477 310.356
12900 17.394 14.9347 15.8512 48.1798 290.238
13000 17.5314 14.8215 15.8842 48.2372 293.55
