# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0186024 0.0177486 0.0160919 0.0524429 181.876
200 0.0739157 0.070173 0.0681663 0.212255 234.451
300 0.133103 0.162291 0.130633 0.426028 292.849
400 0.183343 0.264179 0.172538 0.62006 305.977
500 0.247248 0.316651 0.208407 0.772305 324.383
600 0.316562 0.305925 0.216815 0.839302 324.739
700 0.316825 0.291942 0.240654 0.84942 307.846
800 0.319398 0.3157 0.25047 0.885567 291.709
900 0.344631 0.344924 0.255704 0.945259 297.814
1000 0.354338 0.356826 0.282632 0.993797 289.686
1100 0.359874 0.349775 0.341992 1.05164 320.688
1200 0.360504 0.360792 0.39776 1.11906 312.92
1300 0.359109 0.39959 0.448787 1.20749 317.509
1400 0.356406 0.442452 0.476093 1.27495 304.134
1500 0.392614 0.61112 0.544806 1.54854 312.228
1600 0.47241 0.774144 0.617129 1.86368 300.205
1700 0.60646 0.86941 0.618076 2.09395 319.99
1800 0.726848 0.903158 0.599843 2.22985 319.594
1900 0.81617 0.944161 0.613586 2.37392 298.409
2000 0.872648 0.855765 0.605521 2.33393 311.842
2100 0.934864 0.827137 0.648205 2.41021 303.325
2200 0.994553 0.811026 0.678359 2.48394 305.908
2300 1.03179 0.792163 0.689426 2.51338 294.529
2400 1.07876 0.759294 0.685786 2.52384 307.328
2500 1.07335 0.791616 0.710916 2.57588 348.974
2600 1.14459 0.851993 0.714157 2.71075 335.135
2700 1.17006 0.824526 0.749591 2.74418 316.605
2800 1.1805 0.794913 0.780648 2.75606 308.117
2900 1.22978 0.793201 0.827678 2.85066 318.77
3000 1.19092 0.834184 0.856796 2.8819 343.149
3100 1.20159 0.845277 0.904646 2.95152 325.976
3200 1.28985 0.869906 0.940506 3.10026 300.914
3300 1.35909 0.888782 0.945627 3.19349 302.86
3400 1.49205 0.879202 0.961232 3.33248 294.745
3500 1.64936 0.867852 0.958348 3.47556 295.325
3600 1.71212 0.899073 0.959153 3.57035 292.657
3700 1.67834 0.93101 0.954752 3.5641 292.943
3800 1.61759 0.959078 0.93719 3.51386 301.211
3900 1.57397 1.00715 0.943247 3.52436 303.474
4000 1.58487 0.955553 0.946153 3.48657 314.783
4100 1.58467 0.956519 0.958928 3.50012 309.704
4200 1.64837 0.961775 0.973865 3.58401 295.926
4300 1.78614 0.962362 0.982859 3.73136 302.864
4400 1.88143 0.984847 0.984828 3.8511 298.236
4500 1.88823 0.989292 0.975779 3.8533 310.983
4600 1.7826 1.00492 0.996323 3.78385 308.261
4700 1.62739 1.0299 1.05327 3.71056 310.855
4800 1.56701 1.03533 1.13344 3.73579 306.844
4900 1.55237 1.08245 1.18536 3.82018 301.268
5000 1.68368 1.1768 1.20965 4.07014 309.286
5100 1.83808 1.20727 1.22422 4.26958 306.416
5200 1.93411 1.23238 1.30512 4.47161 301.143
5300 2.07944 1.26177 1.31991 4.66112 300.365
5400 2.09667 1.23386 1.34676 4.67729 306.458
5500 2.08882 1.33018 1.43408 4.85307 300.973
5600 2.07324 1.31053 1.41419 4.79797 291.588
5700 2.13237 1.26867 1.38049 4.78153 297.14
5800 2.2184 1.33357 1.48068 5.03265 306.438
5900 2.29963 1.40012 1.5644 5.26415 322.378
6000 2.39364 1.46661 1.60415 5.46441 309.389
6100 2.66878 1.5206 1.62099 5.81037 307.618
6200 2.89941 1.57656 1.66881 6.14478 303.809
6300 2.97678 1.56547 1.73018 6.27242 304.092
6400 3.06007 1.50784 1.76386 6.33177 306.443
6500 3.23846 1.52496 1.69999 6.46341 298.366
6600 3.42369 1.52638 1.69581 6.64588 304.381
6700 3.56709 1.47394 1.66081 6.70184 302.77
6800 3.70817 1.47624 1.66857 6.85299 311.625
6900 3.76527 1.43564 1.62785 6.82876 302.247
7000 3.82307 1.37681 1.56471 6.76458 304.094
7100 3.8803 1.34379 1.53424 6.75833 296.024
7200 3.85664 1.33797 1.45642 6.65103 279.649
7300 3.81763 1.33644 1.47779 6.63186 304.8
7400 3.75351 1.34787 1.52267 6.62405 299.275
7500 3.77768 1.41219 1.47095 6.66082 303.953
7600 3.70975 1.40641 1.52613 6.64229 301.723
7700 3.86713 1.43406 1.57589 6.87708 296.207
7800 4.07337 1.37726 1.62251 7.07314 293.157
7900 4.16846 1.3784 1.6238 7.17065 290.697
8000 3.90787 1.35781 1.59233 6.85801 301.138
