# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0120609 0.0126016 0.0134835 0.0381459 185.93
200 0.0643123 0.0537754 0.0697705 0.187858 227.8
300 0.136798 0.120744 0.143127 0.400669 285.074
400 0.194869 0.222472 0.219658 0.636999 316.044
500 0.258905 0.314172 0.273937 0.847014 318.052
600 0.304078 0.379555 0.333056 1.01669 315.902
700 0.30695 0.444913 0.397756 1.14962 325.397
800 0.333238 0.503121 0.456583 1.29294 311.615
900 0.386952 0.555431 0.509531 1.45192 317.361
1000 0.491015 0.638572 0.57188 1.70147 376.809
1100 0.491011 0.697021 0.687023 1.87506 345.018
1200 0.512149 0.706047 0.638042 1.85624 319.005
1300 0.543623 0.670831 0.63394 1.84839 299.99
1400 0.520694 0.666035 0.688805 1.87553 277.395
1500 0.545034 0.69327 0.664277 1.90258 295.305
1600 0.553985 0.746 0.649495 1.94948 290.765
1700 0.604652 0.806455 0.674901 2.08601 308.46
1800 0.601043 0.819287 0.692727 2.11306 307.282
1900 0.609484 0.817537 0.702949 2.12997 318.879
2000 0.614758 0.857626 0.693876 2.16626 303.514
2100 0.623379 0.890527 0.682005 2.19591 314.599
2200 0.635133 0.934363 0.72769 2.29719 307.637
2300 0.596076 0.97141 0.817041 2.38453 312.613
2400 0.621703 0.935869 0.883847 2.44142 300.752
2500 0.636363 0.976999 0.979904 2.59327 314.765
2600 0.622047 1.01102 1.04335 2.67643 308.078
2700 0.595933 0.986605 1.04855 2.63109 326.378
2800 0.634422 0.921178 0.937998 2.4936 324.368
2900 0.746287 0.912674 0.907236 2.5662 302.528
3000 0.862974 0.908198 0.906827 2.678 308.23
3100 0.89784 0.952397 0.885907 2.73614 325.76
3200 0.933707 1.07124 0.855917 2.86087 311.872
3300 0.995803 1.08804 0.98332 3.06716 295.661
3400 1.01073 1.08384 1.05612 3.15068 301.808
3500 1.0171 1.12795 1.07214 3.21719 299.325
3600 0.969218 1.16188 1.0994 3.2305 296.811
3700 0.968722 1.2761 1.14837 3.3932 283.851
3800 1.0026 1.44422 1.10082 3.54763 305.897
3900 1.02801 1.49424 1.09096 3.6132 305.141
4000 1.01124 1.59079 1.22651 3.82854 294.019
4100 0.961574 1.594 1.14719 3.70277 298.7
4200 0.985006 1.64317 1.19983 3.828 297.965
4300 0.993158 1.52617 1.24148 3.7608 317.864
4400 0.997106 1.47114 1.16076 3.62901 314.185
4500 1.00861 1.50887 1.20506 3.72255 303.336
4600 1.05509 1.57027 1.20384 3.8292 308.709
4700 1.09051 1.47509 1.17863 3.74422 299.636
4800 1.0499 1.46256 1.29775 3.81021 298.029
4900 1.08245 1.45799 1.32233 3.86277 294.247
5000 1.07212 1.52785 1.22329 3.82327 310.189
5100 1.03537 1.6225 1.13529 3.79316 315.31
5200 0.996966 1.61204 1.14437 3.75337 301.467
5300 0.985059 1.59357 1.18451 3.76314 292.148
5400 0.961594 1.54317 1.2937 3.79847 285.674
5500 0.938458 1.52347 1.28687 3.7488 306.121
5600 0.952779 1.58636 1.29635 3.83549 304.989
5700 0.915836 1.54687 1.36585 3.82855 301.177
5800 0.892126 1.60712 1.34393 3.84318 307.853
5900 0.907048 1.62099 1.37339 3.90142 328.481
6000 0.921989 1.62075 1.35583 3.89857 310.096
6100 0.972605 1.68684 1.37512 4.03457 300.638
6200 0.992614 1.7045 1.3454 4.04251 295.697
6300 1.0252 1.71444 1.41128 4.15093 295.159
6400 1.04658 1.72964 1.3536 4.12982 290.99
6500 1.03456 1.77086 1.39873 4.20415 331.034
6600 1.00752 1.77573 1.38018 4.16343 311.717
6700 0.96038 1.78669 1.40345 4.15053 306.739
6800 0.965574 1.6904 1.45525 4.11123 305.308
6900 0.958195 1.62737 1.4088 3.99436 284.51
7000 0.96935 1.64835 1.45241 4.07011 295.888
7100 0.980233 1.72501 1.3845 4.08974 325.897
7200 0.968268 1.67851 1.37475 4.02153 308.936
7300 0.989776 1.74953 1.44071 4.18001 308.103
7400 1.03275 1.76756 1.51931 4.31962 307.167
7500 1.03928 1.70647 1.49696 4.24272 303.211
7600 1.11764 1.70429 1.54966 4.37158 297.232
7700 1.14474 1.68501 1.55299 4.38274 303.46
7800 1.21926 1.73896 1.50272 4.46095 283.48
7900 1.29522 1.76605 1.4727 4.53397 291.528
8000 1.33541 1.82186 1.56958 4.72685 312.987
8100 1.31861 1.78761 1.63549 4.74171 306.366
8200 1.3102 1.73731 1.62088 4.6684 319.603
8300 1.35883 1.74513 1.65258 4.75655 306.633
8400 1.4331 1.82884 1.64736 4.9093 307.543
8500 1.44656 1.9579 1.60415 5.00861 297.617
8600 1.4291 1.91233 1.64115 4.98258 302.174
8700 1.38538 1.84543 1.63405 4.86487 300.934
8800 1.39209 1.81845 1.62858 4.83912 276.407
8900 1.42668 1.85416 1.70205 4.98289 288.403
9000 1.39663 1.85076 1.65508 4.90246 318.089
9100 1.43099 1.85427 1.64617 4.93143 341.846
9200 1.42244 1.94912 1.58179 4.95335 311.12
9300 1.29171 1.97592 1.53245 4.80007 298.896
9400 1.2538 1.93948 1.55628 4.74955 300.692
