# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0141207 0.0168163 0.015106 0.046043 172.603
200 0.0486399 0.0606752 0.0501414 0.159457 206.809
300 0.063382 0.0789943 0.0832969 0.225673 246.571
400 0.0847504 0.103717 0.114856 0.303323 281.262
500 0.107239 0.133226 0.127782 0.368248 309.018
600 0.134669 0.177769 0.155641 0.468079 309.952
700 0.152068 0.19404 0.17572 0.521829 311.974
800 0.164867 0.202533 0.189326 0.556725 296.612
900 0.159491 0.206731 0.216097 0.582318 293.57
1000 0.153924 0.208555 0.203131 0.565611 294.953
1100 0.141531 0.208869 0.194277 0.544677 293.563
1200 0.126194 0.20212 0.176379 0.504694 296.495
1300 0.109114 0.183034 0.152753 0.444901 304.791
1400 0.10147 0.173958 0.153436 0.428864 312.554
1500 0.104099 0.166862 0.164596 0.435557 312.808
1600 0.104694 0.150135 0.158583 0.413413 294.097
1700 0.111018 0.157161 0.184287 0.452466 292.136
1800 0.131939 0.18724 0.211765 0.530943 299.241
1900 0.162247 0.200728 0.213915 0.57689 312.108
2000 0.192173 0.227336 0.237627 0.657136 313.349
2100 0.217247 0.25075 0.267048 0.735046 303.866
2200 0.216987 0.242429 0.265854 0.725269 289.225
2300 0.198065 0.228951 0.257979 0.684996 292.762
2400 0.205177 0.212448 0.261518 0.679143 299.299
2500 0.212723 0.217263 0.257041 0.687028 310.616
2600 0.209076 0.248398 0.262727 0.720202 307.626
2700 0.216397 0.261289 0.273483 0.751169 304.417
2800 0.205435 0.23991 0.266731 0.712076 295.731
2900 0.198401 0.247175 0.277015 0.722592 302.535
3000 0.206188 0.264468 0.286006 0.756662 303.46
3100 0.219586 0.284334 0.294088 0.798008 287.658
3200 0.219654 0.288021 0.288892 0.796566 285.37
3300 0.229125 0.305079 0.285432 0.819636 290.619
3400 0.214138 0.291676 0.312362 0.818175 298.693
3500 0.198209 0.292546 0.325082 0.815837 300.448
3600 0.219639 0.307911 0.34291 0.870461 307.087
3700 0.2313 0.3282 0.352116 0.911616 291.149
3800 0.245064 0.3537 0.371209 0.969973 285.936
3900 0.235974 0.34357 0.350106 0.929649 290.562
4000 0.227339 0.325543 0.338819 0.891701 312.027
4100 0.229685 0.320018 0.350892 0.900594 304.393
4200 0.242413 0.312647 0.325186 0.880246 302.21
4300 0.23749 0.302382 0.308772 0.848644 293.238
4400 0.234521 0.297275 0.301448 0.833244 286.159
4500 0.249153 0.295559 0.306277 0.85099 302.309
4600 0.247256 0.298733 0.323498 0.869487 299.366
4700 0.248666 0.292058 0.337158 0.877882 305.48
4800 0.234351 0.303348 0.331068 0.868768 291.26
4900 0.215558 0.307708 0.310565 0.833831 288.36
5000 0.184982 0.299026 0.297671 0.781679 316.333
5100 0.180865 0.28396 0.296998 0.761823 317.111
5200 0.194994 0.30244 0.305155 0.80259 291.069
5300 0.200334 0.306581 0.323824 0.830739 289.917
5400 0.214114 0.303962 0.3253 0.843375 292.832
5500 0.214444 0.297772 0.309797 0.822012 303.747
5600 0.214822 0.284171 0.307262 0.806254 307.081
5700 0.211449 0.277279 0.288586 0.777314 306.079
5800 0.223933 0.273403 0.280913 0.778249 303.932
5900 0.210531 0.258724 0.268579 0.737833 301.545
6000 0.22063 0.248039 0.25788 0.726549 301.809
6100 0.215819 0.240017 0.257975 0.713811 292.984
6200 0.196715 0.214754 0.252785 0.664254 291.806
6300 0.197369 0.206385 0.251648 0.655403 287.475
6400 0.209999 0.233132 0.254849 0.69798 298.966
6500 0.201815 0.251192 0.236123 0.689129 312.112
6600 0.213208 0.255076 0.247994 0.716279 303.398
6700 0.206197 0.24586 0.258067 0.710125 298.012
6800 0.194167 0.245568 0.257953 0.697688 290.552
6900 0.196167 0.252291 0.255725 0.704183 285.766
7000 0.205294 0.270945 0.267499 0.743738 287.232
7100 0.202898 0.287735 0.269673 0.760307 299.419
7200 0.203268 0.272099 0.262329 0.737695 297.806
7300 0.184025 0.273894 0.266007 0.723926 304.214
7400 0.177041 0.278607 0.259318 0.714967 317.912
7500 0.171674 0.266783 0.250207 0.688664 312.942
7600 0.159862 0.236176 0.223736 0.619774 297.155
7700 0.168217 0.224562 0.224817 0.617596 294.087
7800 0.169598 0.218977 0.236438 0.625013 289.514
7900 0.172326 0.234701 0.247579 0.654605 305.606
8000 0.188159 0.242719 0.263884 0.694762 311.755
8100 0.200478 0.264046 0.273899 0.738423 303.411
8200 0.192712 0.27552 0.271376 0.739608 305.24
8300 0.19984 0.291272 0.273586 0.764697 282.686
8400 0.199954 0.295892 0.274735 0.770581 290.927
8500 0.205673 0.305428 0.289002 0.800103 307.217
8600 0.205826 0.30251 0.313161 0.821497 290.87
8700 0.201715 0.314521 0.329378 0.845614 300.054
8800 0.205226 0.306264 0.337851 0.849341 314.96
8900 0.208808 0.303925 0.334836 0.847568 317.064
9000 0.217604 0.293926 0.319127 0.830656 303.992
9100 0.232702 0.282271 0.319095 0.834068 295.064
9200 0.231774 0.275803 0.323208 0.830785 290.849
9300 0.235829 0.273409 0.315829 0.825068 306.381
9400 0.244775 0.285207 0.310069 0.84005 310.788
9500 0.259733 0.288696 0.320173 0.868602 297.132
9600 0.268139 0.297404 0.326898 0.892441 283.592
9700 0.266367 0.302452 0.329933 0.898753 299.26
9800 0.249446 0.29223 0.340059 0.881735 301.712
9900 0.23968 0.265391 0.313617 0.818688 301.027
10000 0.236031 0.262847 0.283521 0.782399 313.22
10100 0.262466 0.268123 0.272008 0.802596 318.097
10200 0.272691 0.274171 0.28218 0.829042 304.24
10300 0.282127 0.272576 0.289376 0.84408 298.498
10400 0.280841 0.270277 0.305794 0.856912 298.63
10500 0.279059 0.281028 0.317062 0.87715 300.457
10600 0.279086 0.286482 0.298594 0.864162 296.739
10700 0.282073 0.291524 0.29754 0.871137 291.203
10800 0.286896 0.305467 0.340124 0.932487 285.205
10900 0.278092 0.325031 0.362745 0.965868 303.132
11000 0.259179 0.314223 0.336539 0.909941 303.525
11100 0.284776 0.31705 0.340538 0.942363 305.447
11200 0.295958 0.310857 0.337935 0.94475 298.38
11300 0.29753 0.293286 0.321399 0.912215 276.931
11400 0.287974 0.291294 0.319766 0.899035 290.741
11500 0.280809 0.286901 0.295541 0.863252 297.805
11600 0.26383 0.286747 0.293966 0.844544 294.118
11700 0.282314 0.279849 0.316196 0.87836 308.331
11800 0.293677 0.273622 0.312977 0.880277 307.266
11900 0.292031 0.276855 0.32337 0.892255 289.783
12000 0.286937 0.289748 0.318622 0.895308 284.02
12100 0.277839 0.293654 0.322645 0.894138 300.416
12200 0.272974 0.289108 0.310294 0.872376 309.202
12300 0.273113 0.308311 0.30056 0.881984 303.12
12400 0.282547 0.335074 0.31581 0.93343 286.537
12500 0.287661 0.320492 0.33856 0.946713 278.201
12600 0.2864 0.303607 0.343246 0.933253 288.897
12700 0.270614 0.274659 0.313798 0.85907 298.537
12800 0.24605 0.255924 0.28921 0.791185 298.63
12900 0.230951 0.260455 0.295407 0.786813 307.801
13000 0.231487 0.272711 0.280342 0.78454 293.31
13100 0.234725 0.250779 0.259836 0.745341 292.061
13200 0.242486 0.247501 0.251788 0.741775 282.799
13300 0.256324 0.253338 0.263132 0.772794 301.358
13400 0.240133 0.247207 0.278911 0.766251 304.717
13500 0.229234 0.242355 0.270445 0.742035 306.166
13600 0.217054 0.245341 0.264831 0.727226 305.325
13700 0.242048 0.272834 0.29395 0.808832 282.696
13800 0.246013 0.26948 0.294942 0.810435 290.343
13900 0.237454 0.276491 0.298083 0.812029 293.821
14000 0.229072 0.274932 0.280846 0.78485 302.851
14100 0.255771 0.281959 0.283404 0.821133 306.228
14200 0.247773 0.288452 0.291919 0.828143 291.32
14300 0.253249 0.285078 0.306602 0.84493 281.185
14400 0.264291 0.279701 0.322011 0.866003 277.263
14500 0.264474 0.275036 0.319073 0.858583 293.66
14600 0.26578 0.268272 0.290143 0.824195 294.188
14700 0.261639 0.267316 0.292962 0.821917 311.359
14800 0.256033 0.264666 0.298679 0.819377 306.558
14900 0.259302 0.270675 0.302669 0.832647 290.172
15000 0.248956 0.257599 0.287906 0.794461 290.031
15100 0.264317 0.260553 0.289559 0.81443 293.126
15200 0.276764 0.263229 0.307444 0.847438 306.204
15300 0.25532 0.265032 0.284444 0.804795 298.121
15400 0.243891 0.251378 0.310875 0.806144 297.073
15500 0.253441 0.255719 0.29577 0.80493 304.197
15600 0.249099 0.255174 0.270182 0.774456 303.198
15700 0.234428 0.250494 0.270574 0.755497 294.905
15800 0.231318 0.260151 0.271198 0.762668 286.724
15900 0.235331 0.271541 0.28576 0.792631 298.163
16000 0.252489 0.268725 0.291412 0.812626 307.906
16100 0.259053 0.274592 0.293203 0.826848 308.046
16200 0.260241 0.276428 0.313723 0.850392 300.977
16300 0.250308 0.252709 0.28746 0.790477 287.707
16400 0.239999 0.241611 0.259433 0.741043 292.555
16500 0.255581 0.256865 0.26028 0.772726 295.153
16600 0.24883 0.271907 0.289064 0.809801 310.39
16700 0.231567 0.302002 0.318451 0.85202 297.92
