# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0187866 0.0178945 0.0177345 0.0544157 199.07
200 0.0844482 0.0826088 0.0830815 0.250139 247.446
300 0.158937 0.157728 0.168117 0.484782 304.484
400 0.21783 0.220853 0.248552 0.687235 331.856
500 0.275601 0.285186 0.303843 0.86463 316.301
600 0.344997 0.386892 0.345724 1.07761 282.345
700 0.402015 0.453248 0.380271 1.23553 299.824
800 0.425302 0.497645 0.450042 1.37299 305.71
900 0.445896 0.508679 0.524729 1.4793 307.28
1000 0.50955 0.556324 0.600524 1.6664 315.193
1100 0.600328 0.63646 0.659252 1.89604 315.19
1200 0.678394 0.778098 0.786394 2.24289 300.552
1300 0.746346 0.960627 0.895961 2.60293 306.085
1400 0.783737 1.03814 0.957208 2.77908 319.812
1500 0.82926 1.09603 0.976847 2.90214 331.196
1600 0.895246 1.14079 0.952004 2.98804 360.882
1700 0.920509 1.13913 0.945722 3.00536 337.436
1800 1.00341 1.1571 0.89433 3.05484 356.672
1900 1.10569 1.22629 0.934162 3.26614 341.019
2000 1.17316 1.30726 0.980244 3.46066 345.441
2100 1.21864 1.40581 1.07237 3.69682 419.936
2200 1.35367 1.46937 1.1606 3.98363 394.447
2300 1.40018 1.51685 1.21346 4.13049 315.293
2400 1.38962 1.59894 1.27815 4.26671 317.039
2500 1.38235 1.66034 1.27157 4.31426 291.862
2600 1.41806 1.65035 1.28697 4.35538 274.008
2700 1.48874 1.61555 1.37847 4.48276 282.355
2800 1.43602 1.66742 1.41773 4.52117 310.224
2900 1.38944 1.72855 1.52232 4.64031 322.041
3000 1.41252 1.71081 1.57755 4.70087 342.645
3100 1.41542 1.69974 1.55782 4.67298 332.199
3200 1.45018 1.67962 1.58727 4.71706 294.282
3300 1.44558 1.73763 1.54516 4.72837 297.267
3400 1.40801 1.82409 1.51428 4.74639 287.417
3500 1.38701 1.80512 1.56496 4.75709 290.834
3600 1.43477 1.82182 1.59853 4.85512 309.694
3700 1.53746 1.90018 1.62566 5.06331 325.648
3800 1.54982 1.93499 1.70153 5.18634 331.04
3900 1.57142 1.83555 1.80329 5.21026 349.284
4000 1.5415 1.92532 1.92609 5.39292 313.737
4100 1.53138 1.99975 1.98838 5.51951 299.507
4200 1.56825 1.93149 1.91829 5.41803 287.933
4300 1.61758 1.76957 1.96958 5.35673 314.783
4400 1.59461 1.6807 1.93376 5.20906 330.897
4500 1.58406 1.68837 1.92256 5.195 364.546
4600 1.65109 1.72863 1.87066 5.25039 326.013
4700 1.62675 1.67732 1.86004 5.16412 309.4
4800 1.70725 1.62306 1.81816 5.14846 299.743
4900 1.80808 1.59068 1.77592 5.17469 288.661
5000 1.77751 1.5755 1.82324 5.17626 292.665
5100 1.81606 1.58254 1.80027 5.19887 294.515
5200 1.89473 1.54244 1.76336 5.20053 300.825
5300 1.9079 1.49675 1.78703 5.19168 317.074
5400 1.90825 1.55934 1.75897 5.22655 311.27
5500 1.95998 1.5719 1.76437 5.29625 301.437
5600 1.98126 1.54285 1.77161 5.29572 305.305
5700 1.88773 1.54609 1.81263 5.24644 299.132
5800 1.87609 1.6278 1.91709 5.42098 297.542
5900 1.97637 1.66675 1.97524 5.61836 281.177
6000 2.05906 1.67118 1.95079 5.68102 282.333
6100 2.02754 1.65968 1.91913 5.60635 302.361
6200 2.03935 1.59587 1.79385 5.42908 292.834
6300 2.0592 1.60862 1.78592 5.45374 312.292
6400 1.97824 1.59357 1.75853 5.33033 307.776
6500 1.9457 1.64922 1.79815 5.39307 293.632
6600 1.98078 1.71815 1.81367 5.51261 304.417
6700 2.06589 1.70065 1.82724 5.59378 310.272
6800 2.16464 1.74862 1.87109 5.78434 313.311
6900 2.14653 1.79162 1.96468 5.90283 311.834
7000 2.17699 1.73716 1.95749 5.87164 306.229
7100 2.1876 1.74064 1.87891 5.80715 297.304
7200 2.20335 1.78005 1.94851 5.93191 315.805
7300 2.2272 1.82283 1.88315 5.93318 296.234
7400 2.23409 1.75859 1.8955 5.88818 311.849
7500 2.16883 1.74202 1.92157 5.83242 287.138
7600 2.12463 1.72915 1.92722 5.781 299.178
7700 2.09121 1.76908 2.02315 5.88344 310.074
7800 2.06057 1.7798 1.9327 5.77307 329.354
7900 2.02228 1.73549 1.94163 5.6994 314.229
8000 1.97757 1.75496 2.04749 5.78002 301.475
8100 2.00908 1.86529 2.03763 5.912 285.465
8200 2.08969 1.86669 1.94859 5.90497 308.775
8300 2.09159 1.85674 1.97517 5.92351 310.935
8400 2.03638 1.78531 1.97844 5.80013 300.746
8500 2.06923 1.75006 1.95271 5.77201 290.52
8600 2.19633 1.81028 1.91456 5.92117 285.799
8700 2.19343 1.8807 1.795 5.86913 305.286
8800 2.17972 1.92354 1.8832 5.98646 304.296
8900 2.21248 1.91462 1.92961 6.05671 303.936
9000 2.11451 1.84678 1.90203 5.86332 290.254
9100 1.9909 1.8435 1.97782 5.81221 288.588
9200 1.94085 1.91492 2.05109 5.90685 276.072
9300 2.01499 1.90552 1.99933 5.91984 285.949
9400 2.13261 1.79582 1.99597 5.9244 297.158
9500 2.16893 1.8528 1.99596 6.01768 305.474
9600 2.07835 1.93726 2.01611 6.03172 303.536
9700 2.01831 1.99304 1.97516 5.9865 296.116
9800 2.0819 2.04181 1.86231 5.98602 278.893
9900 2.17389 2.04577 1.84725 6.06692 285.624
10000 2.13588 1.96931 1.85447 5.95966 298.48
10100 2.10173 1.90739 1.85208 5.8612 292.025
10200 2.09955 1.90493 1.78887 5.79335 316.303
10300 2.08794 1.93338 1.90103 5.92235 305.775
10400 2.10338 1.97539 1.90173 5.9805 301.557
10500 2.08697 1.92156 1.99947 6.008 289.089
10600 2.02561 1.85237 2.00975 5.88773 296.138
10700 1.97986 1.89107 2.01769 5.88863 310.274
10800 1.95509 1.9425 2.08403 5.98162 301.341
10900 1.97837 1.89167 2.16827 6.03831 320.967
11000 1.96026 1.91741 2.13147 6.00913 353.55
11100 1.99291 1.92741 2.08004 6.00035 319.761
11200 2.01217 1.91577 2.16234 6.09029 298.824
11300 2.01633 1.9298 2.15777 6.1039 304.346
11400 2.05319 1.90262 2.24542 6.20122 279.51
11500 1.96325 1.94845 2.19944 6.11115 290.372
11600 1.9353 1.87144 2.04856 5.8553 324.186
11700 1.97125 1.89477 2.02418 5.89021 296.512
11800 1.94066 1.93928 2.01494 5.89487 311.187
11900 1.92134 1.94299 1.97032 5.83465 282.603
12000 1.92209 1.9503 2.00625 5.87864 274.389
12100 1.98873 1.94938 2.00353 5.94164 304.181
12200 2.01451 1.9534 1.97764 5.94555 322.782
12300 2.05799 1.98696 2.10705 6.152 294.982
12400 2.06707 2.03814 2.1862 6.29142 307.299
12500 2.06425 1.97865 2.17865 6.22154 296.526
12600 2.11167 2.06276 2.27116 6.44559 295.48
12700 2.14261 2.10661 2.23942 6.48864 291.124
12800 2.09011 2.12404 2.20325 6.4174 314.855
12900 2.11866 2.13851 2.29849 6.55565 303.436
13000 2.08913 2.09 2.20343 6.38256 333.193
13100 2.14492 1.98595 2.22986 6.36073 294.029
13200 2.17989 1.95992 2.26981 6.40961 287.857
13300 2.12297 1.90719 2.25024 6.2804 303.505
13400 2.09027 1.90725 2.3083 6.30582 320.925
13500 2.09309 1.98861 2.332 6.4137 303.32
13600 2.0116 2.04641 2.34978 6.40779 340.053
13700 2.01315 2.04506 2.35075 6.40896 323.025
13800 1.99845 2.04736 2.35189 6.3977 294.945
13900 2.01265 2.12123 2.34217 6.47604 279.307
14000 1.98158 2.09275 2.28988 6.36421 292.758
14100 1.93593 2.08235 2.24705 6.26533 314.233
14200 1.89734 1.95359 2.15605 6.00699 306.283
14300 1.90387 1.94063 2.11703 5.96154 298.317
14400 1.90722 1.97476 2.12407 6.00605 291.237
14500 1.97091 1.94561 2.15793 6.07445 290.987
14600 2.09067 1.94375 2.09057 6.12498 290.282
14700 2.05749 2.01125 2.12423 6.19297 300.502
14800 2.13067 1.99314 2.2055 6.32932 308.314
14900 2.15044 2.02753 2.0953 6.27328 313.334
15000 2.24259 2.12534 2.04348 6.41141 298.24
15100 2.34531 2.16513 2.11396 6.6244 291.321
15200 2.40235 2.24691 2.2057 6.85495 298.111
15300 2.47387 2.28501 2.31036 7.06924 306.002
15400 2.4962 2.26868 2.32068 7.08556 305.08
15500 2.56397 2.24691 2.2876 7.09847 315.855
15600 2.61111 2.24528 2.3069 7.16329 322.723
15700 2.56726 2.31089 2.23488 7.11302 296.429
15800 2.48172 2.31376 2.23803 7.03351 284.75
15900 2.39236 2.24249 2.15667 6.79152 301.17
16000 2.35114 2.16743 2.18347 6.70205 303.688
16100 2.31369 2.1315 2.20662 6.65181 306.026
16200 2.30813 2.09874 2.24803 6.65491 308.05
16300 2.27126 2.15295 2.28566 6.70987 299.921
16400 2.29931 2.26522 2.20249 6.76702 297.986
16500 2.32051 2.30587 2.29806 6.92444 295.8
16600 2.33233 2.32432 2.39864 7.05528 266.118
16700 2.39177 2.41115 2.41934 7.22227 286.829
16800 2.35025 2.4888 2.49407 7.33313 288.692
16900 2.33082 2.38603 2.38712 7.10398 300.451
17000 2.33166 2.31158 2.27659 6.91984 311.674
17100 2.2306 2.27241 2.24389 6.7469 304.117
17200 2.18098 2.28258 2.27877 6.74233 283.305
17300 2.18254 2.24882 2.30821 6.73957 290.072
17400 2.20925 2.17091 2.24028 6.62045 291.476
17500 2.18007 2.13282 2.31622 6.6291 298.993
17600 2.18647 2.13575 2.30769 6.6299 305.328
17700 2.17011 2.17577 2.35029 6.69618 325.994
17800 2.23263 2.22898 2.37654 6.83815 306.574
17900 2.35077 2.2307 2.56062 7.14209 308.567
18000 2.37178 2.26071 2.68649 7.31898 297.569
18100 2.35065 2.22823 2.58422 7.1631 293.745
18200 2.34107 2.19357 2.51715 7.05179 297.132
18300 2.30366 2.21493 2.54568 7.06427 312.565
18400 2.3221 2.25948 2.6019 7.18349 318.082
18500 2.27763 2.30342 2.51945 7.1005 300.544
18600 2.32396 2.31817 2.43319 7.07532 293.604
18700 2.35141 2.28142 2.43484 7.06767 305.585
18800 2.39918 2.22126 2.55372 7.17415 311.917
18900 2.46002 2.19645 2.52534 7.18181 295.611
19000 2.47142 2.24183 2.5328 7.24604 295.502
19100 2.45052 2.30913 2.5205 7.28016 284.363
19200 2.41355 2.29421 2.44364 7.1514 317.397
19300 2.41835 2.27821 2.42428 7.12083 301.342
19400 2.449 2.3097 2.38335 7.14205 293.362
19500 2.47528 2.36025 2.38557 7.2211 296.352
19600 2.50696 2.37041 2.37868 7.25605 295.595
19700 2.45504 2.29436 2.37142 7.12082 296.488
19800 2.42112 2.27915 2.40934 7.10961 298.834
19900 2.44742 2.31297 2.47354 7.23394 312.511
20000 2.49339 2.33401 2.55179 7.37919 310.011
20100 2.53684 2.40129 2.69415 7.63228 319.58
20200 2.46849 2.46317 2.82903 7.76069 307.394
20300 2.48227 2.5645 2.87199 7.91875 294.042
20400 2.5681 2.5613 2.76693 7.89633 286.115
20500 2.63012 2.58685 2.66512 7.88208 312.42
20600 2.73469 2.72728 2.69059 8.15256 338.558
20700 2.73534 2.85416 2.64214 8.23165 319.12
20800 2.79651 2.79099 2.56182 8.14932 344.957
20900 2.7604 2.75432 2.56634 8.08106 311.329
21000 2.62441 2.71813 2.56315 7.90569 306
21100 2.61932 2.73455 2.5437 7.89757 286.006
21200 2.59925 2.68241 2.56737 7.84903 284.1
21300 2.65827 2.67297 2.52705 7.85829 300.345
21400 2.62458 2.61889 2.48482 7.72828 299.303
21500 2.44813 2.68576 2.47308 7.60698 321.166
21600 2.43256 2.71376 2.52759 7.67391 315.646
21700 2.45598 2.70858 2.58305 7.74761 300.498
21800 2.45312 2.74019 2.68429 7.8776 287.672
21900 2.3916 2.84694 2.68334 7.92188 294.392
22000 2.32536 2.81622 2.64346 7.78504 316.647
22100 2.318 2.78865 2.68745 7.79409 310.074
22200 2.40107 2.93907 2.63695 7.9771 296.983
22300 2.54638 3.03224 2.50726 8.08589 305.96
22400 2.53415 2.93424 2.57148 8.03986 309.296
22500 2.6082 3.03207 2.61273 8.25299 295.925
22600 2.56425 3.05901 2.63603 8.25928 292.39
22700 2.62094 3.05089 2.61423 8.28605 306.481
22800 2.58263 3.14107 2.62975 8.35345 319.303
22900 2.58621 3.05613 2.60062 8.24296 323.528
23000 2.64549 3.11094 2.63163 8.38805 312.161
23100 2.69748 3.257 2.66329 8.61777 308.147
23200 2.61063 3.34953 2.69332 8.65349 305.477
23300 2.70424 3.45657 2.69701 8.85781 291.538
23400 2.77158 3.51619 2.78866 9.07643 293.014
23500 2.7609 3.6428 2.70023 9.10394 292.359
23600 2.9291 3.81621 2.57843 9.32374 314.15
23700 2.94151 3.96015 2.55739 9.45905 340.294
23800 2.9533 3.94135 2.4965 9.39115 325.879
23900 3.08735 3.82763 2.55782 9.47279 320.215
24000 3.10695 3.69498 2.70678 9.50871 304.23
24100 3.08412 3.68854 2.7925 9.56517 305.748
24200 3.11403 3.67009 2.89755 9.68167 285.276
24300 3.09245 3.59586 2.89649 9.5848 296.926
24400 3.05484 3.62966 2.96871 9.65321 305.211
24500 3.06766 3.72351 3.04314 9.83431 315.242
24600 3.2531 3.82947 3.07836 10.1609 309.928
24700 3.30911 3.73327 3.03852 10.0809 299.487
24800 3.27127 3.63923 2.98121 9.89171 291.313
24900 3.32271 3.75399 2.9752 10.0519 302.386
25000 3.36516 3.66784 3.0735 10.1065 312.689
25100 3.36586 3.67326 3.00933 10.0485 307.912
25200 3.41547 3.64643 2.94711 10.009 298.096
25300 3.38994 3.55584 3.00891 9.9547 291.879
25400 3.34342 3.46952 3.0624 9.87534 287.853
25500 3.34596 3.4922 3.13354 9.97171 306.276
25600 3.27968 3.52574 3.1255 9.93092 314.225
25700 3.3185 3.66766 3.10188 10.088 312.494
25800 3.38957 3.68967 3.10836 10.1876 311.58
25900 3.40053 3.62009 3.17728 10.1979 297.445
26000 3.48327 3.46438 3.24215 10.1898 298.386
26100 3.50589 3.3958 3.34865 10.2503 298.491
26200 3.45772 3.38718 3.38971 10.2346 319.461
26300 3.53904 3.53264 3.35286 10.4245 315.02
26400 3.69142 3.55548 3.34347 10.5904 293.683
26500 3.59957 3.51102 3.42739 10.538 294.351
26600 3.63226 3.49648 3.45142 10.5802 292.884
26700 3.64792 3.5313 3.38092 10.5601 310.704
26800 3.43789 3.59415 3.34006 10.3721 316.599
26900 3.47893 3.65346 3.4193 10.5517 297.886
27000 3.54787 3.7823 3.44221 10.7724 285.757
27100 3.66113 3.91954 3.44576 11.0264 300.681
27200 3.7174 3.97464 3.46648 11.1585 295.108
27300 3.81579 3.92156 3.50625 11.2436 304.776
27400 3.78154 3.99984 3.62014 11.4015 323.977
27500 3.71768 3.89589 3.58023 11.1938 316.557
27600 3.76667 3.92443 3.49288 11.184 301.188
27700 3.79617 3.90198 3.49615 11.1943 300.784
27800 3.93742 3.85268 3.49044 11.2805 291.507
27900 3.97466 3.81419 3.49585 11.2847 300.777
28000 3.95254 3.87348 3.46521 11.2912 314.91
28100 4.02695 3.83948 3.4435 11.3099 311.95
28200 4.01352 3.74406 3.52859 11.2862 290.041
28300 3.79701 3.6482 3.3909 10.8361 293.2
28400 3.67918 3.72839 3.45524 10.8628 291.869
28500 3.60531 3.85777 3.47873 10.9418 299.569
28600 3.54449 3.92422 3.48482 10.9535 302.509
28700 3.51308 4.00487 3.61491 11.1329 308.305
28800 3.48358 4.00098 3.60678 11.0913 296.007
28900 3.5092 3.8452 3.50627 10.8607 292.975
29000 3.55966 3.8272 3.42465 10.8115 303.465
29100 3.52519 3.88265 3.35629 10.7641 309.821
29200 3.50755 3.93002 3.37554 10.8131 319.982
29300 3.57332 4.06558 3.41776 11.0567 301.228
29400 3.70363 4.03293 3.48607 11.2226 296.767
29500 3.76819 4.04276 3.49841 11.3094 292.594
29600 3.81433 4.06557 3.58223 11.4621 303.567
29700 3.6825 3.96907 3.54216 11.1937 315.444
29800 3.65364 3.85063 3.53641 11.0407 322.104
29900 3.79361 3.70773 3.54123 11.0426 316.117
30000 3.82424 3.66211 3.58593 11.0723 316.715
30100 3.86504 3.77095 3.65422 11.2902 305.179
30200 3.83909 3.91486 3.71027 11.4642 297.581
30300 3.90322 3.9025 3.67834 11.4841 289.409
30400 3.9554 3.90248 3.71977 11.5777 303.531
30500 3.79808 3.90477 3.56428 11.2671 316.867
30600 3.80116 4.04389 3.47378 11.3188 309.59
30700 3.82426 4.17659 3.60128 11.6021 304.516
30800 3.95851 4.19172 3.41982 11.57 292.02
30900 4.04296 4.07828 3.28691 11.4081 286.355
31000 3.92742 4.0649 3.38641 11.3787 302.878
31100 3.83522 4.05278 3.41547 11.3035 306.598
31200 3.72597 3.98004 3.46977 11.1758 313.721
31300 3.72359 3.94737 3.52273 11.1937 286.856
31400 3.79916 3.91162 3.53977 11.2506 294.478
31500 3.96803 3.9976 3.66924 11.6349 298.831
31600 4.16446 3.97375 3.70643 11.8446 308.548
31700 4.29542 4.05022 3.84242 12.1881 292.949
31800 4.37784 4.02391 4.00593 12.4077 278.462
31900 4.4055 3.86366 3.94701 12.2162 307.217
32000 4.356 3.76574 3.8885 12.0102 312.749
32100 4.3095 3.83604 3.89863 12.0442 300.019
32200 4.26897 3.87433 3.9132 12.0565 288.731
32300 4.16927 3.9958 4.02539 12.1905 286.086
32400 4.22156 4.03528 4.11681 12.3736 287.949
32500 4.42828 4.06707 4.20577 12.7011 296.555
32600 4.56568 4.0767 4.37577 13.0182 301.646
32700 4.61216 3.98306 4.23635 12.8316 306.724
32800 4.42262 4.00016 3.99163 12.4144 306.429
32900 4.48578 4.0176 3.9469 12.4503 295.181
33000 4.50288 3.97989 3.9221 12.4049 284.274
33100 4.59132 3.9461 3.96848 12.5059 285.873
33200 4.71846 3.88773 4.0186 12.6248 309.758
33300 4.65924 3.87279 4.04955 12.5816 309.106
33400 4.65692 3.93924 4.07268 12.6688 303.266
33500 4.57217 3.98051 4.124 12.6767 288.199
33600 4.46278 4.19592 4.0817 12.7404 297.587
33700 4.32382 4.16135 4.07642 12.5616 292.859
33800 4.38879 3.93056 4.13877 12.4581 306.79
33900 4.44643 3.88645 4.0733 12.4062 300.3
34000 4.40121 3.92189 4.01329 12.3364 309.907
34100 4.29379 4.02351 3.95952 12.2768 289.563
34200 4.15107 4.00471 3.99769 12.1535 291.567
34300 4.15176 3.9976 3.94258 12.0919 292.374
34400 4.13463 4.01776 3.8751 12.0275 311.344
34500 4.17357 3.96047 3.87353 12.0076 305.73
34600 4.37927 3.89194 3.81153 12.0827 308.215
34700 4.5604 3.83482 3.86439 12.2596 310.171
34800 4.73677 3.77372 3.91292 12.4234 289.845
34900 4.86875 3.886 3.87724 12.632 303.17
35000 4.98128 4.11999 3.98342 13.0847 305.884
35100 4.8516 4.1999 4.14817 13.1997 297.028
