# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0175692 0.0161743 0.0137158 0.0474593 201.709
200 0.0761245 0.0736242 0.0775639 0.227313 258.932
300 0.141732 0.146862 0.194282 0.482876 304.962
400 0.218252 0.205767 0.259312 0.683331 337.37
500 0.331682 0.288629 0.283165 0.903477 329.313
600 0.408469 0.361668 0.375849 1.14599 334.321
700 0.394199 0.408304 0.460983 1.26349 310.845
800 0.418255 0.460353 0.542805 1.42141 316.724
900 0.465384 0.506105 0.612082 1.58357 310.126
1000 0.554394 0.522561 0.664565 1.74152 312.259
1100 0.576454 0.564281 0.683168 1.8239 312.955
1200 0.596263 0.548111 0.663568 1.80794 311.107
1300 0.636463 0.548669 0.685742 1.87087 294.644
1400 0.685962 0.59684 0.716937 1.99974 296.356
1500 0.681228 0.64725 0.744549 2.07303 298.054
1600 0.683976 0.664784 0.73728 2.08604 299.001
1700 0.718701 0.751054 0.773979 2.24373 314.763
1800 0.661521 0.840035 0.810701 2.31226 328.78
1900 0.665023 0.87419 0.86919 2.4084 312.274
2000 0.685866 0.920261 0.940393 2.54652 305.699
