# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
5100 0.0110427 0.0132117 0.0123615 0.0366159 289.401
5200 0.0213782 0.0252023 0.0257918 0.0723723 311.032
5300 0.0296305 0.0368987 0.0316285 0.0981577 314.475
5400 0.0359591 0.0431389 0.0421102 0.121208 308.47
5500 0.0385725 0.0441308 0.0490288 0.131732 303.11
5600 0.0421001 0.0422548 0.0519583 0.136313 301.42
5700 0.0401007 0.0420038 0.0560476 0.138152 307.043
5800 0.0305122 0.0391365 0.0527449 0.122394 294.596
5900 0.0313755 0.0380164 0.0475097 0.116901 303.266
6000 0.0367681 0.0333445 0.0369678 0.10708 308.051
6100 0.0354531 0.0375527 0.0365825 0.109588 320.252
6200 0.0355591 0.0381241 0.0338544 0.107538 313.959
6300 0.0366951 0.0347872 0.0357616 0.107244 308.677
6400 0.0386937 0.0412449 0.0365839 0.116523 291.214
6500 0.0391071 0.0484534 0.0384139 0.125974 307.622
6600 0.0415225 0.0610674 0.0536504 0.15624 309.698
6700 0.0435992 0.0692813 0.0657104 0.178591 316.764
6800 0.044368 0.065129 0.0684595 0.177956 318.345
6900 0.0479158 0.0613354 0.0611762 0.170427 322.084
7000 0.048228 0.0616593 0.0598811 0.169768 306.986
7100 0.0503389 0.0658826 0.0595641 0.175786 305.705
7200 0.0509805 0.0654989 0.0559508 0.17243 308.852
7300 0.0514708 0.0630883 0.0562237 0.170783 320.374
7400 0.0589565 0.0603442 0.0544272 0.173728 330.569
7500 0.059217 0.0606065 0.0608235 0.180647 333.111
7600 0.0578477 0.0623329 0.069662 0.189843 316.966
7700 0.0625062 0.0673371 0.0683984 0.198242 304.292
7800 0.0595576 0.0661021 0.0618989 0.187559 325.669
7900 0.0692131 0.0732389 0.0694292 0.211881 326.938
8000 0.0731613 0.0860268 0.082354 0.241542 324.983
8100 0.070875 0.0882231 0.0940798 0.253178 336.726
8200 0.0737627 0.0910432 0.102818 0.267623 335.914
8300 0.0710076 0.0827889 0.092854 0.24665 334.342
8400 0.0669298 0.0759821 0.0894231 0.232335 311.525
