# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.00853151 0.00536895 0.00729463 0.0211951 292.427
200 0.0143794 0.0100859 0.013002 0.0374673 325.018
300 0.0168289 0.0144956 0.0140859 0.0454104 376.678
400 0.0277738 0.0205128 0.0189968 0.0672835 435.292
500 0.0232574 0.013245 0.0139785 0.0504809 503.246
600 0.0265435 0.0154922 0.0172768 0.0593125 532.602
700 0.0226475 0.0178078 0.0174056 0.0578609 523.82
800 0.0196365 0.016264 0.0153396 0.0512401 504.593
900 0.0272522 0.0162939 0.0211584 0.0647046 466.887
1000 0.0154544 0.0125105 0.0150279 0.0429929 489.309
1100 0.0276586 0.0160045 0.0197058 0.0633689 492.268
1200 0.0231837 0.0166104 0.0178797 0.0576739 513.941
1300 0.0208443 0.017232 0.0190416 0.0571179 527.549
1400 0.0186573 0.0169519 0.016541 0.0521501 505.678
1500 0.0176368 0.0135842 0.0122447 0.0434657 493.634
1600 0.0221705 0.0113907 0.0155683 0.0491295 478.409
1700 0.0193177 0.0135126 0.0163366 0.049167 482.003
1800 0.0183639 0.0148368 0.0155664 0.0487671 520.22
1900 0.0210835 0.0156868 0.0164708 0.053241 503.903
2000 0.0208561 0.012501 0.0154634 0.0488205 517.78
2100 0.0233102 0.0146462 0.0172479 0.0552043 475.759
2200 0.0207366 0.015832 0.0166491 0.0532177 488.664
2300 0.0205404 0.0168272 0.0185669 0.0559345 498.291
2400 0.0179618 0.0139185 0.0181214 0.0500018 514.128
2500 0.0168556 0.0123854 0.0145883 0.0438293 532.033
2600 0.0184214 0.0168068 0.0160207 0.0512489 490.329
2700 0.0200776 0.0169598 0.0144949 0.0515323 482.766
2800 0.0221593 0.0147281 0.0151672 0.0520545 493.366
2900 0.0199097 0.0118713 0.0156316 0.0474126 536.955
3000 0.0212656 0.0163118 0.0238571 0.0614345 526.945
3100 0.0239289 0.0172819 0.0258019 0.0670127 513.594
3200 0.0192255 0.0184383 0.0209995 0.0586633 511.925
3300 0.0218906 0.0167402 0.0198025 0.0584333 497.949
3400 0.0204222 0.0140593 0.0171439 0.0516253 495.517
3500 0.023098 0.0150696 0.019298 0.0574656 465.076
3600 0.0210993 0.0169606 0.0188637 0.0569236 502.98
3700 0.0280475 0.0201948 0.0201655 0.0684077 512.751
3800 0.0294584 0.0179932 0.0232837 0.0707352 498.584
3900 0.0235104 0.0157444 0.0240107 0.0632656 501.78
4000 0.0214447 0.0141777 0.0207552 0.0563776 485.476
4100 0.0167889 0.0160035 0.0147373 0.0475297 465.428
4200 0.0174264 0.0127691 0.0157911 0.0459866 477.963
4300 0.0170371 0.0137773 0.0176526 0.0484671 501.268
4400 0.018389 0.0158041 0.0174368 0.0516298 511.842
4500 0.024183 0.0174151 0.024641 0.0662391 497.337
4600 0.0272864 0.0215049 0.0273168 0.0761082 477.428
4700 0.0349863 0.0215658 0.0272715 0.0838236 499.706
4800 0.0255696 0.0193348 0.0208785 0.0657828 521.672
4900 0.0205169 0.0178003 0.0201959 0.0585131 537.106
5000 0.0201623 0.0170623 0.0176269 0.0548515 504.03
5100 0.0192201 0.0179122 0.0171054 0.0542376 484.251
5200 0.0205336 0.0210346 0.0187342 0.0603025 501.669
5300 0.0259354 0.0210657 0.0270018 0.0740028 494.16
5400 0.0251654 0.0202078 0.0269804 0.0723536 532.936
5500 0.0221772 0.0211156 0.0211243 0.0644172 525.227
5600 0.0214615 0.0191961 0.0184201 0.0590776 497.135
5700 0.0198538 0.0187396 0.0165361 0.0551295 487.216
5800 0.0168443 0.0172582 0.0166028 0.0507053 490.906
5900 0.0201551 0.0164037 0.0193036 0.0558625 510.471
6000 0.0219734 0.0181745 0.0190913 0.0592392 520.705
