# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0299065 0.0340102 0.0290588 0.0929755 414.966
200 0.0813221 0.118378 0.0918573 0.291558 435.531
300 0.1297 0.1929 0.141799 0.464399 469.563
400 0.172637 0.217949 0.178185 0.568771 499.096
500 0.202408 0.21558 0.180049 0.598037 515.964
600 0.22239 0.207885 0.168838 0.599114 517.921
700 0.222031 0.20873 0.162706 0.593468 502.851
800 0.242377 0.219678 0.173799 0.635854 481.422
900 0.237126 0.203521 0.202538 0.643184 485.553
1000 0.222301 0.187835 0.209914 0.620049 516.708
1100 0.221775 0.199256 0.229078 0.650109 515.738
1200 0.209921 0.234309 0.247432 0.691662 502.266
1300 0.22611 0.260454 0.256248 0.742811 508.6
1400 0.239764 0.270174 0.237136 0.747074 501.196
1500 0.248221 0.272862 0.228303 0.749386 486.83
