# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
0 3.41745e-30 3.71082e-30 2.28209e-30 9.41036e-30 902.978
100 0.0330014 0.0251886 0.0369527 0.0951426 913.926
200 0.0552463 0.0476076 0.0696258 0.17248 865.21
300 0.0640593 0.0589399 0.0779567 0.200956 849.909
400 0.0668882 0.0627331 0.0729248 0.202546 926.463
500 0.0628488 0.0660065 0.0765509 0.205406 868.44
600 0.0533427 0.0700972 0.0802688 0.203709 852.072
700 0.0581638 0.0524061 0.0482069 0.158777 956.179
800 0.0505839 0.0418588 0.0430381 0.135481 942.26
900 0.0473468 0.0427596 0.0452082 0.135315 909.476
1000 0.0448621 0.0480149 0.0633744 0.156251 856.067
1100 0.044987 0.0441992 0.0582696 0.147456 910.787
1200 0.0439072 0.0417565 0.0554672 0.141131 898.731
1300 0.0418049 0.0502784 0.0581241 0.150207 943.851
1400 0.0566879 0.0563209 0.0657164 0.178725 892.956
1500 0.0548021 0.0566391 0.0625842 0.174025 885.216
1600 0.0434467 0.0566821 0.0631865 0.163315 848.882
1700 0.0524265 0.0574798 0.0563894 0.166296 877.023
1800 0.0561461 0.0485613 0.0602791 0.164986 972.855
1900 0.0639983 0.0462291 0.0676916 0.177919 1001.18
2000 0.0549479 0.0471856 0.0589199 0.161053 962.035
2100 0.0469777 0.0495234 0.0511235 0.147625 958.041
2200 0.0540744 0.0588348 0.0452043 0.158113 882.05
2300 0.0440193 0.0557702 0.0539347 0.153724 961.77
2400 0.0530138 0.0634232 0.0611358 0.177573 892.51
2500 0.0487247 0.0571043 0.0792363 0.185065 922.297
2600 0.0521515 0.0555356 0.0843503 0.192037 916.342
2700 0.0555087 0.0595967 0.0619146 0.17702 1010.78
2800 0.0582931 0.05784 0.0527606 0.168894 932.699
2900 0.047422 0.058377 0.0576856 0.163485 897.247
3000 0.0505028 0.0499726 0.0486169 0.149092 932.859
3100 0.0569285 0.0527716 0.0513945 0.161095 852.324
3200 0.0581025 0.0592305 0.0634981 0.180831 877.88
3300 0.0570351 0.0665719 0.0673572 0.190964 918.455
3400 0.050096 0.0577399 0.0707222 0.178558 1022.96
3500 0.0553701 0.0555939 0.0594871 0.170451 894.887
3600 0.0512494 0.0583919 0.0598569 0.169498 862.307
3700 0.0416296 0.0566175 0.0504118 0.148659 908.715
3800 0.0424467 0.0563861 0.0561897 0.155022 919.183
3900 0.0489359 0.056932 0.0647836 0.170651 940.343
4000 0.0575207 0.0579496 0.073276 0.188746 977.776
4100 0.0734873 0.064639 0.0784981 0.216624 899.408
4200 0.0780022 0.0693748 0.067252 0.214629 929.938
4300 0.0608822 0.056804 0.0592662 0.176952 847.88
4400 0.0513212 0.043435 0.0560298 0.150786 845.015
4500 0.0489232 0.039613 0.0536597 0.142196 979.287
4600 0.0511437 0.0442019 0.0671664 0.162512 910.52
4700 0.0484795 0.0433311 0.0649097 0.15672 944.884
4800 0.0436169 0.0440251 0.0626705 0.150312 939.418
4900 0.0460653 0.046642 0.064264 0.156971 932.763
5000 0.055195 0.0572597 0.0691906 0.181645 854.189
5100 0.0590083 0.0602604 0.0665231 0.185792 913.32
5200 0.0587517 0.0598572 0.0712318 0.189841 926.046
5300 0.0712533 0.0589609 0.0570647 0.187279 931.31
5400 0.0625809 0.0604152 0.0564549 0.179451 918.013
5500 0.0503695 0.0491366 0.0580241 0.15753 1029.52
5600 0.0414375 0.0540018 0.0678513 0.163291 941.299
5700 0.044365 0.0556499 0.0573083 0.157323 937.839
5800 0.0497808 0.0516004 0.0551721 0.156553 928.596
5900 0.0449193 0.0524578 0.0667848 0.164162 899.131
6000 0.0595485 0.0407283 0.0704276 0.170704 1013.35
6100 0.0656032 0.0528807 0.076961 0.195445 999.602
6200 0.075339 0.0619176 0.0782 0.215457 945.097
6300 0.0850281 0.057207 0.071332 0.213567 949.046
6400 0.0715153 0.0581627 0.0603215 0.189999 975.981
6500 0.0671434 0.056512 0.0764332 0.200089 973.461
6600 0.0643439 0.0589897 0.0920131 0.215347 961.468
6700 0.0552931 0.0680465 0.080774 0.204114 970.133
6800 0.0537744 0.0732392 0.0736474 0.200661 1005.32
6900 0.0568718 0.0753529 0.0733237 0.205548 905.887
7000 0.0603234 0.0658764 0.0721749 0.198375 952.909
7100 0.0689791 0.0532098 0.074506 0.196695 1055.18
7200 0.0783812 0.0558518 0.0813993 0.215632 958.977
7300 0.0757977 0.0579218 0.0744118 0.208131 1001.14
7400 0.0702043 0.0767012 0.0811442 0.22805 902.849
7500 0.0639476 0.0767149 0.0815578 0.22222 994.963
7600 0.0599027 0.057346 0.073682 0.190931 1017.72
7700 0.0632204 0.059542 0.0712342 0.193997 951.184
7800 0.0491987 0.0624012 0.0734942 0.185094 1067
7900 0.0578488 0.0629919 0.0716975 0.192538 968.16
8000 0.0578502 0.0728894 0.0782539 0.208993 876.528
8100 0.0548098 0.0940919 0.091878 0.24078 920.901
8200 0.0671275 0.0947951 0.0976921 0.259615 924.472
8300 0.0655843 0.0826877 0.0985489 0.246821 971.344
8400 0.0692194 0.0805592 0.100519 0.250298 1060.36
8500 0.0666327 0.0788406 0.0849706 0.230444 987.735
