# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
100 0.0377167 0.0312338 0.0300518 0.0990024 -32985.4 676.676
200 0.099211 0.103865 0.11446 0.317536 -33246.4 622.384
300 0.146553 0.183208 0.199171 0.528932 -33406.5 530.751
400 0.209269 0.219683 0.255349 0.684301 -33538.3 480.161
500 0.276743 0.309524 0.300561 0.886828 -33610.2 419.568
600 0.366678 0.390168 0.364871 1.12172 -33678.5 394.855
700 0.475484 0.445859 0.406135 1.32748 -33746.3 386.241
800 0.585578 0.483168 0.450682 1.51943 -33775.2 354.772
900 0.692648 0.521529 0.513855 1.72803 -33820.2 356.409
1000 0.720654 0.541777 0.545344 1.80777 -33832.4 335.627
1100 0.733512 0.540432 0.565259 1.8392 -33854.9 334.266
1200 0.748529 0.548233 0.580234 1.877 -33864.7 324.366
1300 0.793067 0.531299 0.572139 1.89651 -33867.8 317.802
1400 0.815283 0.480595 0.618189 1.91407 -33884 325.881
1500 0.804444 0.471802 0.633259 1.9095 -33880.7 315.639
1600 0.790775 0.496438 0.577831 1.86504 -33884.9 318.15
1700 0.753141 0.522461 0.584955 1.86056 -33887 318.816
1800 0.747028 0.519489 0.617925 1.88444 -33892.1 322.755
1900 0.76256 0.521709 0.60487 1.88914 -33881.1 309.948
2000 0.807055 0.504955 0.61846 1.93047 -33876.2 313.337
2100 0.834336 0.497261 0.623572 1.95517 -33887.2 327.813
2200 0.882022 0.500051 0.623582 2.00566 -33885.7 323.125
2300 0.903205 0.502462 0.632468 2.03814 -33883.3 319.381
2400 0.963332 0.512403 0.654351 2.13009 -33877.6 319.091
2500 1.03381 0.518313 0.680272 2.2324 -33878.8 322.986
2600 1.01271 0.5442 0.681273 2.23819 -33879.5 325.412
2700 0.993033 0.516152 0.715537 2.22472 -33882.1 330.396
2800 0.981008 0.511706 0.717658 2.21037 -33884.6 330.439
2900 0.957819 0.506868 0.719167 2.18385 -33876.8 322.497
3000 0.928482 0.508345 0.698892 2.13572 -33880.1 329.329
3100 0.907817 0.48655 0.729177 2.12354 -33876.1 324.852
3200 0.894435 0.521203 0.735573 2.15121 -33880.9 331.556
3300 0.872933 0.546118 0.742101 2.16115 -33876.8 328.986
3400 0.873037 0.557672 0.77431 2.20502 -33873.6 328.055
3500 0.913756 0.551722 0.782208 2.24769 -33866.1 325.508
3600 0.955389 0.559936 0.780234 2.29556 -33869 334.366
3700 0.990669 0.551788 0.758489 2.30095 -33870.7 336.504
3800 1.00612 0.534073 0.767242 2.30744 -33875.9 340.481
3900 1.02268 0.543434 0.761622 2.32774 -33876.2 341.248
4000 1.00556 0.535611 0.742758 2.28393 -33872.2 336.747
4100 1.03338 0.524703 0.7447 2.30278 -33870.5 336.971
4200 1.05548 0.546075 0.777467 2.37903 -33869.3 339.78
4300 1.08279 0.560196 0.756864 2.39985 -33860.6 332.029
4400 1.13442 0.53612 0.755088 2.42563 -33861.3 339.257
4500 1.0993 0.523192 0.749899 2.37239 -33874 356.16
4600 1.0726 0.501229 0.774532 2.34837 -33868.6 345.774
4700 1.06282 0.507572 0.754857 2.32525 -33870.3 345.967
4800 1.04589 0.53809 0.710852 2.29483 -33876.5 350.556
4900 0.995879 0.543288 0.687176 2.22634 -33858.2 337.324
5000 0.958549 0.525932 0.720572 2.20505 -33862 346.124
5100 0.957775 0.54346 0.756415 2.25765 -33861.5 347.244
5200 0.953216 0.532495 0.778089 2.2638 -33869.8 355.385
5300 1.01979 0.543212 0.839908 2.40291 -33871.7 356.574
5400 1.14607 0.581467 0.869822 2.59735 -33878.6 360.216
5500 1.10186 0.563017 0.824199 2.48907 -33864.1 347.834
5600 1.04511 0.529455 0.77077 2.34534 -33861.9 348.621
5700 1.02423 0.539744 0.678439 2.24242 -33875.8 366.14
5800 0.997985 0.543851 0.642557 2.18439 -33883.1 364.014
5900 1.0297 0.578212 0.664989 2.2729 -33871.6 351.955
6000 1.06568 0.552145 0.668118 2.28594 -33871.6 356.686
6100 1.05062 0.575769 0.655934 2.28232 -33868 354.899
6200 1.04166 0.642435 0.688324 2.37242 -33867.1 356.472
6300 1.03974 0.62746 0.745445 2.41265 -33874.4 367.723
6400 1.00581 0.591221 0.74024 2.33727 -33872 362.077
6500 0.986679 0.597233 0.76066 2.34457 -33876.9 365.853
6600 0.990565 0.590057 0.796649 2.37727 -33880.2 370.89
6700 0.983699 0.608338 0.813352 2.40539 -33860.4 353.397
6800 1.00821 0.603243 0.800123 2.41157 -33864 364.388
6900 1.02998 0.611502 0.729775 2.37126 -33861.1 364.462
7000 1.04594 0.63149 0.718733 2.39616 -33870.9 376.714
7100 1.05669 0.708391 0.706623 2.4717 -33867.9 369.157
7200 1.05796 0.77625 0.689707 2.52392 -33877.1 376.485
7300 1.07253 0.822546 0.644339 2.53941 -33881.9 375.794
7400 1.10958 0.839158 0.654847 2.60359 -33883.3 376.388
7500 1.17467 0.885195 0.686235 2.7461 -33872.4 366.318
7600 1.23467 0.918876 0.724135 2.87768 -33888.4 383.909
7700 1.26198 1.00191 0.756481 3.02037 -33887.9 379.165
7800 1.25339 1.10311 0.794011 3.15051 -33884.2 375.119
7900 1.24923 1.12049 0.793211 3.16294 -33871.9 370.051
8000 1.25791 1.05778 0.797779 3.11346 -33870.8 374.157
8100 1.25347 1.00079 0.814162 3.06842 -33863.9 374.624
8200 1.2992 0.989801 0.801121 3.09012 -33873 385.738
8300 1.32806 0.989124 0.836493 3.15368 -33865.8 381.182
8400 1.33515 1.01304 0.854464 3.20265 -33873.6 387.928
8500 1.30033 1.05936 0.85729 3.21698 -33877.4 389.338
8600 1.28326 1.144 0.864014 3.29127 -33868.6 383.949
8700 1.32767 1.19241 0.870297 3.39037 -33866.8 380.871
8800 1.36943 1.15003 0.900027 3.41948 -33859.5 381.151
8900 1.44022 1.08921 0.89588 3.42531 -33859.7 385.168
9000 1.39909 1.03771 0.898269 3.33507 -33863.4 391.887
9100 1.35884 1.02832 0.879084 3.26624 -33870.8 396.258
9200 1.306 1.07068 0.964404 3.34108 -33859.4 385.277
9300 1.30744 1.08894 0.932673 3.32906 -33859.9 391.067
9400 1.34347 1.16477 0.854455 3.36269 -33855.4 389.097
9500 1.36942 1.1981 0.820219 3.38774 -33858.7 393.716
9600 1.36772 1.17146 0.825816 3.36499 -33852.2 391.339
9700 1.31422 1.12462 0.80047 3.23932 -33865.4 406.288
9800 1.25238 1.16491 0.793493 3.21078 -33845.1 386.479
9900 1.2354 1.16629 0.818067 3.21975 -33852.2 395.673
10000 1.22372 1.20597 0.851424 3.28112 -33856.9 403.029
10100 1.21308 1.24462 0.860951 3.31865 -33856.7 400.394
10200 1.23263 1.26458 0.865309 3.36252 -33864 407.974
10300 1.29669 1.21797 0.890004 3.40467 -33860.4 405.423
10400 1.3674 1.22909 0.917896 3.5144 -33864.7 405.416
10500 1.37234 1.27823 0.94181 3.59238 -33886.4 423.059
10600 1.3713 1.32653 0.974388 3.67222 -33882.2 410.742
10700 1.39709 1.38137 0.957992 3.73645 -33880.9 406.038
10800 1.38336 1.42767 0.914324 3.72535 -33870.3 399.852
10900 1.39986 1.47208 0.884376 3.75632 -33868.3 403.267
11000 1.47012 1.45286 0.870882 3.79386 -33886.1 419.074
11100 1.49517 1.39179 0.845293 3.73225 -33887.8 413.567
11200 1.47883 1.37477 0.856086 3.70968 -33884.9 410.638
11300 1.51823 1.46191 0.898903 3.87904 -33876.3 410.139
11400 1.51245 1.55685 0.981182 4.05048 -33894.8 420.853
11500 1.49728 1.59049 1.0568 4.14456 -33887 413.981
11600 1.45068 1.56352 1.03755 4.05175 -33880.8 408.11
11700 1.48212 1.50147 1.01235 3.99594 -33874.5 410.073
11800 1.5514 1.43641 1.01757 4.00537 -33872.2 411.862
11900 1.55508 1.3878 0.990527 3.9334 -33877.9 422.65
12000 1.52866 1.40477 0.962767 3.8962 -33882.8 423.187
12100 1.55034 1.44563 0.941999 3.93797 -33879.7 422.356
12200 1.56643 1.40962 0.970725 3.94678 -33864.7 408.186
12300 1.53899 1.36223 0.977406 3.87862 -33873.9 425.118
12400 1.4694 1.37845 1.00695 3.8548 -33871.9 421.368
12500 1.41855 1.43648 1.08202 3.93705 -33873.6 424.367
12600 1.40424 1.45654 1.09191 3.95268 -33864.9 416.972
12700 1.38904 1.50957 1.10268 4.0013 -33866.5 425.205
12800 1.34471 1.43648 1.05465 3.83584 -33867.7 427.338
12900 1.37903 1.40599 1.02294 3.80796 -33865.2 426.754
13000 1.40492 1.37294 1.01986 3.79773 -33853.5 419.128
13100 1.41537 1.43822 1.04732 3.9009 -33856.7 428.16
13200 1.43932 1.48524 1.05461 3.97916 -33849.6 423.096
13300 1.41896 1.59557 1.07713 4.09166 -33852.6 432.84
13400 1.37692 1.66614 1.07833 4.12138 -33849.3 428.802
13500 1.36114 1.62383 1.07221 4.05718 -33855.3 437.75
13600 1.38663 1.59544 1.06785 4.04992 -33866.9 442.203
13700 1.43659 1.63278 1.0854 4.15476 -33856.2 431.257
13800 1.40624 1.72696 1.10657 4.23977 -33859.1 437.736
13900 1.32939 1.71806 1.10794 4.15539 -33844.8 429.718
14000 1.267 1.61857 1.13189 4.01747 -33850.9 438.709
14100 1.29568 1.63138 1.13872 4.06578 -33842.4 429.161
14200 1.35278 1.61362 1.13045 4.09685 -33841 436.224
14300 1.32796 1.662 1.06983 4.05979 -33848.6 441.736
14400 1.32049 1.6505 1.05285 4.02383 -33846.7 444.558
14500 1.33206 1.6721 1.05167 4.05583 -33855.1 447.199
14600 1.31857 1.66083 1.07753 4.05693 -33846.9 441.508
14700 1.30274 1.62134 1.11618 4.04027 -33849.2 448.019
14800 1.27075 1.60566 1.18842 4.06483 -33841.2 440.086
14900 1.25807 1.59399 1.17384 4.02591 -33847.9 451.448
15000 1.31901 1.58061 1.13055 4.03017 -33852.9 456.16
15100 1.33949 1.6113 1.06518 4.01597 -33848.4 450.089
15200 1.3942 1.56503 1.07532 4.03455 -33861 462.261
15300 1.46827 1.58213 1.17393 4.22433 -33854.3 450.507
15400 1.49334 1.6233 1.15643 4.27307 -33854.1 451.98
15500 1.48484 1.66059 1.19184 4.33727 -33847.5 449.829
15600 1.47212 1.65021 1.27342 4.39574 -33850.4 456.041
15700 1.42266 1.58561 1.31837 4.32664 -33847.4 453.944
15800 1.4421 1.60342 1.30172 4.34724 -33852.7 460.527
15900 1.44631 1.60112 1.31482 4.36226 -33855.7 463.244
16000 1.48971 1.67219 1.23653 4.39843 -33851.1 459.499
16100 1.53028 1.73446 1.18779 4.45253 -33865.4 469.337
16200 1.52411 1.7079 1.16105 4.39306 -33850.6 454.716
16300 1.50252 1.63823 1.19859 4.33933 -33854.7 461.067
16400 1.42633 1.59452 1.22798 4.24883 -33847.7 457.697
16500 1.44655 1.60506 1.21863 4.27024 -33859.1 470.096
16600 1.48779 1.60144 1.23836 4.32759 -33866.9 473.89
16700 1.45686 1.60273 1.26889 4.32848 -33848.9 454.812
16800 1.44594 1.62055 1.26098 4.32746 -33837.3 455.226
16900 1.47165 1.65412 1.22695 4.35272 -33821.8 452.116
17000 1.52784 1.70148 1.24663 4.47595 -33827.3 470.121
17100 1.55882 1.74615 1.25728 4.56225 -33820.1 464.501
17200 1.5455 1.77475 1.20682 4.52707 -33820.8 467.871
17300 1.56746 1.76066 1.14663 4.47476 -33825.2 474.132
17400 1.56247 1.77197 1.11954 4.45397 -33826.2 472.218
17500 1.58627 1.77723 1.13609 4.49959 -33830.3 478.317
17600 1.59689 1.8154 1.09165 4.50394 -33807.2 460.786
17700 1.5548 1.80428 1.02264 4.38172 -33822.7 485.454
17800 1.49352 1.81645 1.0466 4.35658 -33817 478.525
17900 1.49717 1.83343 1.02609 4.35669 -33816.4 476.056
18000 1.52464 1.72783 0.995344 4.24781 -33817 477.205
18100 1.49931 1.72248 1.0961 4.31788 -33815.3 477.97
18200 1.45492 1.71907 1.15437 4.32836 -33819.8 483.572
18300 1.49172 1.70257 1.08084 4.27514 -33825 485.603
18400 1.53964 1.73127 1.14147 4.41238 -33817.2 478.839
18500 1.53633 1.71886 1.28468 4.53987 -33809.2 477.727
18600 1.58428 1.766 1.37189 4.72218 -33788.5 468.899
18700 1.57074 1.89127 1.37952 4.84152 -33808.8 494.004
18800 1.57077 1.98572 1.30952 4.86601 -33812.4 491.305
18900 1.6129 1.8702 1.26293 4.74603 -33807.6 484.334
19000 1.62859 1.80659 1.22243 4.65761 -33813.3 494.894
19100 1.63945 1.80966 1.18748 4.6366 -33805.2 484.836
19200 1.64725 1.84603 1.28313 4.77641 -33796.6 482.588
19300 1.70677 1.86538 1.33151 4.90366 -33800.9 489.691
19400 1.72342 1.93897 1.36131 5.0237 -33785.6 479.857
19500 1.72394 1.97883 1.32491 5.02768 -33803 501.407
19600 1.67811 1.96175 1.36228 5.00214 -33803.5 495.946
19700 1.61796 2.01346 1.4094 5.04082 -33796.6 489.305
19800 1.62271 2.04473 1.38531 5.05275 -33785.9 487.982
19900 1.60098 2.06864 1.33528 5.0049 -33796.6 503.002
20000 1.60592 2.0516 1.38161 5.03914 -33795.2 497.681
20100 1.6133 1.99344 1.52257 5.12932 -33791 497.294
20200 1.61951 2.00821 1.54316 5.17087 -33802.8 509.229
20300 1.65319 2.03748 1.54567 5.23634 -33801.1 501.415
20400 1.6055 2.03232 1.62061 5.25844 -33801.3 502.751
20500 1.68528 2.03005 1.60329 5.31862 -33813.5 513.374
20600 1.73091 1.99069 1.47362 5.19521 -33802.4 500.83
20700 1.60443 1.93617 1.537 5.0776 -33809.8 506.561
20800 1.56418 1.96725 1.56041 5.09184 -33798.3 501.465
20900 1.6387 1.90138 1.58153 5.12161 -33792.4 500.122
21000 1.65242 1.87442 1.61541 5.14225 -33783.9 499.982
21100 1.71701 1.97649 1.54953 5.24303 -33783.5 505.754
21200 1.80517 2.10197 1.50762 5.41477 -33792.5 518.027
21300 1.68874 2.06475 1.49815 5.25164 -33780.7 506.055
21400 1.63394 2.00754 1.61652 5.25799 -33774 502.453
21500 1.66596 1.95871 1.66346 5.28813 -33774.1 508.944
21600 1.71242 1.94881 1.5121 5.17333 -33781.4 514.91
21700 1.66462 1.91504 1.38518 4.96484 -33773.7 510.849
21800 1.63249 1.85435 1.36984 4.85669 -33767.8 509.903
21900 1.6098 1.79002 1.33955 4.73938 -33767 517.688
22000 1.59871 1.84389 1.27529 4.71789 -33772.1 520.667
22100 1.62169 1.94281 1.40061 4.96511 -33762.9 513.941
22200 1.63953 1.9741 1.34587 4.95951 -33767.7 525.176
22300 1.58672 1.98544 1.23319 4.80535 -33766.7 519.872
22400 1.56288 1.90384 1.23075 4.69747 -33782.9 535.121
22500 1.53428 1.90318 1.22193 4.65939 -33768.5 516.261
22600 1.58325 1.92567 1.29472 4.80364 -33772.4 525.723
22700 1.62332 1.94557 1.41517 4.98406 -33780.5 534.026
22800 1.61481 2.00711 1.50382 5.12574 -33762.9 519.66
22900 1.73072 2.03409 1.4873 5.25211 -33765.3 524.81
23000 1.80687 1.99104 1.44178 5.2397 -33766.4 528.444
23100 1.78744 1.88922 1.33126 5.00792 -33761.3 525.236
23200 1.69419 1.81113 1.31261 4.81793 -33761.3 526.408
23300 1.71675 1.86136 1.34027 4.91838 -33762.3 533.992
23400 1.74113 1.87332 1.34238 4.95682 -33762.4 531.263
23500 1.66073 1.88523 1.30546 4.85142 -33763.8 538.235
23600 1.58108 1.8486 1.29983 4.72951 -33765.7 535.883
23700 1.55727 1.85627 1.27036 4.68391 -33778 541.495
23800 1.51589 2.01838 1.36517 4.89943 -33790.1 548.101
23900 1.52026 2.09557 1.37181 4.98763 -33771.5 525.282
24000 1.61607 2.06255 1.31381 4.99243 -33771.3 531.328
24100 1.68281 1.93689 1.26839 4.88809 -33783.9 542.737
24200 1.64497 1.77701 1.27105 4.69303 -33781.9 541.09
24300 1.61095 1.76688 1.30531 4.68314 -33779 542.284
24400 1.569 1.72398 1.40251 4.69549 -33790.6 551.313
24500 1.52821 1.72488 1.33204 4.58512 -33772.3 532.633
24600 1.5222 1.86372 1.2741 4.66002 -33767 537.303
24700 1.43093 1.87668 1.25466 4.56228 -33768.1 546.119
24800 1.36094 1.9282 1.29034 4.57948 -33766.7 547.972
24900 1.35747 1.98689 1.3833 4.72766 -33770.1 550.254
25000 1.42886 1.8761 1.65678 4.96173 -33770.8 550.77
25100 1.41983 1.96223 1.71653 5.0986 -33760 541.092
25200 1.37802 1.96963 1.52183 4.86948 -33765.9 553.866
25300 1.30136 1.95961 1.35157 4.61254 -33757.5 549.843
25400 1.28577 2.12458 1.27488 4.68524 -33759 550.302
25500 1.26983 2.08642 1.35634 4.71258 -33772 561.477
25600 1.33336 1.89293 1.38531 4.6116 -33767.6 557.398
25700 1.35826 1.77816 1.39248 4.5289 -33755.4 545.971
25800 1.38281 1.72756 1.44725 4.55761 -33768.1 560.688
25900 1.42788 1.70012 1.45705 4.58504 -33753.7 550.449
26000 1.44512 1.6734 1.45329 4.57181 -33751.1 557.764
26100 1.46188 1.68859 1.49956 4.65002 -33762.8 567.444
26200 1.47404 1.8342 1.49647 4.8047 -33749.1 552.825
26300 1.46267 1.9132 1.48205 4.85792 -33764.3 569.491
26400 1.56791 1.874 1.58465 5.02655 -33762.2 564.372
26500 1.64262 1.8629 1.50574 5.01126 -33756.1 562.511
26600 1.62012 1.93955 1.42804 4.98771 -33751.6 561.539
26700 1.60145 1.90401 1.37437 4.87982 -33759.8 567.807
26800 1.64917 1.80342 1.38419 4.83678 -33733.1 550.877
26900 1.63027 1.82719 1.43406 4.89152 -33743 567.966
27000 1.56367 1.87558 1.48468 4.92393 -33743.9 571.932
27100 1.57061 1.92174 1.55832 5.05067 -33733.5 564.756
27200 1.53545 1.97802 1.62911 5.14258 -33744.8 577.806
27300 1.60907 2.073 1.60325 5.28531 -33755.4 582.791
27400 1.61551 2.16157 1.61401 5.39109 -33744.8 567.464
27500 1.63515 2.17372 1.68258 5.49146 -33736 564.594
27600 1.61451 2.06013 1.70771 5.38234 -33733.6 569.87
27700 1.60779 2.02045 1.60641 5.23464 -33724.6 567.303
27800 1.66225 1.98282 1.55811 5.20318 -33747.6 592.015
27900 1.59635 1.85191 1.55784 5.0061 -33736.4 579.009
28000 1.47964 1.80062 1.51696 4.79721 -33731 576.121
28100 1.43199 1.89423 1.50024 4.82646 -33729 576.794
28200 1.39105 1.96957 1.53668 4.89729 -33726.2 577.92
28300 1.39026 1.89098 1.54421 4.82546 -33722.8 577.135
28400 1.42972 1.90636 1.59216 4.92825 -33727 582.567
28500 1.48158 1.85834 1.62372 4.96364 -33726.2 585.715
28600 1.49332 1.78311 1.53416 4.8106 -33717.7 578.989
28700 1.53126 1.86112 1.3755 4.76788 -33731.9 594.506
28800 1.55382 1.8788 1.32024 4.75285 -33729 582.981
28900 1.47842 1.9305 1.38612 4.79504 -33732.1 586.719
29000 1.42829 1.97345 1.49187 4.8936 -33705.6 568.693
29100 1.45203 2.07833 1.56799 5.09835 -33725 595.328
29200 1.43025 1.94939 1.61658 4.99623 -33720.7 589.044
29300 1.43252 1.87353 1.43042 4.73648 -33727.5 600.967
29400 1.48777 1.86947 1.40989 4.76713 -33724.2 591.086
29500 1.55815 1.99081 1.4931 5.04207 -33719 588.683
29600 1.65037 2.20827 1.50417 5.3628 -33715.1 590.268
29700 1.67246 2.37884 1.47069 5.52199 -33720.5 597.995
29800 1.62918 2.21035 1.52057 5.36009 -33706.4 589.111
29900 1.446 1.99702 1.48606 4.92908 -33718.1 605.058
30000 1.34844 1.99129 1.40194 4.74166 -33742.5 617.054
30100 1.38965 2.09416 1.31906 4.80287 -33722.6 594.921
30200 1.42348 2.02311 1.35786 4.80445 -33731.1 606.85
30300 1.48542 1.99797 1.32605 4.80944 -33726.3 597.972
30400 1.50663 2.01957 1.3432 4.8694 -33716 596.437
30500 1.41775 2.02813 1.33582 4.78169 -33716.2 604.206
30600 1.42413 1.82794 1.33902 4.59109 -33720.7 606.928
30700 1.44681 1.78608 1.41696 4.64985 -33713.7 605.865
30800 1.45899 1.90515 1.49716 4.8613 -33705.2 603.389
30900 1.42066 1.86864 1.5426 4.8319 -33711.2 613.459
31000 1.39675 1.85488 1.56325 4.81488 -33708.7 608.468
31100 1.40323 1.85452 1.51919 4.77693 -33695.2 603.23
31200 1.38646 1.88254 1.47329 4.74228 -33696.5 609.163
31300 1.34762 1.89648 1.40266 4.64676 -33695.7 608.959
31400 1.2576 1.80979 1.35696 4.42436 -33686.9 600.578
31500 1.25423 1.79852 1.40646 4.45921 -33689.6 610.127
31600 1.26481 1.76667 1.3307 4.36219 -33686.1 607.217
31700 1.28836 1.72252 1.26578 4.27666 -33683.3 609.539
31800 1.36522 1.71899 1.23528 4.31949 -33689.6 617.78
31900 1.36443 1.6435 1.21716 4.2251 -33695.6 622.869
32000 1.33778 1.68784 1.29062 4.31624 -33692.2 613.074
32100 1.31889 1.63464 1.34363 4.29716 -33701.9 628.992
32200 1.35276 1.63321 1.42607 4.41204 -33690.9 612.514
32300 1.4093 1.7706 1.39704 4.57694 -33709.8 635.545
32400 1.38337 1.77176 1.39158 4.54672 -33692.5 614.786
32500 1.41298 1.76134 1.4163 4.59062 -33693.7 620.908
32600 1.47575 1.80178 1.44437 4.7219 -33686.1 617.813
32700 1.4608 1.91136 1.54764 4.9198 -33695.4 630.798
32800 1.48776 2.0252 1.55613 5.06909 -33707.7 635.32
32900 1.54544 2.01258 1.43299 4.99102 -33708.4 630.612
33000 1.63318 1.96263 1.40466 5.00047 -33698.1 624.312
33100 1.71959 1.90416 1.45078 5.07452 -33695.2 624.524
33200 1.69097 1.91442 1.46946 5.07485 -33701.8 633.005
33300 1.70529 1.9864 1.50882 5.20052 -33705.9 634.264
33400 1.7191 2.02882 1.55043 5.29835 -33675.2 612.032
33500 1.63911 1.92008 1.58938 5.14857 -33701 643.11
33600 1.44837 1.86064 1.603 4.91201 -33697.1 633.744
33700 1.42895 1.89434 1.4877 4.81099 -33683.9 625.695
33800 1.47664 1.91413 1.42379 4.81455 -33665.6 618.991
33900 1.42117 1.97122 1.41617 4.80856 -33684.9 644.744
34000 1.39537 1.97116 1.36572 4.73226 -33689.6 645.395
34100 1.4482 1.89659 1.36804 4.71283 -33674.7 631.028
34200 1.52314 1.76507 1.39071 4.67892 -33689.4 645.655
34300 1.61919 1.68461 1.38862 4.69242 -33689 644.003
34400 1.68133 1.75145 1.32836 4.76113 -33663.9 625.546
34500 1.58566 1.75153 1.23794 4.57513 -33667.9 643.449
34600 1.38218 1.71397 1.23117 4.32732 -33659.7 634.421
