# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
100 0.027051 0.0244317 0.0279398 0.0794225 -43903.5 475.24
200 0.0907776 0.0871061 0.10363 0.281514 -44064.3 455.177
300 0.130691 0.154068 0.165856 0.450614 -44138.7 399.307
400 0.146875 0.194039 0.185894 0.526807 -44197.5 368.808
500 0.161991 0.209153 0.195772 0.566916 -44216.9 337.795
600 0.1731 0.190541 0.217095 0.580736 -44259 339.701
700 0.174888 0.179768 0.230091 0.584747 -44276.9 328.652
800 0.188478 0.176814 0.209233 0.574525 -44293 326.898
900 0.19272 0.182619 0.191469 0.566808 -44293.5 315.165
1000 0.218319 0.185507 0.202312 0.606138 -44308.8 320.318
1100 0.217773 0.183623 0.21542 0.616816 -44315.9 316.911
1200 0.219558 0.178251 0.218049 0.615858 -44313.4 311.218
1300 0.221106 0.174079 0.203018 0.598203 -44320.9 316.666
1400 0.233923 0.16741 0.220649 0.621983 -44340.3 325.523
1500 0.275493 0.179214 0.24784 0.702547 -44334.3 314.18
1600 0.294927 0.194693 0.266388 0.756008 -44330.6 312.899
1700 0.301585 0.210949 0.274163 0.786698 -44325.2 311.607
1800 0.292771 0.197228 0.2714 0.761399 -44334.7 318.537
1900 0.280874 0.191069 0.266281 0.738225 -44329.8 315.765
2000 0.271351 0.185373 0.264035 0.720758 -44331.1 318.77
2100 0.259806 0.188101 0.249488 0.697396 -44330.6 319.504
2200 0.248053 0.197694 0.247969 0.693716 -44335.6 324.624
2300 0.264724 0.214147 0.267155 0.746026 -44338.3 323.49
2400 0.293239 0.229261 0.30439 0.82689 -44334.3 319.829
2500 0.319372 0.247296 0.315857 0.882525 -44331.1 322.291
2600 0.315333 0.251836 0.321483 0.888652 -44337.1 329.264
2700 0.311856 0.249526 0.314491 0.875873 -44332.1 323.795
2800 0.29668 0.24257 0.321471 0.860721 -44335.4 327.952
2900 0.291514 0.25181 0.323342 0.866666 -44332.5 325.501
3000 0.290028 0.251526 0.324101 0.865655 -44344.2 332.517
