# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
100 0.0258589 0.029756 0.0284909 0.0841058 -35411.9 736.365
200 0.0992296 0.110397 0.119475 0.329102 -35658.6 618.92
300 0.193778 0.211879 0.222966 0.628623 -35858.2 543.764
400 0.264671 0.300824 0.276806 0.842301 -36009 487.618
500 0.347428 0.359348 0.314791 1.02157 -36141.8 456.449
600 0.38113 0.427617 0.361525 1.17027 -36218.2 408.684
700 0.395116 0.480038 0.382419 1.25757 -36294.5 390.521
800 0.45353 0.532806 0.392662 1.379 -36357.7 377.254
900 0.46652 0.559533 0.402431 1.42848 -36378.1 347.195
1000 0.46412 0.598533 0.383578 1.44623 -36393.9 332.396
1100 0.456584 0.593871 0.340726 1.39118 -36414.8 332.844
1200 0.457848 0.574684 0.330643 1.36317 -36419.2 322.403
1300 0.457666 0.584703 0.361496 1.40386 -36429.4 320.625
1400 0.472426 0.611072 0.386442 1.46994 -36429.5 314.638
1500 0.481472 0.623808 0.404879 1.51016 -36435.5 317.375
1600 0.496416 0.6279 0.421699 1.54601 -36435.7 317.075
1700 0.465621 0.660446 0.43037 1.55644 -36445.4 321.411
1800 0.480197 0.704001 0.449726 1.63392 -36444.9 320.612
1900 0.497419 0.681171 0.465298 1.64389 -36450.7 321.218
2000 0.513031 0.673506 0.485297 1.67183 -36444.1 316.362
2100 0.548911 0.700861 0.506955 1.75673 -36446.5 321.907
2200 0.566451 0.720456 0.524417 1.81132 -36440.8 317.427
2300 0.550653 0.71721 0.519059 1.78692 -36446.1 325.075
2400 0.540865 0.717134 0.517504 1.7755 -36449.6 326.345
2500 0.532523 0.703961 0.492867 1.72935 -36449.5 326.046
2600 0.526458 0.687714 0.468301 1.68247 -36449.3 327.083
2700 0.519797 0.69408 0.458109 1.67199 -36449.7 326.649
2800 0.521821 0.69641 0.450697 1.66893 -36449.2 328.808
2900 0.525602 0.691869 0.455421 1.67289 -36462.4 337.303
3000 0.533744 0.703125 0.4626 1.69947 -36461.8 333.584
3100 0.560815 0.735767 0.470501 1.76708 -36461.2 331.717
3200 0.577397 0.763485 0.484663 1.82554 -36453.3 327.29
3300 0.558358 0.743426 0.519365 1.82115 -36461.4 334.677
3400 0.546957 0.693799 0.529758 1.77051 -36460.6 332.207
3500 0.528863 0.704507 0.536205 1.76958 -36469.3 340.536
3600 0.526617 0.736387 0.556012 1.81902 -36457.2 327.291
3700 0.551092 0.75606 0.555999 1.86315 -36463.8 336.862
3800 0.540998 0.795168 0.542891 1.87906 -36473.9 344.612
