# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
100 0.0264893 0.0391548 0.0260914 0.0917356 -39917 870.361
200 0.085026 0.103583 0.078107 0.266716 -40263.9 708.372
300 0.142201 0.156175 0.128707 0.427084 -40478.9 570.731
400 0.17073 0.200196 0.160298 0.531224 -40675.5 515.142
500 0.202576 0.259487 0.177205 0.639267 -40763.4 430.735
600 0.221174 0.290958 0.194207 0.706338 -40866.6 409.682
700 0.2382 0.302267 0.201852 0.742319 -40886.1 355.424
800 0.269001 0.282154 0.218497 0.769651 -40935.9 351.854
900 0.327381 0.283972 0.241722 0.853074 -40964 342.746
1000 0.327853 0.278428 0.240431 0.846713 -40991 338.445
1100 0.339301 0.295609 0.250652 0.885562 -40994.3 322.364
1200 0.351052 0.303795 0.263866 0.918713 -41021 329.092
1300 0.363256 0.315981 0.282842 0.962079 -41021.7 318.269
1400 0.351126 0.339094 0.293001 0.983221 -41031.5 320.807
1500 0.37546 0.365964 0.316992 1.05842 -41035.8 320.514
1600 0.388645 0.366419 0.324204 1.07927 -41045.5 323.412
1700 0.373557 0.363411 0.319501 1.05647 -41055.3 321.813
1800 0.376076 0.381462 0.315001 1.07254 -41049.5 315.346
1900 0.380331 0.376515 0.301006 1.05785 -41051.9 317.593
2000 0.38632 0.357484 0.310765 1.05457 -41050.5 319.545
2100 0.393481 0.34558 0.306624 1.04568 -41045.8 316.504
2200 0.405571 0.352043 0.287786 1.0454 -41061 328.262
2300 0.419921 0.382448 0.284005 1.08637 -41054.2 319.767
2400 0.42376 0.380901 0.27733 1.08199 -41053.1 321.831
2500 0.415937 0.364478 0.283257 1.06367 -41065.7 328.729
2600 0.398035 0.367792 0.305031 1.07086 -41060.3 323.497
2700 0.38302 0.379592 0.310574 1.07319 -41060 322.741
2800 0.363082 0.428526 0.322697 1.11431 -41049.3 318.93
2900 0.356108 0.436106 0.324729 1.11694 -41054.9 330.279
3000 0.376535 0.427213 0.322618 1.12637 -41056.3 330.543
3100 0.400978 0.405781 0.305353 1.11211 -41064.2 336.755
3200 0.418572 0.395473 0.314281 1.12833 -41041.9 319.049
3300 0.418175 0.400882 0.312504 1.13156 -41054 332.402
3400 0.426021 0.421306 0.329109 1.17644 -41052.9 329.707
3500 0.426956 0.428886 0.339814 1.19566 -41046.9 331.251
3600 0.421299 0.423385 0.319059 1.16374 -41052.6 334.606
3700 0.400977 0.420171 0.300556 1.1217 -41063.5 341.9
3800 0.382451 0.423083 0.293867 1.0994 -41053.1 335.518
3900 0.387155 0.43285 0.297601 1.11761 -41059.6 339.959
4000 0.394204 0.417306 0.294296 1.10581 -41060 339.944
4100 0.394318 0.394707 0.299721 1.08875 -41052.5 336.952
4200 0.386784 0.378678 0.306052 1.07151 -41059.5 344.518
4300 0.387136 0.373419 0.302841 1.0634 -41043.4 335.083
4400 0.37068 0.377733 0.307419 1.05583 -41036.7 336.823
4500 0.365276 0.40795 0.302887 1.07611 -41047.2 347.781
4600 0.371644 0.437591 0.302282 1.11152 -41049.6 345.555
4700 0.361662 0.430225 0.291543 1.08343 -41053.4 348.878
4800 0.357882 0.432501 0.280176 1.07056 -41039.3 339.535
4900 0.367173 0.430643 0.275579 1.07339 -41046.3 348.123
5000 0.400294 0.447982 0.291309 1.13959 -41041.8 347.179
5100 0.43023 0.439641 0.299204 1.16908 -41040.1 349.619
5200 0.449014 0.418192 0.303385 1.17059 -41043.4 354.127
5300 0.446747 0.412874 0.319015 1.17864 -41035 348.858
5400 0.442855 0.415559 0.305837 1.16425 -41042 357.489
5500 0.428657 0.42892 0.320892 1.17847 -41045.8 356.546
5600 0.414217 0.42385 0.318994 1.15706 -41044.2 355.543
5700 0.390476 0.427558 0.323189 1.14122 -41040 353.878
5800 0.405719 0.412199 0.315962 1.13388 -41041.1 357.095
5900 0.410467 0.39004 0.32069 1.1212 -41053.5 366.505
6000 0.420399 0.397424 0.323992 1.14181 -41036.5 354.991
6100 0.406394 0.375997 0.309407 1.0918 -41036.5 356.274
6200 0.383211 0.376928 0.287437 1.04758 -41037.7 359.824
6300 0.367299 0.384978 0.281964 1.03424 -41045.6 366.655
6400 0.366544 0.408764 0.297747 1.07305 -41029.2 352.406
6500 0.36385 0.413276 0.295415 1.07254 -41032 360.519
6600 0.371094 0.428811 0.31944 1.11934 -41032.4 364.418
6700 0.361208 0.43051 0.329278 1.121 -41038.9 369.266
6800 0.370015 0.43621 0.351921 1.15815 -41032.6 363.946
6900 0.386905 0.439791 0.371521 1.19822 -41035.8 365.82
7000 0.404909 0.455258 0.385651 1.24582 -41032.9 366.115
7100 0.401344 0.448764 0.369426 1.21953 -41037 371.387
7200 0.382269 0.424642 0.341391 1.1483 -41026.3 366.898
7300 0.376242 0.404951 0.323452 1.10464 -41020.7 365.91
7400 0.384125 0.384111 0.312336 1.08057 -41030.3 375.708
7500 0.376248 0.374623 0.310344 1.06121 -41016.6 363.443
7600 0.36749 0.385054 0.310716 1.06326 -41016.8 369.985
7700 0.357189 0.395903 0.309669 1.06276 -41019.1 375.896
7800 0.355608 0.416791 0.322964 1.09536 -41035.6 387.538
7900 0.36341 0.425053 0.330661 1.11912 -41035.8 381.783
8000 0.387544 0.428981 0.352697 1.16922 -41028.2 373.313
8100 0.381167 0.424307 0.374648 1.18012 -41030.2 379.577
8200 0.370914 0.449756 0.365505 1.18617 -41024.1 375.721
8300 0.378681 0.433681 0.373974 1.18634 -41022.5 378.978
8400 0.395608 0.417208 0.379405 1.19222 -41035.2 391.155
8500 0.416013 0.440433 0.396997 1.25344 -41020.7 376.548
8600 0.46413 0.4852 0.430145 1.37947 -41026.3 383.743
8700 0.451766 0.470045 0.437125 1.35894 -41023.1 387.084
8800 0.403595 0.456044 0.432509 1.29215 -41032.7 388.223
8900 0.364793 0.451774 0.441899 1.25847 -41022.7 380.701
9000 0.352746 0.455917 0.445837 1.2545 -41015.1 381.622
9100 0.351567 0.439871 0.420675 1.21211 -41030.2 397.5
9200 0.354 0.419313 0.396035 1.16935 -41016.9 388.678
9300 0.366795 0.41979 0.375824 1.16241 -41006 384.173
9400 0.379148 0.426263 0.362455 1.16787 -41011.6 395.232
9500 0.39442 0.44018 0.375988 1.21059 -41017.9 396.825
9600 0.390319 0.420824 0.374327 1.18547 -41008.6 389.207
9700 0.364562 0.397025 0.353751 1.11534 -41022.1 403.077
9800 0.355739 0.407204 0.364122 1.12707 -41008.6 391.027
9900 0.3651 0.396529 0.383694 1.14532 -40999.6 388.293
10000 0.375508 0.385365 0.384929 1.1458 -41004.2 397.822
10100 0.371897 0.348716 0.360329 1.08094 -40993.6 391.109
10200 0.357658 0.345605 0.374095 1.07736 -41013.9 410.825
10300 0.376708 0.366254 0.389135 1.1321 -40986.7 389.556
10400 0.403607 0.408538 0.395058 1.2072 -41009.3 409.472
10500 0.421734 0.418981 0.394453 1.23517 -41009.3 407.555
10600 0.451936 0.411028 0.396697 1.25966 -41001.9 402.188
10700 0.460957 0.42209 0.388551 1.2716 -41001.5 408.717
10800 0.450486 0.451064 0.384398 1.28595 -41001.6 405.605
10900 0.448011 0.469521 0.381852 1.29938 -40994.3 403.992
11000 0.404953 0.457948 0.384907 1.24781 -40989.6 405.853
11100 0.387285 0.443148 0.387924 1.21836 -40979.3 402.461
11200 0.38867 0.44886 0.401858 1.23939 -40984.7 409.995
11300 0.406674 0.441051 0.3995 1.24723 -40989.6 415.779
11400 0.42195 0.401423 0.388294 1.21167 -40986.2 413.343
11500 0.468625 0.423253 0.379521 1.2714 -40988.2 414.359
11600 0.467805 0.414644 0.382005 1.26445 -40983.2 412.271
11700 0.427315 0.415851 0.393901 1.23707 -40993.7 421.864
11800 0.425043 0.417728 0.390317 1.23309 -40987.9 419.195
11900 0.437893 0.427754 0.398696 1.26434 -40988.1 418.123
12000 0.420119 0.440487 0.401268 1.26187 -41003.1 427.645
12100 0.389232 0.425005 0.379302 1.19354 -40995.6 419.694
12200 0.397758 0.424429 0.382389 1.20458 -40985.3 415.161
12300 0.426884 0.450614 0.398928 1.27643 -40994.9 423.875
12400 0.436896 0.433543 0.410582 1.28102 -40986.7 418.583
12500 0.432189 0.417116 0.407276 1.25658 -40983.2 419.898
12600 0.409211 0.420994 0.394136 1.22434 -40994.1 427.53
12700 0.411583 0.395511 0.383831 1.19092 -40995.2 428.245
12800 0.423324 0.391401 0.38043 1.19515 -40987.7 423.819
12900 0.418255 0.408148 0.379303 1.20571 -40989.1 426.774
13000 0.42298 0.417172 0.379375 1.21953 -40997.5 433.185
13100 0.431806 0.419689 0.377741 1.22924 -40973.8 417.23
13200 0.447258 0.410774 0.36911 1.22714 -40987.4 435.09
13300 0.431991 0.397429 0.350248 1.17967 -40985.3 430.854
13400 0.417584 0.415418 0.363877 1.19688 -40985.2 430.731
13500 0.418486 0.423187 0.361188 1.20286 -40986.2 434.803
13600 0.421354 0.406509 0.360233 1.1881 -40976.7 428.526
13700 0.440732 0.386501 0.350321 1.17755 -40994.7 447.002
13800 0.485403 0.395202 0.399578 1.28018 -40980.7 432.573
13900 0.507591 0.404222 0.421466 1.33328 -40984.8 438.331
