# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
100 0.0436925 0.054181 0.0479349 0.145808 -38686.9 920.545
200 0.150548 0.176288 0.133708 0.460545 -39285 868.232
300 0.254011 0.29092 0.214983 0.759913 -39581.4 680.065
400 0.307341 0.388216 0.25565 0.951207 -39785.3 563.826
500 0.308684 0.425306 0.295807 1.0298 -39927 481.358
600 0.341867 0.43518 0.339936 1.11698 -40021.8 425.761
700 0.35041 0.444586 0.401184 1.19618 -40062.1 370.417
800 0.356325 0.494713 0.473461 1.3245 -40136.6 378.28
900 0.389813 0.559335 0.558626 1.50777 -40179.5 356.349
1000 0.442052 0.644464 0.59851 1.68503 -40211 344.034
1100 0.484882 0.675804 0.576962 1.73765 -40227.7 330.929
1200 0.472664 0.709639 0.555868 1.73817 -40235 321.711
1300 0.461673 0.729258 0.550506 1.74144 -40250.5 326.377
1400 0.430766 0.710457 0.53899 1.68021 -40256.5 320.508
1500 0.417575 0.668394 0.536971 1.62294 -40266.5 322.426
1600 0.413527 0.695068 0.5453 1.6539 -40280.1 326.692
1700 0.445231 0.691468 0.572933 1.70963 -40288.7 323.369
1800 0.495067 0.684595 0.600513 1.78018 -40287.4 317.789
1900 0.509695 0.696105 0.614656 1.82046 -40289.9 317.238
2000 0.538299 0.717376 0.643476 1.89915 -40290.5 320.791
2100 0.554983 0.757768 0.625741 1.93849 -40295.7 324.116
2200 0.517936 0.781783 0.641879 1.9416 -40297.3 324.713
2300 0.499856 0.771039 0.655375 1.92627 -40309.8 329.456
2400 0.47122 0.810763 0.662386 1.94437 -40310.8 325.66
2500 0.478734 0.832154 0.655415 1.9663 -40306.6 323.585
2600 0.501688 0.820834 0.64422 1.96674 -40296.9 318.012
2700 0.522846 0.798581 0.636842 1.95827 -40319 337.132
2800 0.539267 0.767701 0.613303 1.92027 -40315.4 328.966
2900 0.552022 0.762365 0.619955 1.93434 -40323.4 333.81
3000 0.55006 0.788182 0.615518 1.95376 -40334.8 338.984
3100 0.603316 0.779289 0.644902 2.02751 -40341.2 337.371
3200 0.621357 0.80194 0.642826 2.06612 -40343.5 334.212
3300 0.64618 0.77687 0.664328 2.08738 -40339.8 333.319
3400 0.651763 0.77314 0.67949 2.10439 -40348.8 341.604
3500 0.625019 0.75933 0.71512 2.09947 -40363.5 346.643
3600 0.624678 0.779838 0.705254 2.10977 -40358.2 335.963
3700 0.674813 0.788874 0.681651 2.14534 -40365.3 340.414
3800 0.704556 0.771999 0.668849 2.1454 -40363.1 337.804
3900 0.691052 0.758589 0.635482 2.08512 -40363.3 337.273
4000 0.663166 0.793121 0.659247 2.11553 -40374.5 345.731
4100 0.679509 0.789486 0.683959 2.15295 -40378.1 342.922
4200 0.684246 0.791419 0.683942 2.15961 -40397.9 353.418
4300 0.704929 0.78868 0.711162 2.20477 -40397.8 345.386
4400 0.723539 0.813564 0.701336 2.23844 -40406.8 349.84
4500 0.698347 0.843303 0.709213 2.25086 -40412.6 349.84
4600 0.636835 0.875495 0.723913 2.23624 -40412 346.74
4700 0.645354 0.893243 0.729533 2.26813 -40415.7 348.146
4800 0.683924 0.875986 0.727826 2.28774 -40404.3 343.536
4900 0.738232 0.868982 0.728547 2.33576 -40421.4 357.203
5000 0.727501 0.863656 0.71369 2.30485 -40424.3 355.038
5100 0.686717 0.873516 0.709439 2.26967 -40427.8 353.857
5200 0.658121 0.875709 0.701243 2.23507 -40428.9 351.686
5300 0.727422 0.852851 0.718752 2.29903 -40437 356.931
5400 0.797107 0.883503 0.718553 2.39916 -40431.8 350.991
5500 0.777093 0.902111 0.705308 2.38451 -40435 356.953
5600 0.741982 0.860248 0.702801 2.30503 -40433.7 355.034
5700 0.758646 0.896347 0.732731 2.38772 -40433.4 355.423
5800 0.768843 0.937699 0.761191 2.46773 -40432.8 357.613
5900 0.758394 0.945577 0.747305 2.45128 -40427.3 351.983
6000 0.735457 0.94804 0.71762 2.40112 -40437.3 362.853
6100 0.729575 0.908987 0.713212 2.35177 -40458 373.902
6200 0.71839 0.88025 0.786507 2.38515 -40456.1 363.393
6300 0.71255 0.931548 0.79109 2.43519 -40452.5 362.774
6400 0.699334 0.960646 0.738485 2.39846 -40452.2 361.365
6500 0.731265 0.98291 0.750172 2.46435 -40459.9 368.737
6600 0.73059 1.06035 0.784692 2.57563 -40455.7 364.848
6700 0.725061 1.07842 0.772773 2.57626 -40451.6 363.563
6800 0.719792 1.05937 0.788743 2.5679 -40462.1 371.627
6900 0.75878 1.07591 0.850511 2.6852 -40463.1 367.825
7000 0.823697 1.05886 0.837161 2.71972 -40463.8 370.889
7100 0.828995 1.02811 0.830945 2.68805 -40465.6 370.783
7200 0.793992 1.00386 0.796999 2.59486 -40461.5 369.579
7300 0.7964 1.04829 0.791811 2.6365 -40455.3 366.311
7400 0.830185 1.05481 0.816643 2.70164 -40456 372.762
7500 0.776425 0.981388 0.824698 2.58251 -40436.9 362.452
7600 0.758125 0.968477 0.804373 2.53097 -40460.5 385.09
7700 0.780258 1.0332 0.821133 2.63459 -40459.5 377.556
7800 0.891496 1.06003 0.828855 2.78038 -40463.2 380.032
7900 1.03242 1.06216 0.827981 2.92256 -40463 380.523
8000 1.13569 1.10387 0.856772 3.09633 -40452.3 371.789
8100 1.18695 1.10995 0.876172 3.17308 -40459.9 382.496
8200 1.26389 1.12409 0.904334 3.29232 -40457.8 381.818
8300 1.27179 1.11474 0.922752 3.30928 -40456.9 379.651
8400 1.25298 1.09168 0.872745 3.21741 -40466.5 387.914
8500 1.28176 1.10654 0.855594 3.24389 -40466.5 384.563
8600 1.29969 1.14682 0.88933 3.33584 -40460.4 380.594
