# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
0 2.85749e-30 8.96535e-31 1.60113e-30 5.35516e-30 294.174
100 0.017422 0.0202941 0.0232981 0.0610143 294.89
200 0.048148 0.0388535 0.0462434 0.133245 313.141
300 0.0754396 0.0667028 0.062028 0.20417 306.416
400 0.0831378 0.0966105 0.0721453 0.251894 328.775
500 0.088658 0.112143 0.081359 0.28216 297.551
600 0.0851078 0.117355 0.0865385 0.289001 299.04
700 0.0730008 0.128675 0.0887669 0.290443 314.131
800 0.0591955 0.126247 0.0807609 0.266204 306.983
900 0.0556365 0.100247 0.0831032 0.238987 318.118
1000 0.0584101 0.0947185 0.0847604 0.237889 312.608
1100 0.0665725 0.0915218 0.0709076 0.229002 279.556
1200 0.0700789 0.099768 0.0711295 0.240976 321.893
1300 0.0814048 0.102573 0.098805 0.282783 317.163
1400 0.103327 0.11666 0.114503 0.334491 329.925
1500 0.106587 0.138053 0.123055 0.367696 320.819
1600 0.0955149 0.142725 0.113225 0.351464 320.272
1700 0.0986954 0.13404 0.117866 0.350601 293.052
1800 0.106705 0.1261 0.116713 0.349519 302.029
1900 0.107298 0.138499 0.122483 0.36828 321.568
2000 0.111586 0.148454 0.121778 0.381818 335.817
2100 0.110459 0.150372 0.114237 0.375069 318.588
2200 0.113131 0.165728 0.145775 0.424635 316.377
2300 0.118007 0.190078 0.156285 0.46437 307.47
2400 0.120091 0.187045 0.156315 0.463451 303.914
2500 0.126692 0.162814 0.135018 0.424524 323.341
2600 0.122071 0.139263 0.12628 0.387615 340.265
2700 0.116341 0.125252 0.119727 0.361321 341.223
2800 0.122708 0.141711 0.114159 0.378578 318.735
2900 0.124208 0.142905 0.118232 0.385344 316.18
3000 0.113117 0.138996 0.113701 0.365814 345.531
3100 0.125891 0.148331 0.139336 0.413557 333.789
3200 0.112695 0.162926 0.150763 0.426383 324.015
3300 0.112571 0.151491 0.141865 0.405927 308.703
3400 0.116853 0.156965 0.134279 0.408097 337.728
3500 0.128208 0.154519 0.149765 0.432492 331.41
3600 0.135567 0.14412 0.137564 0.417251 351.362
3700 0.130225 0.134587 0.161 0.425812 362.238
3800 0.133706 0.155927 0.180718 0.47035 318.133
3900 0.143487 0.161686 0.173378 0.478552 322.869
4000 0.149577 0.162373 0.168141 0.480091 336.924
4100 0.143163 0.156285 0.152322 0.451771 331.681
4200 0.143679 0.131876 0.14904 0.424595 358.377
4300 0.140588 0.127657 0.144297 0.412542 337.732
4400 0.153656 0.140332 0.162407 0.456395 338.768
4500 0.155189 0.141597 0.169603 0.466389 355.484
4600 0.151399 0.149488 0.158909 0.459796 328.185
4700 0.158142 0.153389 0.154291 0.465821 349.069
4800 0.161558 0.169927 0.15529 0.486774 336.597
4900 0.167795 0.17209 0.168216 0.508101 356.485
5000 0.167581 0.181695 0.15541 0.504687 355.88
5100 0.166823 0.201138 0.165621 0.533582 328.901
5200 0.168647 0.208813 0.161397 0.538857 326.16
5300 0.1719 0.212171 0.155493 0.539564 310.95
5400 0.17652 0.194254 0.1701 0.540874 341.45
5500 0.176399 0.162849 0.178315 0.517563 358.393
5600 0.169654 0.173324 0.173192 0.51617 375.185
5700 0.169223 0.171171 0.159651 0.500046 341.258
5800 0.168866 0.161917 0.18812 0.518903 349.836
5900 0.174715 0.151403 0.20276 0.528878 379.804
6000 0.177986 0.153667 0.180569 0.512221 364.518
6100 0.165486 0.15262 0.195025 0.513131 374.492
6200 0.168898 0.142397 0.190502 0.501797 373.391
6300 0.185342 0.167925 0.18561 0.538877 364.499
6400 0.210337 0.207924 0.188946 0.607206 335.809
6500 0.208926 0.214393 0.189368 0.612687 351.994
6600 0.217679 0.223391 0.218617 0.659686 353.745
6700 0.219523 0.263302 0.260751 0.743576 361.456
