# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4]
100 0.0193611 0.0178845 0.0166038 0.0538494
200 0.106984 0.0897144 0.0836144 0.280313
300 0.196579 0.171272 0.159033 0.526885
400 0.230296 0.211899 0.183937 0.626132
500 0.284667 0.254063 0.234218 0.772949
600 0.342638 0.28749 0.278344 0.908471
700 0.381108 0.300539 0.315732 0.99738
800 0.419653 0.315845 0.33734 1.07284
900 0.473489 0.337301 0.341152 1.15194
1000 0.484996 0.364535 0.355414 1.20494
1100 0.489465 0.435273 0.374498 1.29924
1200 0.510533 0.472633 0.391683 1.37485
1300 0.548607 0.444479 0.382698 1.37578
1400 0.566525 0.412687 0.361876 1.34109
1500 0.607476 0.377925 0.358201 1.3436
1600 0.625003 0.363819 0.369085 1.35791
1700 0.578566 0.369486 0.372237 1.32029
1800 0.552391 0.423489 0.373376 1.34926
1900 0.549655 0.47691 0.389896 1.41646
2000 0.644786 0.479118 0.416645 1.54055
2100 0.762788 0.487554 0.420548 1.67089
2200 0.714618 0.524819 0.416176 1.65561
2300 0.592404 0.597739 0.412873 1.60302
2400 0.537979 0.596048 0.417438 1.55147
2500 0.510078 0.519338 0.400865 1.43028
2600 0.512737 0.465849 0.38791 1.3665
2700 0.549227 0.462264 0.384793 1.39628
2800 0.538823 0.50447 0.390578 1.43387
2900 0.459136 0.596354 0.369546 1.42504
3000 0.425441 0.624269 0.37522 1.42493
3100 0.423441 0.561459 0.388137 1.37304
3200 0.412286 0.484647 0.397534 1.29447
3300 0.425746 0.474736 0.416184 1.31667
3400 0.505464 0.520079 0.41328 1.43882
3500 0.644266 0.567667 0.429281 1.64121
3600 0.71179 0.577714 0.427623 1.71713
3700 0.684 0.566876 0.406616 1.65749
3800 0.694846 0.581979 0.391054 1.66788
3900 0.679697 0.637566 0.394978 1.71224
4000 0.640269 0.684948 0.394497 1.71971
4100 0.58792 0.63878 0.411076 1.63778
4200 0.584093 0.620171 0.423089 1.62735
4300 0.574862 0.62054 0.413091 1.60849
4400 0.600639 0.649569 0.41077 1.66098
4500 0.628805 0.674733 0.410536 1.71407
4600 0.541333 0.690018 0.431072 1.66242
4700 0.479174 0.700428 0.439612 1.61921
4800 0.471089 0.666701 0.434018 1.57181
4900 0.515916 0.635399 0.428344 1.57966
5000 0.583194 0.622221 0.419209 1.62462
5100 0.585596 0.632438 0.413461 1.6315
5200 0.584621 0.646117 0.405893 1.63663
5300 0.610609 0.674433 0.409877 1.69492
5400 0.608433 0.697226 0.415259 1.72092
5500 0.622398 0.676214 0.42667 1.72528
5600 0.644531 0.649141 0.419463 1.71314
5700 0.647285 0.648214 0.423146 1.71864
5800 0.661589 0.672041 0.445198 1.77883
5900 0.671721 0.687745 0.4855 1.84497
6000 0.694123 0.752931 0.531133 1.97819
6100 0.779356 0.826074 0.543784 2.14921
6200 0.834256 0.848871 0.499168 2.18229
6300 0.798262 0.90704 0.530146 2.23545
6400 0.787729 0.986221 0.585413 2.35936
6500 0.785518 1.02449 0.550033 2.36004
6600 0.852561 1.03598 0.55217 2.44071
6700 1.0211 1.0132 0.556344 2.59065
6800 1.06327 1.00771 0.575494 2.64648
6900 1.08092 0.948928 0.605899 2.63574
7000 1.15882 0.886653 0.713565 2.75904
7100 1.11797 0.872025 0.706022 2.69602
7200 1.02319 0.835967 0.589588 2.44874
7300 1.10155 0.812341 0.668409 2.5823
7400 1.07905 0.878122 0.776974 2.73414
7500 1.07165 0.940033 0.877291 2.88898
7600 1.16622 0.921826 0.948899 3.03695
7700 1.24417 0.930448 0.949909 3.12453
7800 1.29053 1.05921 1.00062 3.35035
7900 1.3072 1.09061 0.996361 3.39417
8000 1.35942 1.13018 1.03842 3.52802
8100 1.2234 1.12959 1.06153 3.41452
8200 1.27403 1.35257 1.10194 3.72854
8300 1.3946 1.52632 1.13372 4.05464
8400 1.37726 1.56178 1.16527 4.10431
8500 1.30577 1.55748 1.13803 4.00127
8600 1.17659 1.64887 1.11142 3.93687
8700 1.22781 1.71662 1.11714 4.06158
8800 1.31504 1.79212 1.17845 4.28561
8900 1.34459 1.85779 1.26616 4.46853
9000 1.35918 1.75285 1.34889 4.46092
9100 1.52488 1.5493 1.48939 4.56357
