# Time-averaged data for fix vir
# TimeStep c_virial[1] c_virial[2] c_virial[3] c_virial[4] c_virial[5] c_virial[6]
0 -1667.39 621.928 2071.32 -5233.94 -10298.7 3.40362
1 -4598.66 3443.37 1930.15 -7778.04 -8514.26 -5356.16
2 -6501.75 5417.7 2087.44 -10229.5 -7395.99 -8205.34
3 -7223.14 6318.8 2343.15 -12320.7 -6801.68 -8905.41
4 -6841.41 6404.16 2727.91 -13787.7 -5602.14 -8511.31
5 -5204.05 5534.56 3069.47 -13950.9 -2553.15 -7486.19
6 -1792.8 3454.86 3604.92 -12278.6 3604.37 -6180.16
7 3078.14 602.559 4511.97 -8983.24 12457.6 -5365.11
8 6328.08 -1136.65 5435.63 -5699.94 19626.6 -6019.35
9 4610.72 335.851 5892.51 -4006.54 19934.1 -8986.35
10 -1141.91 4302.73 5938.06 -3916.12 13526.3 -13650.1
11 -7055.18 7943.26 5774.49 -4451.32 4729.39 -17266.7
12 -10590.3 8785.09 5336.64 -5250.9 -2684.93 -16580.1
13 -11203.5 6510.14 4706.64 -6069.79 -7203.83 -10879.1
14 -9677.01 2739.48 4252.97 -6330.8 -9438.54 -2780.68
15 -7460.45 -787.881 4228.4 -6059.16 -11028.6 4568.96
16 -5942.08 -2875.6 4460.14 -6424.26 -13257.8 9150.33
17 -6142.07 -3184.11 4894.37 -8890.57 -16073.1 10559.3
18 -7627.07 -2348.71 5253.9 -13743.5 -18095.6 10004.5
19 -8642.14 -1604.7 5523.85 -19162.7 -16919.1 9186.38
20 -8377.63 -2000.41 5541.96 -22051.8 -11328.3 8169.05
21 -8374.37 -2994.6 5070.01 -21022.5 -4483.34 6222.47
22 -10294.6 -3348.48 4198.83 -17183.2 -859.836 3312.41
23 -13865.4 -2271.28 3601.15 -13008.2 -2186.9 744.899
24 -16670 -802.654 3630.95 -9633.48 -5595.4 -619.429
25 -16550.4 -444.728 4272.36 -6793.32 -7106 -1305.53
26 -14444.4 -1308.14 5067.12 -4464.18 -6241.22 -2335.33
27 -12282.8 -2612.89 5691.8 -2708.93 -4282.03 -4360.35
28 -10889.8 -3609.51 6205.52 -1377.51 -1800.2 -6839.19
29 -9878.03 -3789.46 6921.64 -664.238 674.421 -7859.73
30 -9070.07 -2795.74 7904.33 -1420.72 1299.17 -5146.43
31 -8432.27 -1361.87 8662.73 -3616.6 -1039.85 920.5
32 -7136.49 -1580.17 8492.7 -5158.96 -3878.32 6289.1
33 -4768.19 -3972.16 7338.5 -4977.93 -5120.43 8402.04
34 -2416.34 -6493.15 6032.39 -4644.17 -6582.28 9007.64
35 -1029.81 -7611.3 5083.53 -5125.2 -10469 9085.95
36 -363.08 -8074.89 4427.19 -5260.68 -15708.6 7107.8
37 231.811 -8963.06 3850.19 -4141.96 -19368 2718.9
38 591.232 -10184 3356 -2359.78 -19144.5 -2270.45
39 -109.372 -10428.5 2778.95 -1052.78 -14442.8 -5844.44
40 -2677.78 -8481.4 2228.68 -532.775 -6611.68 -7527.54
41 -6865.05 -4227.59 1690.38 115.651 2166.15 -6933.81
42 -11105.2 921.202 1258.89 2433.6 10805.7 -3026.96
43 -13428.5 4766.17 1227.35 6820.5 18675.4 3885.86
44 -13188.3 5652.32 1388.17 11444.9 23593.3 9310.14
45 -11412.7 3945.43 1428.94 14305.4 23652.1 7589.05
46 -9092.64 1268.92 1341.2 15073.8 20537.5 -755.393
47 -6617.79 -1816.43 1120.67 14267.1 18279.4 -7908.11
48 -5138.85 -4839.08 226.559 12997.6 17820.2 -8149.2
