# step strain stress
#
50 0.0015 -1.86898
100 0.004 -1.68603
150 0.0065 -1.36265
200 0.009 -1.18736
250 0.0115 -0.779077
300 0.014 -0.512451
350 0.0165 -0.332466
400 0.019 -0.339497
450 0.0215 -0.241242
500 0.024 -0.0790953
550 0.0265 0.0115885
600 0.029 0.600499
650 0.0315 1.30178
700 0.034 1.10907
750 0.0365 1.22345
800 0.039 1.07487
850 0.0415 1.12464
900 0.044 1.41736
950 0.0465 1.96891
1000 0.049 2.43872
1050 0.0515 2.58575
1100 0.054 2.32942
1150 0.0565 2.62114
1200 0.059 2.39338
1250 0.0615 2.55949
1300 0.064 2.73962
1350 0.0665 2.82227
1400 0.069 2.92696
1450 0.0715 3.48393
1500 0.074 3.69083
1550 0.0765 3.96142
1600 0.079 4.52673
1650 0.0815 4.06836
1700 0.084 4.08896
1750 0.0865 3.90849
1800 0.089 4.00071
1850 0.0915 4.01663
1900 0.094 4.45733
1950 0.0965 4.65181
2000 0.099 4.88586
2050 0.1015 5.29709
2100 0.104 5.48125
2150 0.1065 5.40446
2200 0.109 5.46676
2250 0.1115 5.55227
2300 0.114 5.61343
2350 0.1165 6.07599
2400 0.119 6.14945
2450 0.1215 6.50444
2500 0.124 6.5449
2550 0.1265 6.65858
2600 0.129 6.62057
2650 0.1315 6.8562
2700 0.134 7.20962
2750 0.1365 7.27796
2800 0.139 7.54568
2850 0.1415 8.1155
2900 0.144 8.98733
2950 0.1465 9.69401
3000 0.149 10.301
3050 0.1515 9.79067
3100 0.154 10.5994
3150 0.1565 11.6813
3200 0.159 12.5937
3250 0.1615 13.3447
3300 0.164 14.4763
3350 0.1665 15.5866
3400 0.169 16.4846
3450 0.1715 17.3341
3500 0.174 18.4542
3550 0.1765 18.6571
3600 0.179 19.7818
3650 0.1815 20.266
3700 0.184 20.9096
3750 0.1865 21.3009
3800 0.189 21.9738
3850 0.1915 22.3682
3900 0.194 22.6518
3950 0.1965 23.0827
4000 0.199 23.4579
4050 0.2015 23.8437
4100 0.204 24.7951
4150 0.2065 25.4819
4200 0.209 25.6141
4250 0.2115 26.2821
4300 0.214 26.9021
4350 0.2165 27.4808
4400 0.219 28.1254
4450 0.2215 29.439
4500 0.224 30.1175
4550 0.2265 30.8374
4600 0.229 31.2931
4650 0.2315 32.3851
4700 0.234 33.0548
4750 0.2365 34.2048
4800 0.239 34.9954
4850 0.2415 35.4273
4900 0.244 35.906
4950 0.2465 37.0089
5000 0.249 37.8562
5050 0.2515 38.3693
5100 0.254 39.2012
5150 0.2565 39.7055
5200 0.259 40.2006
5250 0.2615 41.2279
5300 0.264 41.8997
5350 0.2665 42.3415
5400 0.269 42.8011
5450 0.2715 43.6263
5500 0.274 43.9547
5550 0.2765 44.2741
5600 0.279 44.9022
5650 0.2815 45.5648
5700 0.284 46.0162
5750 0.2865 46.0966
5800 0.289 46.9533
5850 0.2915 47.7146
5900 0.294 48.1709
5950 0.2965 48.1701
6000 0.299 48.4587
6050 0.3015 48.861
6100 0.304 49.2895
6150 0.3065 49.3968
6200 0.309 49.6529
6250 0.3115 49.9234
6300 0.314 50.4948
6350 0.3165 50.6308
6400 0.319 50.8403
6450 0.3215 51.5212
6500 0.324 51.5143
6550 0.3265 51.6298
6600 0.329 52.2268
6650 0.3315 52.5192
6700 0.334 52.4072
6750 0.3365 52.9119
6800 0.339 53.3123
6850 0.3415 53.4149
6900 0.344 53.3814
6950 0.3465 53.8267
7000 0.349 53.8112
7050 0.3515 53.914
7100 0.354 54.4648
7150 0.3565 54.6952
7200 0.359 54.9818
7250 0.3615 55.024
7300 0.364 55.0809
7350 0.3665 55.159
7400 0.369 55.4451
7450 0.3715 55.4474
7500 0.374 55.7381
7550 0.3765 55.9453
7600 0.379 55.9369
7650 0.3815 56.2055
7700 0.384 56.5341
7750 0.3865 56.6379
7800 0.389 56.7714
7850 0.3915 56.9962
7900 0.394 57.1585
7950 0.3965 56.9773
8000 0.399 57.4038
8050 0.4015 57.5489
8100 0.404 57.4445
8150 0.4065 57.6995
8200 0.409 57.6587
8250 0.4115 57.8745
8300 0.414 57.7878
8350 0.4165 58.2559
8400 0.419 58.3904
8450 0.4215 58.4163
8500 0.424 58.5138
8550 0.4265 58.6358
8600 0.429 58.8758
8650 0.4315 58.9874
8700 0.434 59.0027
8750 0.4365 58.8914
8800 0.439 58.7553
8850 0.4415 58.707
8900 0.444 59.362
8950 0.4465 59.2409
9000 0.449 59.4036
9050 0.4515 59.5887
9100 0.454 59.6354
9150 0.4565 59.7303
9200 0.459 59.7371
9250 0.4615 59.6681
9300 0.464 59.7516
9350 0.4665 59.6786
9400 0.469 59.7538
9450 0.4715 59.9888
9500 0.474 60.0681
9550 0.4765 60.4272
9600 0.479 60.4669
9650 0.4815 60.5127
9700 0.484 60.7135
9750 0.4865 60.6726
9800 0.489 60.6459
9850 0.4915 60.6665
9900 0.494 60.5359
9950 0.4965 60.5721
10000 0.499 60.8521
10050 0.5015 60.9553
10100 0.504 61.0559
10150 0.5065 61.2665
10200 0.509 61.3981
10250 0.5115 61.6557
10300 0.514 61.486
10350 0.5165 61.3945
10400 0.519 61.4752
10450 0.5215 61.798
10500 0.524 61.8687
10550 0.5265 61.68
10600 0.529 61.9752
10650 0.5315 62.2477
10700 0.534 62.3257
