# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
100 395043 358591 162036 607110 638148 242329 -109468 97155.3 130985 51224 13645 96527.7 -98913.8 -61588.9 -19777.6 17203.2 -16538.5 -4406.09 -65933.6 -99192.5 145364
200 373384 352852 143216 600635 582991 240963 -99400.9 91468.6 120159 57193.4 -122.902 96827 -98340.9 -52734.8 -615.339 10136.6 17096.6 -3300.93 -35507.8 -62197.9 133524
300 374730 362837 149037 592480 589280 234748 -110225 95139.1 128519 33855.1 -8351.3 94468.5 -110263 -32022.5 7062.07 12793.2 8529.19 -3529.94 -25123.5 -59998.6 133645
400 378070 363328 153093 585995 603248 223456 -123981 95536.2 133162 14921 -4968.15 94837.5 -120767 -21318.6 20079 9574.31 1320.53 -1459.37 -6448.94 -58067.6 130948
500 379705 358332 146118 572645 597635 227055 -119254 97880.7 130616 11815.1 -11502.6 91236.2 -119690 -19069 26092.2 1694.2 -1807.81 -1308.78 3983.35 -55482.9 135737
600 377168 357415 148385 571758 595695 232922 -115479 97522 126719 9917.46 -16939.4 91576.6 -114586 -20554.1 31488.2 2112.17 -5223.79 -1395.34 10236.4 -60157.1 140541
700 380822 359560 149701 574031 610128 239562 -115729 98349.2 125535 -5057.66 -20061 91328.1 -111391 -17460.5 33230.3 3294.2 -11062.8 -1308.83 14678.4 -69206.3 148064
800 381297 362034 151357 577817 609682 242466 -114502 98483.8 124316 -9622.98 -21291.9 91875 -111705 -16791.8 34916.5 2601.42 -10343.9 -226.832 18253.9 -72916.1 144024
900 382550 367795 152657 582090 607772 241185 -117254 97470.7 130027 -11205.1 -19707.5 93378.8 -122435 -15689.1 30848.5 526.091 -10555.2 -1231.18 13951.2 -71576.6 139008
1000 381821 370455 152492 583148 609253 237345 -122569 94268.5 131571 -20328.7 -20503.6 92883.4 -133260 -10091.6 25012.6 -3695.26 -12564.9 -3122.29 4738.58 -65092.5 131905
1100 384792 375057 153356 581575 606629 234466 -124995 94271.6 134093 -24839.7 -19055.6 93781.2 -138896 -4564.47 22018.2 -5225.24 -12615.7 -3148.24 846.432 -56256.4 129551
1200 387989 374190 153999 578101 607110 231777 -126929 95081.4 133506 -17903.5 -15313.1 93512.1 -141588 -6779.44 18338.6 -6003.46 -9820.82 -2723.02 -786.972 -49442.5 124875
1300 387162 375553 154583 582101 602517 232440 -126064 94989.8 134107 -14530.6 -14089.3 94091.1 -143900 -8582.68 16897.8 -5771.21 -8694.22 -2864.58 -2617.97 -48108.2 122155
1400 387084 378504 154954 588842 604602 234993 -126980 94646 136110 -14728.2 -13295.5 94394.2 -145279 -5488.91 15832.7 -5098.05 -7610.72 -2553.66 -2279.18 -42800.4 124085
1500 385737 377557 155572 588473 603100 235298 -125226 95096.4 136308 -14364 -12893.9 94557.4 -147528 -4110.51 15301.1 -5538.83 -6727.83 -2228.12 -1298.33 -36270.3 122038
1600 387200 378944 154629 590441 606241 235194 -126697 93771.2 137421 -15750.2 -13510.2 94857.2 -149446 -4006.03 15857.2 -6201.2 -8844.51 -2043.81 336.759 -35082.9 122348
1700 389557 381276 155135 590968 610841 234896 -128320 93297.7 137635 -16641.1 -13540.2 95646.7 -150281 -3447.95 16141.6 -6772 -9400.38 -2343.94 -671.284 -34701.4 123602
1800 388350 380885 155464 590143 607191 234441 -126887 93161.1 137263 -18406.7 -14296.7 95961.2 -149498 -3185.71 17268.1 -7074.21 -10276.9 -2075.13 484.049 -37144.8 122395
1900 383705 378585 155745 589393 600221 235697 -122868 93251.4 135600 -18681.9 -14926.1 96156.1 -145318 -2973.78 17316.5 -5980.46 -10206 -2103.69 2062.58 -36557.4 123639
2000 380454 375881 155779 584943 597621 236587 -119702 93194.5 132632 -21694 -15391.4 95969.1 -138942 -1201.21 17392.2 -4854.16 -10646 -2120.84 912.889 -36461.1 127081
2100 379375 373870 155989 581476 597265 236623 -117687 93543.4 131059 -26905.4 -15984.9 95843.8 -135342 2784.84 18679.1 -4054.01 -11298.4 -1854.52 3300.96 -34382.5 128329
2200 380152 372139 156286 573711 597748 233957 -117039 94461.2 129799 -27422.4 -15897.7 95147.3 -134603 3996.39 19139.8 -3836.12 -10834.3 -1532.79 5144.77 -31580.6 126803
2300 380251 371744 156382 570872 596398 232295 -116699 94774.8 130158 -26921.2 -16124.5 94834.3 -135348 3928.06 19776.3 -3552.84 -10502.9 -1204.67 7384.94 -30953.7 125456
2400 379747 371943 156661 571809 594575 232063 -116408 94543.6 131192 -28340.5 -16253.7 95194.7 -136440 4932.33 20136.7 -4099.76 -10420 -1057.07 6760.36 -31452.8 124509
2500 378808 371835 157050 573603 591892 232401 -115405 94717.6 131168 -30305.7 -16066.4 95542 -136368 7933.7 20039.6 -4065.72 -10179.4 -1079.89 8041.51 -26723 124244
2600 377882 371606 157472 577006 591152 234554 -114812 94694.8 131064 -31901 -16151 95611.4 -135728 10148.4 20081.2 -3531.55 -10328.6 -1246.83 8088.66 -24895.8 125247
2700 376383 371551 157689 579712 588603 235451 -113883 94385.5 130807 -34082.1 -15617.6 96022 -134190 12474.5 19227.1 -2919.93 -10252.8 -1126.64 7136.37 -22389.8 126326
2800 375997 371173 157964 582206 589623 236915 -113190 94721.3 130173 -30631.1 -14121.6 95902.4 -132349 11654.3 17918.1 -2046.39 -9456.23 -789.776 8069.43 -19282.1 127544
