# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
100 283139 292798 143496 444124 436419 190224 -54627.2 85722.3 74945.8 -4683.4 17286.4 86695.8 -70561.1 8129.75 -36530 1456.44 2139.84 -9866.52 -99794.7 -11564.6 98360.5
200 290803 301235 142669 453601 453461 196021 -61764.1 85297.8 73110.3 -29673.4 10311.7 85591.7 -68294.6 20296.7 -29526.1 4944.47 -2889.28 -6389.52 -84918.4 -11505.1 102140
300 283027 296092 142241 445158 429158 189493 -55374.7 85012.6 72368.2 -26222.7 7389.64 86025.7 -72107.8 17562.6 -17594.3 1607.71 -4356.06 -3296.97 -57491.5 -13156.4 92362
400 274489 276501 134338 438787 412361 192234 -45948.6 83370.1 71087.9 -19919.8 4130.79 85027.1 -58834.7 12389.1 -8671.6 4803.92 -4476.66 -1335.2 -35099.9 -15286.4 92789.7
500 272402 275860 135973 436032 405957 189278 -44880.5 83428.4 68418.9 -23893.3 3112.51 84970.4 -55879.6 16964.4 -7153.47 6004.42 -4620.75 -1458.22 -31165.7 -8588.05 94866.4
600 263234 274978 137022 453916 390013 197646 -39759.7 82348.5 70815.6 -20666.5 3711.01 85740.4 -58050.6 16364.7 -7201.18 7543.88 -3506.28 -1328.31 -19991.8 6634.94 97607.7
700 263376 271150 138016 467902 390140 204334 -40249.3 82343.5 71685.6 -21658.1 4066.59 86763.9 -59443.9 16973.4 -9855.81 7480.36 -2298.11 -946.171 -22426.9 7893.08 101747
800 256093 269625 135959 473775 380884 206538 -36185.2 79468.7 71885 -13475.9 3790.19 87611 -53280.4 13295.3 -13558.7 10985.3 1290.22 -4452.13 -28660.4 8983.65 107851
900 255353 268001 136875 477180 385605 209969 -35157.5 79997.2 68658.8 -12530.8 5563.88 86850.2 -47260.7 12605.9 -16329.1 12487.7 375.715 -4870.7 -36385.5 6130.77 114379
1000 258297 271673 137478 483768 395376 211932 -38047.4 79962 68131.4 -9170.94 5836.54 87239.4 -47196.4 8265.82 -16300 11557.1 -460.352 -4939.93 -34609.3 3615.71 118275
1100 260555 273503 138215 485601 401549 214158 -38956.2 80747.1 68187.6 -6180.91 5743.82 87265 -47631.6 6924.27 -13833.3 10275 581.035 -3854.88 -26519.1 6536.11 119278
1200 264034 273499 138778 486854 409364 216627 -40037.5 81534.8 66619.5 -7251.2 6086.49 86944.3 -43841.3 6082.02 -14080.9 10976.6 -178.016 -3238.42 -28824.6 938.041 124871
1300 263085 271704 138951 488705 412524 218543 -38949.6 81880.9 65481.2 -5567.05 5607.25 86330.9 -40472.6 3382.79 -13481.2 12294.8 -555.87 -3036.91 -29189 -5164.04 128235
1400 262520 271633 139282 492087 416918 220763 -38488.8 82266 64897 -5635.91 4395.72 86162.2 -38926.6 1817.68 -11725 12366.3 -1025.78 -2569.13 -26352.5 -8085.15 130722
1500 263763 272644 139761 494226 419958 221365 -39295.4 82618.6 65979.7 -5395.91 4200.55 86214.6 -40778.4 18.2254 -11690.4 11866.2 -1869.05 -2237.46 -26084.7 -12282.5 130296
1600 267443 276891 139961 495883 423255 219827 -43019.7 82555.4 69722.7 -1653.18 3906.9 86399.4 -47483.3 -3501.44 -11360.2 10226.7 -1898.77 -2212.75 -25406.6 -16236.9 126397
1700 270778 282391 140297 501616 429068 219721 -47083.8 82371.7 74366.6 -1054.11 4899.68 86634.1 -56038.1 -3398.51 -12276.4 8746.72 -1809.83 -2113.02 -26301.1 -15082.2 123444
1800 271649 285584 140539 502852 432533 217556 -50191.5 82581.5 77878 5054.36 8530.38 86559.1 -62134.1 -5611.7 -13284.2 7318.73 -752.531 -2139.48 -26327.5 -14357.4 119248
1900 274315 288831 140813 502961 435627 215784 -52798 82824.5 80572.7 7330.96 9059.63 86556.2 -67817.6 -7518.6 -13942.2 5710.94 -641.967 -2164.11 -25804.2 -13252.3 114631
2000 276457 291046 141032 504172 439678 214139 -54776.6 82864.4 82976.5 8621.05 10517.4 86631.3 -73149.6 -7809.79 -14844.9 3938.08 184.241 -1850.03 -26639.8 -10709.7 110227
2100 278348 291782 141038 500710 440919 211428 -56181.7 82715.3 84482.7 9561.6 10502.7 86604.8 -76748.7 -8360.3 -14546.7 2930.82 595.836 -1879.96 -26873.8 -9127.59 106854
2200 278642 292495 141118 500191 439858 210176 -56730 82575.1 85270.2 8404.1 10267.8 86682.7 -79190.9 -7671.65 -14544.9 2169.3 453.892 -1821.49 -27497.6 -8000.83 104154
2300 278499 293831 140153 502341 439001 210030 -57956.1 81927.8 87949.8 6686.84 10360 86509.3 -81739.9 -7511.65 -14161.2 3027.01 -756.49 -752.204 -27469.7 -7153.86 103100
2400 278347 295467 140261 504832 443191 210466 -59503.8 81849.7 89223.3 7065.42 8822.77 86576.9 -83238.2 -7205.28 -14721.4 3318.51 -404.422 -799.513 -27337.8 -5123.63 103262
2500 280478 296906 140313 504864 446681 210705 -61056.6 82038.8 90146.3 8836.11 9435.15 86403.9 -83770 -8309.26 -15535.4 3470.78 32.3888 -789.966 -26899.2 -3501.31 103603
2600 281650 296218 140510 505595 448207 210647 -61921.1 82132.6 90848.2 10250.9 9659.75 86461 -84730.3 -9416.47 -15795.2 3156.51 147.758 -792.28 -27023.6 -3445.84 102985
2700 281809 296730 140529 506849 447997 211094 -62062.7 82133.9 91654.8 10759.2 9677.49 86407.3 -85405.8 -9573.15 -15873.7 3325.56 399.41 -784.006 -27476.5 -3736.42 102974
2800 282324 295001 140559 505711 447477 210938 -62135.2 82223.1 91262.9 10220.3 9691.16 86328.9 -85769.4 -9578.58 -15680.1 2876.18 266.655 -655.837 -27473.7 -4788.58 102157
2900 281381 295027 140717 505694 443878 210816 -61293.5 82238.9 91149.2 9381.66 9228.25 86540.5 -85719.5 -9190.34 -15244 2742.29 -274.808 -704.584 -27031.2 -5282.21 100763
3000 280482 295268 140745 506049 442656 210371 -61901.7 82146.8 92238.8 9286.29 8865.4 86716.1 -87287.7 -9062.44 -14813.5 2213.95 -239.064 -676.692 -26198.1 -4743.31 99459.7
3100 281219 295813 140755 503655 441813 209036 -62422.7 82145.4 92788.7 8979.92 8207.47 86630.7 -88789.5 -9101.78 -13813.6 1828.42 -212.53 -653.007 -25444.7 -5502.63 98072.6
3200 281489 296123 140819 502782 442507 208542 -62436.3 82191 92897 9377.01 8043.46 86678.3 -89659.9 -9290.71 -13215.5 1425.7 -220.669 -599.977 -24490.7 -5885.95 97419.5
3300 282628 296986 140910 501937 444415 207651 -63323.2 82330.4 93630.2 11210.6 7951.68 86582.4 -91501.9 -10987.6 -12974.7 873.451 165.453 -577.926 -23779.5 -6322.1 96294.7
3400 283986 297999 140918 501979 444949 207032 -64383.6 82444.4 94573.4 11296.5 8163 86436.4 -93707.9 -10946 -13300 192.746 566.015 -612.068 -24058.1 -4839.28 94579.2
3500 285026 299054 140036 501027 446327 206781 -65130.8 82008.1 94935 10990.3 8486.44 86472 -94946.6 -9609.14 -13631 -404.521 1832.23 -738.61 -24554 -2543.06 93694.5
