# Time-averaged data for fix avvir
# TimeStep c_vir[1] c_vir[2] c_vir[3] c_vir[4] c_vir[5] c_vir[6]
0 9658.66 755.314 13100.4 2101.79 6756.23 -296.616
1 6725.45 3414.72 12819.2 2075.22 3852.88 -1665.27
2 4456.97 6981.57 12833.4 2611.34 1555.59 -2355.77
3 3807.47 9872.21 13066.8 3487.81 971.997 -2032.36
4 3138.15 11334.8 12520.6 3867.09 771.484 -2312.83
5 1704.91 11291.9 11241.9 3092.4 417.806 -4836.65
6 538.547 10113.6 9867.93 1213.65 787.776 -8700.12
7 135.506 9138.58 9204.79 -928.102 1768.28 -12248.5
8 266.961 9341.61 9388.11 -2139.6 2751.94 -14286.2
9 1143.8 10334 10220.7 -2328.39 3471.61 -14316.6
10 2991.27 10781.7 11571.6 -3177.36 4995.47 -11774.4
11 5873.42 10461.7 13617 -5884.16 7582.09 -7418.94
12 9122.48 10417.7 16086.2 -7954.68 8900.95 -4076.83
13 11387.2 11799.9 17882 -5868.24 7720.08 -5091.85
14 11972 13599.8 18131.3 -698.522 5517.4 -9895.69
15 10093.2 13903.7 16479.9 3317.76 2550.3 -14123.1
16 7075.87 11223.3 13713.1 3878.43 -648.708 -13394
17 5732.63 6979.99 11880.4 2189.72 -2479.75 -8091.87
18 6189.57 4297.82 11794 433.553 -1586.55 -3325.77
19 6029.29 5213.22 12649.1 -492.642 388.239 -1232.11
20 4259.39 8703.83 13317.2 -1017.12 1320.68 70.4159
21 1601.15 12105.3 13294.5 -1147.42 1093.2 1856.7
22 -667.063 13399.2 12553.9 -277.167 890.932 3699.69
23 -1510.1 12502.9 11826.8 1599.01 728.439 4497.22
24 -330.594 10508.5 12082 2986.74 -547.935 3108.69
25 2321.8 8715.88 13488.3 2129.19 -1316.91 -1355.17
26 5724.78 7596.82 15617.8 -679.881 5008.96 -7687.32
27 10587.6 6336.9 17750.4 -2662.06 21729.8 -11485.7
28 13552 5872.94 19063.9 -2890.71 38160.8 -10045.9
29 10549.5 6764.19 18497.7 -2608.51 40435.9 -4531.78
30 3960.89 8519.69 16765.7 -2693.94 28949.3 3311.7
31 -961.711 10667.2 15617.4 -3983.24 14335.7 12340.2
32 -2469.53 12883.1 15624.1 -6658.71 2498.93 20348.7
33 2.31184 11824.4 15593.8 -7217.49 -2938.75 21611.3
34 5078.66 7943.64 15337 -4261.97 -4078.76 14397.1
35 7781.55 7501.13 16344.3 -1035.45 -9235.18 2039.66
36 5109.71 14670.6 19272.8 -223.047 -20011.9 -13757.7
37 -488.895 24662.7 22424 -1584.93 -30714.4 -27141.2
38 -3219.45 28413.4 23824 -2331.01 -36662.3 -26661.3
39 -629.275 23304 23046.7 -650.234 -35234.4 -12759.4
40 4398.61 14573.4 21198.4 2891.38 -26016.3 1335.76
41 8618.88 6819.19 18915.2 7587.89 -12488.2 8206.85
42 10393.3 2626.2 16886.5 11900.6 -799.59 8338.13
43 10468.2 2633.33 16003.5 13460.5 5179.48 3775.97
44 12412.9 3775.31 16484.5 10429.1 3900.25 -2112.11
45 17819.3 3100.42 17434 3990.81 -2469.64 -5562.29
46 20578.7 1631.06 17074.6 -732.961 -4752.22 -5311.61
47 17412.3 919.126 14761.6 -1648.94 353.546 -2505.11
48 13209.9 774.783 12469.7 -1299.88 7299.64 376.4
49 12162.9 265.228 11415.6 -2241.35 11480.5 1199.82
50 12601.9 -375.441 11101.2 -2904.28 14939.6 426.212
51 13027.3 -1268.58 10906.4 -1229.91 18303.1 1189.12
