task 1, in dir: 333-EXP-1-vasp-an
task 2, in dir: 333-EXP-11-vasp-an
task 3, in dir: 333-EXP-27-vasp-an
task 4, in dir: 333-EXP-6-vasp-an
task 5, in dir: 333-HD-100C-11-VASP-an
task 6, in dir: 333-HD-100C-14-VASP-an

task 7, in dir: 333-HD-100C-20-VASP-an
task 8, in dir: 333-RV-31-vasp-an
task 9, in dir: 333-RV-32-vasp-an
task 10, in dir: 333U-50C-1-vasp-an
task 11, in dir: 333U-50C-14-vasp-an
task 12, in dir: 333U-50C-20-vasp-an

task 13, in dir: 333U-50C-26-vasp-an
task 14, in dir: 333U-50C-33-vasp-an
task 15, in dir: 333U-50C-48-vasp-an
task 16, in dir: 333U-50C-5-vasp-an
task 17, in dir: 333U-50C-9-vasp-an
All tasks are done.
