Structure                Density      Youngs(GPa)
333-EXP-11-vasp-an       1.6588329    14.4684
333-EXP-1-vasp-an        1.6358887    32.8248
333-EXP-27-vasp-an       1.6481575    16.3949
333-EXP-6-vasp-an        1.5607701    16.2997
333-HD-100C-11-VASP-an   1.9047473    44.9029
333-HD-100C-14-VASP-an   1.9245713    56.4077
333-HD-100C-20-VASP-an   1.9519943    47.9333
333-RV-31-vasp-an        1.4789743    16.7509
333-RV-32-vasp-an        1.4455902    24.7595
333U-50C-14-vasp-an      1.6763015    25.6602
333U-50C-1-vasp-an       1.6996713    21.2615
333U-50C-20-vasp-an      1.7519016    32.5922
333U-50C-26-vasp-an      1.6496984     7.8786
333U-50C-33-vasp-an      1.6943275    25.8963
333U-50C-48-vasp-an      1.7098395    18.2536
333U-50C-5-vasp-an       1.737228     23.5209
333U-50C-9-vasp-an       1.7458365    28.6831
