# Dipole correlation
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_dipole_x*v_dipole_x v_dipole_x*v_dipole_y v_dipole_x*v_dipole_z v_dipole_y*v_dipole_y v_dipole_y*v_dipole_z v_dipole_z*v_dipole_z
10000 10
1 0 1 5.61212e-05 -2.04623e-05 -7.35307e-05 7.46078e-06 2.681e-05 9.6341e-05
2 10 0 0.0 0.0 0.0 0.0 0.0 0.0
3 20 0 0.0 0.0 0.0 0.0 0.0 0.0
4 30 0 0.0 0.0 0.0 0.0 0.0 0.0
5 40 0 0.0 0.0 0.0 0.0 0.0 0.0
6 50 0 0.0 0.0 0.0 0.0 0.0 0.0
7 60 0 0.0 0.0 0.0 0.0 0.0 0.0
8 70 0 0.0 0.0 0.0 0.0 0.0 0.0
9 80 0 0.0 0.0 0.0 0.0 0.0 0.0
10 90 0 0.0 0.0 0.0 0.0 0.0 0.0
10100 10
1 0 11 6.20198e-06 -1.92639e-06 -1.21575e-05 1.0701e-06 4.2642e-06 0.000542898
2 10 10 -2.13422e-07 4.06139e-07 -2.99445e-05 -1.30131e-07 1.42928e-05 -0.000125806
3 20 9 -1.09461e-06 7.44577e-07 6.32939e-06 -2.31663e-07 -1.11139e-05 -0.000304603
4 30 8 -1.25852e-06 -7.98509e-07 2.45759e-05 3.84485e-07 -6.41752e-06 0.000371248
5 40 7 -3.30267e-07 -5.87887e-07 -3.11981e-05 4.3891e-07 1.7819e-05 -0.000145594
6 50 6 -2.53055e-07 -7.41534e-08 3.60504e-05 -5.46797e-08 -1.09857e-05 -0.000445023
7 60 5 1.19464e-06 3.06891e-07 3.80653e-05 -1.64326e-07 -1.64861e-05 0.000324344
8 70 4 1.25257e-06 -2.70364e-06 -5.93761e-05 1.0297e-06 2.70605e-05 0.000112784
9 80 3 5.74033e-06 8.33204e-07 -2.63838e-05 -3.00811e-07 1.0243e-05 -0.000219884
10 90 2 -3.43671e-06 2.91088e-07 5.97147e-05 -1.13616e-07 -2.32492e-05 0.000241503
10200 10
1 0 21 3.68699e-06 -1.31388e-06 -8.06562e-06 8.40788e-07 3.85683e-06 0.000525851
2 10 20 -2.19872e-07 2.41869e-07 -1.39581e-05 -7.56071e-08 7.08696e-06 -0.000112327
3 20 19 -4.63237e-07 3.33206e-07 1.34023e-06 -3.50556e-08 -3.5283e-06 -0.000305569
4 30 18 -5.42982e-07 -3.73578e-07 1.23669e-05 1.53497e-07 -1.97012e-06 0.00025387
5 40 17 -3.60704e-07 -7.92663e-08 -9.93287e-06 -4.00971e-09 4.73696e-06 -3.91142e-06
6 50 16 -1.16248e-07 1.80939e-07 1.18826e-05 -3.58825e-08 -6.14857e-06 -0.000272861
7 60 15 4.13676e-07 1.50358e-07 1.19072e-05 -2.95593e-07 -1.8134e-06 0.000187045
8 70 14 1.57033e-07 -5.54344e-07 -6.97552e-06 3.69147e-07 3.33158e-06 -5.77212e-05
9 80 13 1.38478e-06 1.44035e-07 -9.6968e-06 -2.39474e-07 -4.33338e-06 -9.13322e-05
10 90 12 -3.01282e-07 -3.21578e-07 3.26435e-06 -4.26691e-08 8.87099e-07 0.000307172
10300 10
1 0 31 1.3718e-05 -1.2903e-05 -1.67435e-05 1.4046e-05 1.10919e-05 0.000622276
2 10 30 2.34111e-06 -2.02753e-06 -2.69779e-05 9.8611e-07 2.8045e-05 -9.7692e-05
3 20 29 7.10353e-07 -1.7611e-06 9.57517e-07 1.23638e-06 -6.38389e-06 -0.000253938
4 30 28 5.81467e-07 -7.32144e-07 2.77076e-05 2.9112e-07 -2.40936e-05 6.32504e-05
5 40 27 -3.97121e-06 2.32169e-06 3.25818e-05 -1.9057e-06 -3.91737e-05 3.63051e-07
