# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.441692 0.531694 0.524156 1.49754 2294.93
200 0.848036 1.21112 1.15626 3.21541 1217.65
300 0.945162 1.62977 1.23167 3.8066 692.443
400 1.04291 1.75879 1.23739 4.03909 469.698
500 1.16589 1.86653 1.27575 4.30816 331.209
600 1.18057 1.97486 1.27948 4.43491 289.589
700 1.24699 2.13818 1.26839 4.65356 267.231
800 1.29118 2.04979 1.26006 4.60103 283.545
900 1.40543 2.03305 1.30622 4.7447 314.31
1000 1.42797 2.17487 1.3558 4.95864 359.063
1100 1.50716 2.22549 1.36664 5.09929 301.234
1200 1.55139 2.329 1.42297 5.30336 272.181
1300 1.59303 2.3642 1.48601 5.44324 282.275
1400 1.70467 2.45097 1.56669 5.72233 314.552
1500 1.7817 2.58364 1.65617 6.0215 324.132
1600 1.83916 2.59316 1.64631 6.07862 302.647
1700 1.80908 2.61779 1.60472 6.03159 294.964
1800 1.78453 2.67923 1.60591 6.06967 303.482
1900 1.77875 2.75263 1.65203 6.18341 315.881
2000 1.91772 2.69284 1.73148 6.34204 289.479
2100 2.00006 2.63926 1.81796 6.45727 275.748
2200 1.96134 2.7136 1.89756 6.5725 292.709
2300 1.96939 2.76407 1.88753 6.62099 309.477
2400 2.00603 2.73906 1.95738 6.70248 313.436
2500 2.07986 2.82038 2.01974 6.91998 296.738
2600 2.04687 2.99273 1.95998 6.99959 296.655
2700 2.08302 2.98769 1.85933 6.93003 291.231
2800 2.12106 2.95273 1.86741 6.94119 298.816
2900 2.16169 3.11468 1.88107 7.15743 323.744
3000 2.22888 3.26627 1.9184 7.41355 310.28
3100 2.37671 3.23311 1.9355 7.54532 297.29
3200 2.27753 3.39235 1.89518 7.56506 280.341
3300 2.20517 3.35145 1.90835 7.46497 280.712
3400 2.17967 3.53174 2.00698 7.71839 292.247
3500 2.08977 3.52851 2.16914 7.78742 317.185
3600 2.02781 3.51252 2.26836 7.80869 310.109
3700 2.01242 3.63055 2.33929 7.98226 308.317
3800 2.02296 3.57538 2.28765 7.886 299.97
3900 1.93224 3.59303 2.25622 7.78149 287.278
4000 1.96134 3.57066 2.25575 7.78775 280.294
4100 1.99452 3.49971 2.28784 7.78207 311.868
4200 1.99298 3.65215 2.2286 7.87373 334.133
4300 2.12217 3.72114 2.21328 8.05659 304.288
4400 2.37242 3.73724 2.17521 8.28487 283.082
4500 2.55716 3.78498 2.2604 8.60254 278.668
4600 2.5479 3.79943 2.34305 8.69037 292.508
4700 2.46221 3.79628 2.43087 8.68936 303.684
4800 2.41912 3.74009 2.46917 8.62838 322.099
4900 2.45963 3.88939 2.48809 8.8371 307.196
5000 2.52953 3.86282 2.52016 8.91251 286.517
5100 2.56254 3.89876 2.6068 9.0681 298.79
5200 2.48146 3.98358 2.63144 9.09647 297.087
5300 2.60673 3.9342 2.67725 9.21818 303.214
5400 2.65128 3.76204 2.7769 9.19022 297.372
5500 2.689 3.62343 2.96171 9.27414 298.501
5600 2.81686 3.53312 2.92296 9.27294 306.33
5700 2.83418 3.4773 2.82696 9.13845 301.008
5800 2.73926 3.43242 2.86686 9.03854 282.605
5900 2.71927 3.54445 2.92105 9.18477 296.052
6000 2.67169 3.58752 2.87937 9.13858 319.408
6100 2.78341 3.59818 2.89467 9.27626 312.773
6200 2.83237 3.62741 2.87865 9.33842 298.543
6300 2.74295 3.75201 2.88019 9.37516 283.335
6400 2.65918 3.8591 2.94531 9.46359 282.315
6500 2.66439 3.85266 2.88301 9.40006 308.371
6600 2.75082 3.68834 2.68715 9.12631 320.303
6700 2.70439 3.61799 2.67522 8.9976 304.471
6800 2.74018 3.60801 2.86928 9.21747 290.08
6900 2.82866 3.5855 2.89776 9.31192 283.661
7000 2.80307 3.5941 2.69714 9.09431 298.842
7100 2.83545 3.52479 2.60029 8.96054 307.035
7200 2.77767 3.46004 2.67205 8.90976 313.685
7300 2.72173 3.48681 2.83938 9.04791 297.066
7400 2.68196 3.44406 3.00932 9.13534 293.821
7500 2.60814 3.28033 3.07336 8.96183 294.056
7600 2.71568 3.23133 2.99619 8.9432 294.714
7700 2.78345 3.31726 2.8418 8.94252 315.433
7800 2.74603 3.30508 2.77277 8.82388 310.701
7900 2.60868 3.34922 2.78062 8.73853 300.659
8000 2.69268 3.42808 2.87087 8.99163 284.285
8100 2.88135 3.45902 2.99534 9.33571 284.178
8200 2.8625 3.44938 2.85188 9.16377 295.152
8300 2.75452 3.54368 2.76041 9.05862 313.182
8400 2.78843 3.52273 2.78161 9.09277 321.41
8500 2.84554 3.39329 2.98342 9.22225 302.437
8600 2.88496 3.46994 3.10745 9.46236 282.353
8700 2.87104 3.41567 3.10897 9.39567 291.159
8800 2.86988 3.35819 3.15054 9.37862 294.02
8900 2.88977 3.23125 3.17715 9.29817 307.354
9000 2.96285 3.2479 3.20312 9.41387 306.984
9100 2.92573 3.26787 3.23338 9.42699 310.124
9200 2.86642 3.37857 3.46663 9.71162 303.146
9300 2.94993 3.58604 3.46662 10.0026 294.817
9400 3.05052 3.62698 3.29056 9.96805 287.206
9500 3.19267 3.58715 3.19643 9.97625 298.76
9600 3.23816 3.42194 3.3139 9.97401 306.006
9700 3.25498 3.45496 3.26314 9.97308 303.238
9800 3.18771 3.45604 3.11516 9.75892 302.817
9900 3.12206 3.55374 3.13437 9.81017 292.002
10000 3.13251 3.63762 3.23876 10.0089 300.768
10100 3.28636 3.7872 3.33618 10.4097 306.728
10200 3.34717 3.84075 3.32781 10.5157 301.515
10300 3.29935 3.9796 3.11939 10.3983 294.039
10400 3.37669 3.91763 3.13049 10.4248 289.79
10500 3.41257 3.81082 3.09099 10.3144 297.486
10600 3.16319 3.67704 3.15818 9.9984 309.426
10700 3.07822 3.58571 3.45731 10.1212 310.979
10800 3.15105 3.55156 3.57004 10.2726 299.627
10900 3.20216 3.61413 3.45841 10.2747 298.782
11000 3.11551 3.63965 3.31379 10.0689 295.433
11100 2.93878 3.66989 3.23379 9.84245 282.459
11200 2.94563 3.77013 3.19757 9.91333 303.394
11300 2.98631 3.77568 3.16123 9.92323 310.988
11400 2.95715 3.75994 3.15549 9.87258 315.68
11500 2.90974 3.77238 3.04329 9.72541 293.94
11600 3.04337 3.78167 2.98606 9.8111 293.816
11700 3.25579 3.78598 3.105 10.1468 301.364
11800 3.37422 3.80202 3.16133 10.3376 305.539
11900 3.35183 3.82195 3.18706 10.3608 320.123
12000 3.26293 3.84459 3.20365 10.3112 310.618
12100 3.20666 3.91805 3.19399 10.3187 306.156
12200 3.13552 3.85208 3.11541 10.103 303.932
12300 3.01434 3.83466 3.121 9.97 291.562
12400 2.99325 3.85186 3.06769 9.9128 297.528
12500 2.97867 3.8258 3.06024 9.86471 310.158
12600 3.10213 3.73086 3.1999 10.0329 326.119
12700 3.2769 3.79588 3.15876 10.2315 312.927
12800 3.34514 3.82206 3.09168 10.2589 313.386
12900 3.26204 3.6901 3.16682 10.119 292.198
13000 3.14166 3.71172 3.10898 9.96236 278.14
13100 2.97099 3.74849 3.0254 9.74489 305.711
13200 3.00835 3.78376 3.11709 9.90921 313.875
13300 3.07057 3.62898 3.16127 9.86082 296.558
13400 3.04868 3.57142 3.13997 9.76007 279.74
13500 3.01424 3.44096 3.04368 9.49888 304.742
