# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.261384 0.145541 0.234068 0.640994 1392.24
200 0.550071 0.231262 0.451639 1.23297 953.238
300 0.66265 0.352545 0.553148 1.56834 653.382
400 0.630265 0.396134 0.643146 1.66954 461.927
500 0.671107 0.399029 0.650029 1.72016 367.354
600 0.677869 0.380471 0.649663 1.708 308.366
700 0.723215 0.416527 0.686845 1.82659 276.16
800 0.741551 0.467537 0.750683 1.95977 272.912
900 0.751719 0.496908 0.797472 2.0461 293.022
1000 0.770405 0.5269 0.840093 2.1374 326.447
1100 0.805895 0.566662 0.832942 2.2055 316.811
1200 0.839389 0.599299 0.860746 2.29943 291.844
1300 0.864522 0.607979 0.909928 2.38243 301.82
1400 0.907187 0.61991 0.89762 2.42472 292.201
1500 0.938475 0.630688 0.89089 2.46005 285.805
1600 0.977761 0.624752 0.912682 2.5152 290.71
1700 1.00229 0.628622 0.900928 2.53184 289.163
1800 1.00874 0.693075 0.930326 2.63214 302.794
1900 0.990938 0.720098 0.949258 2.66029 317.777
2000 0.95901 0.742697 0.959154 2.66086 327.234
2100 1.02406 0.743096 0.96698 2.73413 295.864
2200 1.07861 0.743512 1.00865 2.83077 287.53
2300 1.12101 0.780816 1.06329 2.96512 287.029
2400 1.0686 0.805462 1.12595 3.00002 298.623
2500 1.10663 0.815042 1.16977 3.09145 300.542
2600 1.15353 0.79086 1.16973 3.11412 308.378
2700 1.10054 0.804057 1.20719 3.11179 302.501
2800 1.0858 0.787556 1.18515 3.0585 300.208
2900 1.04274 0.77969 1.18772 3.01015 297.527
3000 1.01597 0.790888 1.14681 2.95367 291.773
3100 0.98405 0.805787 1.21275 3.00259 298.612
3200 1.01646 0.823207 1.21878 3.05845 307.097
3300 1.02098 0.853852 1.23587 3.1107 300.532
3400 1.04442 0.871627 1.2389 3.15495 321.196
3500 1.06047 0.85997 1.16879 3.08923 319.128
3600 1.03703 0.85286 1.16082 3.05071 290.335
3700 0.994895 0.887248 1.18508 3.06722 277.379
3800 0.981009 0.952782 1.25907 3.19286 282.626
3900 1.01066 0.968429 1.26284 3.24193 309.783
4000 1.07721 1.00054 1.25293 3.33068 317.602
4100 1.08732 0.995439 1.28545 3.36821 317.164
4200 1.09199 0.967846 1.28808 3.34792 298.169
4300 1.1119 0.981193 1.23579 3.32888 288.352
4400 1.10558 0.994879 1.23183 3.33229 281.306
4500 1.08761 0.990317 1.21855 3.29648 290.486
4600 1.0704 0.986563 1.21233 3.26929 316.419
4700 1.06421 1.02596 1.25066 3.34084 310.914
4800 1.08909 1.02449 1.25605 3.36962 312.343
4900 1.05199 0.991305 1.27846 3.32175 287.115
5000 1.08466 0.967204 1.26914 3.321 287.233
5100 1.13134 0.986806 1.25137 3.36952 296.915
5200 1.12095 1.01279 1.29792 3.43166 301.895
5300 1.12467 0.995826 1.27815 3.39865 317.739
5400 1.16286 0.969487 1.3104 3.44275 303.825
5500 1.15868 0.945757 1.33067 3.43511 295.664
5600 1.17595 0.993285 1.3224 3.49164 289.833
5700 1.21437 1.06029 1.31237 3.58702 293.556
5800 1.25405 1.04801 1.31914 3.62121 314.148
5900 1.24617 1.03115 1.31651 3.59384 311.463
6000 1.22414 1.04231 1.31403 3.58049 292.437
