# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.34326 0.308242 0.263061 0.914563 1538.01
200 0.737882 0.633001 0.589586 1.96047 899.035
300 0.87047 0.81677 0.71874 2.40598 630.588
400 0.874823 0.760824 0.698918 2.33456 429.36
500 0.84517 0.83223 0.709169 2.38657 319.128
600 0.953027 0.944615 0.744447 2.64209 292.274
700 1.00894 1.04073 0.763503 2.81318 275.075
800 1.05432 1.0367 0.835407 2.92643 276.155
900 1.25331 0.982366 0.849471 3.08515 319.301
1000 1.29291 0.990008 0.905157 3.18808 333.053
1100 1.25388 1.04874 0.98825 3.29086 298.18
1200 1.27497 1.06334 1.00619 3.3445 286.568
1300 1.33518 1.02864 1.05384 3.41766 279.186
1400 1.23174 1.05639 1.14635 3.43449 294.703
1500 1.21497 1.07496 1.09591 3.38584 320.185
1600 1.17773 1.07964 1.01326 3.27062 306.395
1700 1.27882 1.10352 0.968547 3.35089 292.494
1800 1.34912 1.14045 1.03954 3.52911 287.447
1900 1.32714 1.20842 1.12908 3.66463 293.137
2000 1.32974 1.25172 1.19868 3.78014 306.519
2100 1.40351 1.27715 1.28811 3.96877 304.548
2200 1.44185 1.33032 1.1698 3.94198 310.662
2300 1.4543 1.29756 1.17113 3.92299 292.863
2400 1.46114 1.30519 1.14197 3.9083 290.137
2500 1.51378 1.32613 1.13046 3.97036 301.542
2600 1.58038 1.33816 1.17726 4.09581 316.135
2700 1.57113 1.25562 1.25403 4.08078 299.309
2800 1.65201 1.24414 1.28996 4.18611 287.587
2900 1.63154 1.3234 1.2922 4.24714 286.471
3000 1.60142 1.35322 1.22916 4.1838 309.005
3100 1.55588 1.32257 1.21539 4.09385 304.165
3200 1.57436 1.28728 1.2671 4.12874 311.287
3300 1.60736 1.33278 1.23995 4.18009 298.888
3400 1.65575 1.28977 1.26042 4.20594 289.499
3500 1.72728 1.2434 1.22004 4.19071 286.694
3600 1.61768 1.26868 1.25224 4.1386 300.179
3700 1.47677 1.27328 1.27237 4.02243 306.974
3800 1.48784 1.25465 1.32937 4.07186 315.468
3900 1.55881 1.29884 1.35158 4.20923 307.633
4000 1.60239 1.33713 1.31176 4.25128 290.72
4100 1.51826 1.33323 1.34543 4.19692 286.454
4200 1.564 1.34646 1.25997 4.17042 293.712
4300 1.63056 1.34955 1.26661 4.24671 307.328
4400 1.59024 1.30653 1.31037 4.20715 311.775
4500 1.52798 1.32806 1.36627 4.22231 303.108
4600 1.45762 1.31248 1.32378 4.09387 295.135
4700 1.46901 1.32752 1.28015 4.07668 286.25
4800 1.44171 1.27036 1.34886 4.06093 302.343
4900 1.37642 1.18577 1.30022 3.86241 320.428
5000 1.40153 1.26865 1.27015 3.94033 298.243
5100 1.36484 1.2695 1.2268 3.86113 287.75
5200 1.33238 1.33427 1.30271 3.96935 293.465
5300 1.35343 1.44727 1.34492 4.14562 300.035
5400 1.3583 1.4611 1.40209 4.2215 309.596
5500 1.41487 1.48187 1.58059 4.47733 300.986
5600 1.43185 1.39922 1.65439 4.48546 296.674
5700 1.42898 1.40898 1.80276 4.64072 293.648
5800 1.36437 1.48502 1.96146 4.81085 303.664
5900 1.31406 1.49717 2.03403 4.84526 300.244
6000 1.31053 1.46297 1.95551 4.72902 294.471
6100 1.34994 1.50326 1.92422 4.77742 310.118
6200 1.40669 1.52005 1.91645 4.8432 300.74
6300 1.44289 1.44404 1.89753 4.78446 298.407
6400 1.42776 1.49147 1.91633 4.83556 295.01
6500 1.44389 1.4647 1.91683 4.82543 297.593
6600 1.46736 1.45883 1.81988 4.74607 312.57
6700 1.3889 1.44138 1.94157 4.77186 312.629
6800 1.44684 1.47399 2.12599 5.04682 288.922
6900 1.4639 1.52266 2.12807 5.11463 288.194
7000 1.48307 1.49537 2.01172 4.99016 298.184
7100 1.4918 1.50581 1.9502 4.94781 308.876
7200 1.48489 1.43336 2.0387 4.95695 303.872
7300 1.44112 1.46275 2.18774 5.09161 308.819
7400 1.47267 1.41633 2.21185 5.10085 292.45
7500 1.49494 1.39903 2.10549 4.99946 290.551
7600 1.56555 1.48406 2.01054 5.06015 292.981
7700 1.52357 1.44669 2.02975 5.00001 307.886
7800 1.49461 1.44082 2.05335 4.98878 308.606
7900 1.53177 1.43479 2.13077 5.09732 306.455
8000 1.55289 1.43361 2.22409 5.21059 298.285
8100 1.56177 1.50461 2.23782 5.3042 289.824
8200 1.57416 1.44711 2.26835 5.28963 291.474
8300 1.49861 1.45873 2.40489 5.36223 309.05
8400 1.50136 1.43291 2.45204 5.38631 305.856
8500 1.52241 1.43416 2.54814 5.50471 296.848
8600 1.47876 1.45139 2.60823 5.53839 306.991
8700 1.5554 1.4428 2.75245 5.75066 300.825
8800 1.69 1.44483 2.68067 5.8155 281.047
8900 1.73929 1.46658 2.60784 5.81371 294.174
9000 1.66879 1.46496 2.62968 5.76343 305.404
9100 1.63893 1.41543 2.79917 5.85353 310.124
9200 1.66682 1.38215 2.71032 5.75929 302.628
9300 1.6657 1.40201 2.71535 5.78307 293.841
9400 1.62503 1.44225 2.92799 5.99527 291.689
9500 1.63204 1.46184 2.98232 6.0762 282.615
9600 1.692 1.48357 3.09436 6.26992 283.412
9700 1.80025 1.52489 3.28934 6.61448 302.874
9800 1.8237 1.52448 3.49051 6.83869 299.605
9900 1.85982 1.5397 3.8312 7.23072 305.141
10000 1.79796 1.53406 4.11715 7.44918 303.459
10100 1.77414 1.57793 4.17561 7.52767 284.488
10200 1.72212 1.65404 4.01716 7.39332 271.713
10300 1.64438 1.66911 3.99641 7.30989 288.699
10400 1.62785 1.65194 3.92184 7.20164 296.249
