# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.014197 0.0130177 0.0150525 0.0422672 490.419
200 0.0395546 0.0336904 0.0305348 0.10378 413.599
300 0.052149 0.0456603 0.0391922 0.137002 365.277
400 0.0639118 0.0653014 0.0554031 0.184616 324.441
500 0.0823221 0.0754927 0.0732129 0.231028 299.816
600 0.0805355 0.0836088 0.083246 0.24739 280.018
700 0.0823755 0.0919688 0.0962494 0.270594 289.205
800 0.0933652 0.0875898 0.107783 0.288738 292.231
900 0.0964874 0.0903185 0.10902 0.295826 317.72
1000 0.113378 0.0997617 0.139497 0.352636 311.851
1100 0.118146 0.106639 0.158144 0.382928 300.431
1200 0.131704 0.125558 0.165365 0.422627 296.642
1300 0.134892 0.148382 0.176148 0.459422 291.978
1400 0.147458 0.162836 0.188872 0.499166 289.722
1500 0.160451 0.169496 0.19945 0.529397 302.74
1600 0.171723 0.182465 0.207165 0.561353 306.307
1700 0.169463 0.172038 0.197563 0.539064 313.16
1800 0.156972 0.169233 0.186094 0.512299 306.906
1900 0.16617 0.167568 0.205587 0.539325 295.927
2000 0.153863 0.12809 0.192687 0.474639 294.621
2100 0.14331 0.117716 0.163375 0.424401 286.542
2200 0.154431 0.127188 0.17606 0.457679 300.574
2300 0.172114 0.139095 0.20352 0.514729 308.36
2400 0.191052 0.151663 0.224747 0.567462 301.411
2500 0.194326 0.151479 0.230372 0.576177 297.671
2600 0.186117 0.137624 0.2224 0.546142 289.96
2700 0.207074 0.131398 0.226626 0.565098 284.284
2800 0.22557 0.150382 0.240559 0.616511 291.859
2900 0.23623 0.163185 0.261795 0.661209 297.71
3000 0.236744 0.159688 0.270857 0.667289 298.454
3100 0.223055 0.163887 0.256939 0.64388 309.436
3200 0.216217 0.168997 0.238516 0.62373 297.515
3300 0.195099 0.16141 0.228238 0.584747 288.486
3400 0.19265 0.155968 0.227178 0.575796 286.968
3500 0.189225 0.142245 0.223838 0.555307 292.324
3600 0.178634 0.137057 0.221268 0.536959 303.085
3700 0.1835 0.150533 0.252206 0.586239 299.262
3800 0.201076 0.167621 0.275053 0.64375 296.875
3900 0.21471 0.179824 0.272558 0.667092 305.334
4000 0.245544 0.182354 0.287796 0.715694 313.848
4100 0.242061 0.187261 0.293679 0.723001 306.777
4200 0.216157 0.193484 0.279524 0.689165 292.443
4300 0.214322 0.185798 0.276373 0.676492 296.613
4400 0.212359 0.191795 0.270273 0.674428 294.175
4500 0.209359 0.207071 0.27809 0.69452 317.007
4600 0.20523 0.19278 0.308163 0.706173 319.741
4700 0.205461 0.182486 0.302966 0.690913 304.921
4800 0.208336 0.186764 0.304172 0.699273 297.841
4900 0.229472 0.186487 0.316979 0.732939 299.726
5000 0.248389 0.187574 0.308737 0.744699 287.998
5100 0.246045 0.205069 0.315448 0.766562 289.058
5200 0.240715 0.225172 0.329073 0.794959 308.775
5300 0.252257 0.232571 0.333912 0.818739 305.638
5400 0.2273 0.220695 0.315766 0.763761 301.68
5500 0.209874 0.201763 0.307129 0.718766 296.48
