# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.412916 0.483707 0.352826 1.24945 2071.46
200 1.13194 1.04225 0.830635 3.00483 1140.96
300 1.52876 1.27926 1.08634 3.89436 727.073
400 1.48719 1.36165 1.26204 4.11088 502.15
500 1.38258 1.4637 1.36402 4.2103 371.761
600 1.41577 1.50255 1.46115 4.37947 309.9
700 1.46966 1.4879 1.53007 4.48762 270.453
800 1.51437 1.56138 1.56325 4.639 268.687
900 1.56292 1.60819 1.67726 4.84838 290.651
1000 1.6193 1.68346 1.75322 5.05599 314.166
1100 1.72495 1.75801 1.83574 5.3187 327.213
1200 1.76639 1.80339 1.89256 5.46234 326.692
1300 1.85412 1.84489 1.99397 5.69298 299.01
1400 1.99329 1.89169 2.14278 6.02776 304.64
1500 1.97521 1.96765 2.19208 6.13494 282.632
1600 1.9455 2.02981 2.24071 6.21602 274.972
1700 1.94386 2.14675 2.32997 6.42058 318.528
1800 1.93745 2.22662 2.42233 6.58641 319.846
1900 1.92233 2.31884 2.47604 6.71722 297.394
2000 1.97977 2.35996 2.48962 6.82936 292.067
2100 1.9996 2.45185 2.47798 6.92943 307.723
2200 2.06543 2.47003 2.45755 6.99301 292.674
2300 2.05685 2.42152 2.45733 6.9357 297.519
2400 2.10111 2.40403 2.38414 6.88928 295.785
2500 2.16967 2.57396 2.31534 7.05897 289.419
2600 2.18514 2.7303 2.34773 7.26317 303.457
2700 2.16891 2.83212 2.46412 7.46516 321.792
2800 2.17352 2.82084 2.61811 7.61246 305.339
2900 2.21883 2.83723 2.73319 7.78925 297.705
3000 2.34131 2.76379 2.85193 7.95704 287.66
3100 2.3458 2.78075 3.10383 8.23038 289.508
3200 2.45015 2.8383 3.10784 8.39629 292.719
3300 2.57317 2.87071 2.89271 8.33658 315.458
3400 2.59198 2.9522 2.6935 8.23768 309.805
3500 2.50394 2.89963 2.61001 8.01358 280.194
3600 2.44541 2.79974 2.64256 7.8877 294.873
3700 2.38516 2.8144 2.77836 7.97792 304.451
3800 2.30454 2.81399 2.85131 7.96985 317.466
3900 2.3605 2.7698 2.92168 8.05198 300.662
4000 2.29622 2.73664 2.9513 7.98415 294.984
4100 2.32047 2.8054 2.99988 8.12576 287.453
4200 2.38364 2.91268 3.02182 8.31814 294.651
4300 2.41624 3.01133 3.03206 8.45963 322.638
4400 2.50312 3.11118 3.15243 8.76673 318.49
4500 2.57833 3.10158 3.21837 8.89829 303.269
4600 2.61692 3.1105 3.14037 8.86779 291.936
4700 2.69378 3.1972 3.08869 8.97968 284.953
4800 2.78801 3.27846 3.04176 9.10823 282.426
4900 2.70592 3.30043 3.03464 9.041 315.289
5000 2.68544 3.42323 2.98579 9.09446 312.669
5100 2.78503 3.55361 2.95835 9.29698 296.811
5200 2.83858 3.58348 2.89793 9.31999 292.275
5300 2.80728 3.52776 2.94348 9.27852 292.521
5400 2.80848 3.58533 2.91011 9.30392 299.403
5500 2.92405 3.66136 2.99175 9.57716 311.526
5600 2.9299 3.73143 3.13971 9.80105 311.812
5700 3.03145 3.76272 3.20338 9.99755 293.075
5800 3.16757 3.73771 3.22967 10.135 285.805
5900 3.12769 3.68789 3.28138 10.097 296.618
6000 3.20635 3.75569 3.50461 10.4666 309.143
6100 3.22339 3.77852 3.67693 10.6788 307.972
6200 3.15838 3.77545 3.693 10.6268 318.404
6300 3.20259 3.80408 3.65939 10.6661 297.867
6400 3.25589 3.86914 3.58658 10.7116 273.34
6500 3.29213 3.90993 3.59195 10.794 275.022
6600 3.2916 3.9186 3.60252 10.8127 307.563
6700 3.28051 4.05142 3.64132 10.9733 328.313
6800 3.23824 4.13836 3.71772 11.0943 317.161
6900 3.20259 4.22529 3.73371 11.1616 291.967
7000 3.27791 4.16267 3.75173 11.1923 279.308
7100 3.38389 4.24379 3.79468 11.4224 288.734
7200 3.42775 4.26696 3.85335 11.5481 305.73
7300 3.42699 4.29032 3.86958 11.5869 311.713
7400 3.54006 4.32258 3.7926 11.6552 311.771
7500 3.56394 4.33546 3.81044 11.7098 297.743
7600 3.6251 4.32243 3.69304 11.6406 295.766
7700 3.66511 4.28465 3.66738 11.6171 285.382
7800 3.78391 4.31577 3.56828 11.668 310.418
7900 3.81337 4.27196 3.57549 11.6608 311.839
8000 3.75407 4.20898 3.60173 11.5648 301.778
8100 3.76155 4.20724 3.52772 11.4965 295.157
8200 3.80478 4.15313 3.49677 11.4547 291.05
8300 3.82234 4.14387 3.44921 11.4154 290.278
8400 3.77525 4.10805 3.51284 11.3961 289.991
8500 3.76302 4.08881 3.44767 11.2995 308.048
8600 3.76736 4.14776 3.52599 11.4411 322.104
8700 3.68666 4.21989 3.44214 11.3487 304.009
8800 3.50639 4.35023 3.48036 11.337 286.791
8900 3.46195 4.45124 3.43667 11.3499 286.677
9000 3.46522 4.55108 3.34964 11.3659 294.563
9100 3.48981 4.74777 3.45341 11.691 317.931
9200 3.48104 4.85693 3.62172 11.9597 314.608
9300 3.44782 4.91958 3.69643 12.0638 292.524
9400 3.6079 4.93188 3.75688 12.2967 284.803
9500 3.72753 4.87528 3.78916 12.392 293.482
9600 3.819 4.86206 3.81756 12.4986 302.546
9700 3.86326 4.82884 3.89347 12.5856 309.128
9800 3.88078 4.78298 3.94283 12.6066 325.005
9900 3.91289 4.72545 3.9628 12.6011 288.412
10000 4.1203 4.76218 3.93065 12.8131 274.959
10100 4.14597 4.81567 3.9948 12.9564 294.774
10200 4.00508 4.88458 3.96601 12.8557 314.055
10300 3.95326 5.02488 3.95708 12.9352 315.618
10400 4.03551 5.22077 3.95432 13.2106 298.011
10500 4.11421 5.31696 3.9779 13.4091 293.429
10600 4.2789 5.14024 3.95023 13.3694 286.686
10700 4.33441 5.07777 4.01021 13.4224 293.391
10800 4.21057 5.05841 4.19728 13.4663 300.982
10900 4.24536 5.0138 4.26666 13.5258 316.202
11000 4.32498 4.86814 4.43829 13.6314 307.178
11100 4.48844 4.75652 4.41728 13.6622 297.283
11200 4.52591 4.66672 4.40039 13.593 285.81
11300 4.3645 4.73867 4.41476 13.5179 305.712
11400 4.24234 4.65744 4.43456 13.3343 301.818
11500 4.1365 4.63481 4.40639 13.1777 301.053
11600 3.97952 4.70327 4.40549 13.0883 302.213
11700 3.85153 4.75722 4.31865 12.9274 300.958
