# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
0 6.15587e-31 0 1.1417e-30 1.75729e-30 300
100 0.00425282 0.005853 0.00600145 0.0161073 148.308
200 0.00795085 0.0100576 0.00714214 0.0251506 189.898
300 0.00647166 0.00821582 0.00625545 0.0209429 264.89
400 0.00682151 0.0076324 0.00672707 0.021181 274.122
500 0.00746423 0.00766388 0.0089766 0.0241047 298.205
600 0.00829102 0.0102135 0.00841105 0.0269156 324.786
700 0.00808825 0.0098867 0.00876407 0.026739 299.229
800 0.00746633 0.00740257 0.00674726 0.0216162 300.17
900 0.00610538 0.00632917 0.00711786 0.0195524 294.626
1000 0.0070243 0.00587474 0.00597095 0.01887 284.867
1100 0.00803572 0.00839984 0.00882808 0.0252636 290.883
1200 0.00859976 0.00703237 0.00731448 0.0229466 326.948
1300 0.00699564 0.00616609 0.00588847 0.0190502 334.472
1400 0.00907001 0.0090756 0.00825491 0.0264005 289.81
1500 0.0080551 0.00892344 0.00701086 0.0239894 288.049
1600 0.00785318 0.00724049 0.00746538 0.0225591 284.51
1700 0.00936749 0.0078962 0.00771471 0.0249784 289.219
1800 0.0094163 0.00892096 0.00702854 0.0253658 320.123
1900 0.00915958 0.00946682 0.0088687 0.0274951 314.811
2000 0.00766731 0.0082098 0.00806302 0.0239401 291.574
2100 0.00627891 0.00586405 0.00837512 0.0205181 286.976
2200 0.00769649 0.00668757 0.00660219 0.0209862 287.052
2300 0.00747582 0.00690449 0.00680202 0.0211823 291.719
2400 0.00822446 0.00605064 0.00783359 0.0221087 321.001
2500 0.00659855 0.00652737 0.00712318 0.0202491 294.857
2600 0.00759828 0.00676783 0.00711706 0.0214832 301.316
2700 0.00759976 0.00673685 0.00794838 0.022285 271.584
2800 0.00572891 0.00545303 0.00532464 0.0165066 293.954
2900 0.00725509 0.0072063 0.00688022 0.0213416 307.144
3000 0.00642893 0.00868783 0.00866642 0.0237832 297.105
3100 0.00614165 0.00634055 0.00646431 0.0189465 321.806
3200 0.00689616 0.00585702 0.00576602 0.0185192 289.478
3300 0.00673944 0.00701621 0.00621298 0.0199686 275.821
3400 0.00670322 0.0075562 0.00559541 0.0198548 288.014
3500 0.00582586 0.00673071 0.0066563 0.0192129 315.006
3600 0.0063263 0.00805779 0.00689038 0.0212745 273.482
3700 0.00543886 0.00645968 0.00713685 0.0190354 302.326
3800 0.00573124 0.00782899 0.00565479 0.019215 270.564
3900 0.0068279 0.0064925 0.00711721 0.0204376 282.242
4000 0.00643287 0.00681038 0.00645716 0.0197004 296.844
4100 0.00643305 0.00683996 0.00691846 0.0201915 308.967
4200 0.00660503 0.00863069 0.00545927 0.020695 299.467
4300 0.00494411 0.00737115 0.00708279 0.019398 306.464
4400 0.00674806 0.00733513 0.00630612 0.0203893 286.096
4500 0.00869931 0.0073695 0.00605364 0.0221225 275.693
4600 0.0071243 0.00713715 0.00616543 0.0204269 308.664
4700 0.00797169 0.00701357 0.007469 0.0224543 317.266
4800 0.00874097 0.00640128 0.007311 0.0224532 296.361
4900 0.00810108 0.00849737 0.0063937 0.0229922 311.298
5000 0.00771642 0.00882631 0.00751728 0.02406 286.811
5100 0.00906039 0.00755575 0.00574238 0.0223585 275.235
5200 0.00778481 0.00449682 0.0064158 0.0186974 291.113
5300 0.0080637 0.00819813 0.00647225 0.0227341 298.229
5400 0.010199 0.0100372 0.00852648 0.0287627 294.016
5500 0.0076293 0.0103051 0.00751494 0.0254493 311.834
5600 0.00816333 0.00808528 0.00756148 0.0238101 289.424
5700 0.00739817 0.00699834 0.00599349 0.02039 272.473
5800 0.00624688 0.00704852 0.00615025 0.0194457 283.889
5900 0.00766779 0.00859139 0.00716935 0.0234285 288.386
6000 0.0084085 0.00943056 0.0099399 0.027779 289.867
6100 0.00892975 0.00789745 0.00743324 0.0242604 314.391
6200 0.00766596 0.00705386 0.00704657 0.0217664 299.866
6300 0.00772668 0.0085322 0.00894453 0.0252034 272.35
6400 0.00931741 0.00814204 0.00732418 0.0247836 308.819
6500 0.00898069 0.00869149 0.00811056 0.0257827 309.924
6600 0.00976331 0.00816259 0.00820865 0.0261345 312.815
6700 0.00649994 0.00709927 0.00886502 0.0224642 331.441
6800 0.00911163 0.00710324 0.00758145 0.0237963 288.361
6900 0.00820127 0.00856732 0.00698342 0.023752 289.447
7000 0.00591441 0.00929195 0.00744667 0.022653 307.847
7100 0.00774271 0.00735563 0.00675409 0.0218524 325.505
7200 0.00810921 0.00669468 0.00767393 0.0224778 312.172
7300 0.00711515 0.007597 0.00714252 0.0218547 333.12
7400 0.00556584 0.00835839 0.00599079 0.019915 307.774
7500 0.00695767 0.00923045 0.00666076 0.0228489 296.67
7600 0.00749165 0.00768061 0.00680816 0.0219804 309.338
7700 0.00653092 0.00669799 0.00569203 0.0189209 302.712
7800 0.00850032 0.00689564 0.00740519 0.0228011 316.724
7900 0.00795387 0.00725009 0.00831966 0.0235236 292.828
8000 0.00770319 0.00728738 0.00618821 0.0211788 277.029
8100 0.00774687 0.0059828 0.0056219 0.0193516 285.604
8200 0.00700581 0.00552178 0.00817652 0.0207041 307.18
8300 0.00665514 0.00906895 0.00740133 0.0231254 312.822
8400 0.00801297 0.00828216 0.00719168 0.0234868 325.51
8500 0.00848625 0.00840791 0.00641718 0.0233113 287.886
8600 0.00660085 0.00485909 0.00547312 0.0169331 298.699
8700 0.00667093 0.00594705 0.00548695 0.0181049 277.655
8800 0.0075129 0.00741717 0.00692667 0.0218567 302.034
8900 0.0100469 0.00756986 0.0077312 0.025348 320.477
9000 0.00896146 0.00750431 0.00839828 0.024864 305.317
9100 0.00740078 0.00772858 0.00716273 0.0222921 308.185
9200 0.00580628 0.00641554 0.00650583 0.0187276 292.653
9300 0.00689851 0.00637341 0.00630518 0.0195771 288.909
9400 0.00718123 0.00829117 0.00702839 0.0225008 310.348
9500 0.00751657 0.00811536 0.00877743 0.0244094 307.473
9600 0.00730925 0.00620752 0.00702036 0.0205371 322.312
9700 0.00616523 0.00646386 0.0061942 0.0188233 294.577
9800 0.00695018 0.00769811 0.00704564 0.0216939 289.68
9900 0.00835609 0.00944666 0.00862313 0.0264259 286.79
10000 0.00805818 0.00932447 0.00747508 0.0248577 301.313
