# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0166455 0.0179838 0.0169465 0.0515758 185.34
200 0.0732321 0.073465 0.104134 0.250831 249.836
300 0.156787 0.155834 0.229046 0.541667 326.369
400 0.243935 0.240133 0.301714 0.785782 331.238
500 0.314514 0.32362 0.395967 1.0341 320.855
600 0.324329 0.409323 0.450303 1.18395 286.138
700 0.356382 0.398228 0.482832 1.23744 306.201
800 0.396843 0.422863 0.556103 1.37581 301.82
900 0.490372 0.517081 0.625787 1.63324 312.855
1000 0.534785 0.52028 0.70747 1.76254 282.78
1100 0.562517 0.527776 0.800917 1.89121 292.835
1200 0.550008 0.585161 0.920453 2.05562 305.964
1300 0.59105 0.639597 0.952506 2.18315 314.781
1400 0.660239 0.663785 0.955816 2.27984 365.833
1500 0.708019 0.744792 1.04394 2.49675 385.787
1600 0.80819 0.786941 1.03319 2.62832 347.235
1700 0.907683 0.754745 1.04949 2.71192 308.305
1800 0.939228 0.80901 1.12686 2.8751 304.982
1900 0.990877 0.856475 1.20325 3.0506 290.617
2000 1.00596 0.907193 1.16123 3.07438 298.824
2100 1.01438 0.903554 1.05914 2.97707 306.062
2200 1.00638 0.940439 0.933973 2.8808 291.393
2300 0.999562 0.933563 0.90554 2.83866 296.053
2400 0.998519 0.89592 0.904737 2.79918 302.976
2500 1.03531 0.845287 0.869129 2.74972 302.639
2600 1.07191 0.900167 0.857296 2.82938 341.399
2700 1.05131 0.923683 0.872265 2.84726 343.207
2800 1.05506 0.879029 0.870841 2.80493 346.609
2900 1.0493 0.960836 0.87949 2.88963 310.257
3000 1.01379 1.09438 0.857983 2.96616 288.634
3100 1.00039 1.21852 0.838997 3.05791 289.615
3200 1.074 1.29283 0.867587 3.23441 304.711
3300 1.13204 1.3142 0.908387 3.35463 305.666
3400 1.22922 1.24944 0.94215 3.4208 280.013
3500 1.20774 1.20466 0.930597 3.343 302.883
3600 1.19754 1.22033 0.950752 3.36863 306.32
3700 1.20535 1.24006 0.987389 3.4328 312.377
3800 1.07516 1.22455 0.941566 3.24128 307.534
3900 1.15184 1.24322 0.902999 3.29806 311.218
4000 1.18147 1.24926 0.946711 3.37744 306.592
4100 1.15993 1.2742 0.947619 3.38175 289.734
4200 1.18667 1.22306 0.927858 3.33759 310.545
4300 1.27043 1.25323 0.933974 3.45763 302.514
4400 1.35813 1.30125 0.949845 3.60923 303.425
4500 1.43291 1.31435 0.971969 3.71923 299.041
4600 1.47436 1.31873 1.00118 3.79427 297.627
4700 1.56836 1.39855 1.10576 4.07267 298.899
4800 1.59181 1.41499 1.20171 4.20851 290.454
4900 1.46934 1.47623 1.21224 4.15781 289.57
5000 1.54804 1.38136 1.26972 4.19912 291.168
