# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0108194 0.0101175 0.0119052 0.0328421 181.018
200 0.0431567 0.0419786 0.0384434 0.123579 219.5
300 0.0724763 0.0798652 0.0726471 0.224989 255.914
400 0.0965843 0.121918 0.106503 0.325005 284.392
500 0.122395 0.145576 0.130515 0.398486 310.934
600 0.145603 0.179194 0.153872 0.478669 314.628
700 0.149572 0.184226 0.17555 0.509348 319.804
800 0.160935 0.190499 0.194685 0.54612 298.854
900 0.176191 0.202826 0.197591 0.576608 290.347
1000 0.182498 0.215992 0.212538 0.611029 290.555
1100 0.183979 0.216366 0.222765 0.62311 303.119
1200 0.188421 0.228325 0.242499 0.659245 307.963
1300 0.176224 0.217625 0.23327 0.627119 300.337
1400 0.170635 0.214672 0.218077 0.603384 293.184
1500 0.18418 0.224657 0.21903 0.627867 306.896
1600 0.173863 0.213775 0.208616 0.596254 302.483
1700 0.162991 0.207821 0.205192 0.576003 294.523
1800 0.154969 0.202949 0.214693 0.572611 298.04
1900 0.153203 0.206228 0.226646 0.586077 285.013
2000 0.160093 0.202832 0.220998 0.583922 293.299
2100 0.174253 0.217463 0.208841 0.600557 301.422
2200 0.175119 0.241823 0.213296 0.630238 307.702
2300 0.165187 0.220767 0.22705 0.613005 311.82
2400 0.172435 0.21232 0.242009 0.626765 287.779
2500 0.161647 0.205121 0.226153 0.592921 293.679
2600 0.162433 0.191283 0.205187 0.558903 301.38
2700 0.155653 0.201431 0.206954 0.564037 303.104
2800 0.173074 0.199168 0.226801 0.599043 294.881
2900 0.178822 0.196805 0.241922 0.617549 300.952
3000 0.18582 0.191304 0.220217 0.597341 315.285
3100 0.213306 0.208886 0.239283 0.661475 325.478
3200 0.237338 0.243375 0.254518 0.73523 309.938
3300 0.2288 0.236644 0.257301 0.722745 296.167
3400 0.217016 0.226004 0.252948 0.695968 297.76
3500 0.202342 0.212851 0.242522 0.657714 298.699
3600 0.183907 0.197201 0.221771 0.602878 298.973
3700 0.182171 0.202247 0.225688 0.610106 308.566
3800 0.187559 0.205252 0.228264 0.621075 313.079
3900 0.194889 0.214734 0.239715 0.649338 308.871
4000 0.202183 0.211956 0.239928 0.654066 288.824
4100 0.2069 0.21325 0.241032 0.661181 294.441
4200 0.208735 0.223467 0.245189 0.677392 307.59
4300 0.214351 0.231234 0.249677 0.695262 308.491
4400 0.217866 0.232636 0.244892 0.695394 294.729
4500 0.217574 0.229011 0.243943 0.690528 291.06
4600 0.210486 0.227491 0.252756 0.690733 292.187
4700 0.218665 0.236503 0.278513 0.733681 294.338
4800 0.227106 0.231595 0.258901 0.717603 305.467
4900 0.237577 0.244361 0.262116 0.744054 308.992
5000 0.231681 0.240862 0.243864 0.716407 300.417
