# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0158601 0.0124729 0.0149577 0.0432906 201.562
200 0.062056 0.0639253 0.064893 0.190874 271.975
300 0.118396 0.125563 0.124183 0.368142 321.18
400 0.186547 0.167562 0.174965 0.529074 336.662
500 0.224906 0.211491 0.213162 0.649559 329.328
600 0.255593 0.239668 0.248562 0.743823 314.351
700 0.281752 0.285294 0.237377 0.804422 336.414
800 0.294335 0.331401 0.251026 0.876762 339.975
900 0.315639 0.361842 0.269168 0.946649 328.825
1000 0.367716 0.364987 0.324359 1.05706 308.414
1100 0.393022 0.379337 0.349958 1.12232 303.767
1200 0.382823 0.39038 0.362195 1.1354 295.072
1300 0.406304 0.397141 0.363674 1.16712 299.912
1400 0.417638 0.44896 0.426727 1.29332 298.748
1500 0.430034 0.500179 0.420359 1.35057 310.754
1600 0.488288 0.535629 0.462724 1.48664 337.752
1700 0.542762 0.573084 0.482066 1.59791 335.693
1800 0.578285 0.567665 0.482468 1.62842 307.503
1900 0.600765 0.600171 0.484482 1.68542 308.635
2000 0.655577 0.621022 0.478545 1.75514 309.898
2100 0.642596 0.637374 0.462559 1.74253 300.585
2200 0.663165 0.609324 0.524334 1.79682 298.762
2300 0.679299 0.62018 0.5875 1.88698 293.726
2400 0.644747 0.638596 0.553748 1.83709 299.617
2500 0.615991 0.60128 0.559798 1.77707 309.933
2600 0.591975 0.562333 0.590885 1.74519 312.155
2700 0.593672 0.586035 0.55774 1.73745 301.864
2800 0.553215 0.604947 0.562376 1.72054 295.992
2900 0.528064 0.670412 0.561857 1.76033 306.288
3000 0.577174 0.681982 0.585345 1.8445 298.542
3100 0.607687 0.702047 0.622417 1.93215 302.696
3200 0.597306 0.684622 0.611285 1.89321 315.28
3300 0.620645 0.675539 0.610544 1.90673 310.236
3400 0.636563 0.664796 0.608391 1.90975 301.505
3500 0.654341 0.706309 0.601999 1.96265 297.678
3600 0.629797 0.697532 0.619819 1.94715 297.086
3700 0.638493 0.682861 0.631274 1.95263 292.423
3800 0.657298 0.674632 0.624711 1.95664 298.183
3900 0.614114 0.690111 0.630378 1.9346 328.985
4000 0.614348 0.731183 0.637937 1.98347 308.014
4100 0.600233 0.756709 0.655227 2.01217 313.691
4200 0.563045 0.776771 0.673683 2.0135 309.035
4300 0.575199 0.767007 0.682545 2.02475 299.341
4400 0.592868 0.77712 0.664611 2.0346 303.158
4500 0.635609 0.770765 0.638765 2.04514 298.394
4600 0.685853 0.79955 0.641332 2.12673 299.061
4700 0.704655 0.813885 0.672101 2.19064 301.877
4800 0.69738 0.78938 0.707118 2.19388 306.412
4900 0.714837 0.812678 0.722436 2.24995 333.177
5000 0.732358 0.883652 0.745774 2.36178 340.012
