# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0177175 0.0267136 0.0216639 0.066095 205.288
200 0.0795605 0.134485 0.0935734 0.307619 248.275
300 0.172776 0.254417 0.180736 0.607929 303.712
400 0.248394 0.342918 0.258097 0.849409 322.967
500 0.305654 0.400292 0.339121 1.04507 329.369
600 0.361345 0.454761 0.417592 1.2337 329.556
700 0.408524 0.524496 0.448432 1.38145 298.785
800 0.457969 0.583813 0.476904 1.51869 356.523
900 0.48634 0.64108 0.514098 1.64152 362.748
1000 0.584077 0.771122 0.530814 1.88601 349.355
1100 0.690323 0.867688 0.575833 2.13384 317.104
1200 0.711756 0.866585 0.628785 2.20713 305.989
1300 0.737133 0.923138 0.666586 2.32686 308
1400 0.777221 0.973658 0.696963 2.44784 301.014
1500 0.827868 1.05841 0.767682 2.65396 301.855
1600 0.880043 1.09133 0.89375 2.86512 297.585
1700 0.960824 1.05381 1.00531 3.01995 290.406
1800 1.03399 1.07999 1.0509 3.16488 317.342
1900 1.08245 1.09028 1.15996 3.33268 331.726
2000 1.15175 1.11091 1.22078 3.48345 314.929
2100 1.21071 1.14472 1.21191 3.56734 322.418
2200 1.28803 1.20341 1.22808 3.71952 324.563
2300 1.41911 1.3081 1.27262 3.99982 327.973
2400 1.4776 1.41724 1.35606 4.2509 320.353
2500 1.50365 1.4658 1.40129 4.37075 316.101
2600 1.41919 1.54506 1.40149 4.36573 328.216
2700 1.38087 1.65363 1.5105 4.545 352.511
2800 1.47594 1.75073 1.66508 4.89175 348.797
2900 1.54085 1.82598 1.73118 5.09801 303.683
3000 1.55805 1.88176 1.737 5.17681 315.755
3100 1.59249 1.84967 1.69544 5.1376 296.624
3200 1.63065 1.82593 1.66979 5.12637 298.664
3300 1.69837 1.80998 1.67178 5.18013 288.669
3400 1.80433 1.7981 1.67803 5.28046 309.312
3500 1.85178 1.79373 1.66852 5.31404 302.273
3600 1.94718 1.79338 1.62038 5.36094 286.254
3700 1.9928 1.78735 1.52571 5.30586 309.918
3800 2.02927 1.764 1.6131 5.40636 308.971
3900 2.0151 1.77217 1.70286 5.49013 305.849
4000 2.01515 1.93056 1.84325 5.78895 297.975
4100 2.06139 2.07516 1.91036 6.04692 304.879
4200 1.95012 2.1865 2.01123 6.14784 297.954
4300 1.94201 2.31635 1.93939 6.19775 300.369
4400 1.92444 2.41851 1.81483 6.15778 345.115
4500 2.0177 2.33981 1.8031 6.16061 359.041
4600 2.10133 2.3725 1.84241 6.31623 349.02
4700 2.12344 2.50656 1.81881 6.44881 325.275
4800 2.20996 2.66787 1.84086 6.71869 317.54
4900 2.45699 2.67218 1.87003 6.99919 307.809
5000 2.57245 2.69181 1.85161 7.11588 294.817
