# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0140457 0.0127711 0.0170268 0.0438436 187.336
200 0.0611791 0.0551458 0.0598771 0.176202 246.116
300 0.11106 0.115063 0.0978478 0.323971 311.286
400 0.155332 0.187193 0.140986 0.483511 351.997
500 0.212762 0.21781 0.202711 0.633283 336.855
600 0.247235 0.249463 0.240159 0.736857 309.642
700 0.292357 0.265351 0.291851 0.84956 316.774
800 0.353681 0.319212 0.340884 1.01378 303.772
900 0.40336 0.381582 0.350855 1.1358 301.87
1000 0.444553 0.400812 0.385618 1.23098 304.355
1100 0.512875 0.409599 0.397704 1.32018 303.206
1200 0.576645 0.463201 0.422314 1.46216 314.957
1300 0.578524 0.539915 0.448204 1.56664 306.346
1400 0.630607 0.525823 0.467789 1.62422 310.222
1500 0.711179 0.543473 0.509594 1.76425 312.975
1600 0.717315 0.550918 0.567125 1.83536 300.058
1700 0.6761 0.50879 0.569056 1.75395 295.981
1800 0.65515 0.499195 0.544223 1.69857 291.001
1900 0.627474 0.508756 0.531807 1.66804 302.969
2000 0.625814 0.483395 0.492171 1.60138 315.827
2100 0.625135 0.451419 0.496671 1.57323 297.12
2200 0.622785 0.461534 0.508504 1.59282 285.215
2300 0.611507 0.501669 0.495022 1.6082 272.354
2400 0.607208 0.550793 0.521778 1.67978 278.344
2500 0.646146 0.587502 0.529747 1.7634 288.585
2600 0.700934 0.609877 0.550009 1.86082 299.19
2700 0.732897 0.624951 0.579896 1.93774 301.444
2800 0.756749 0.631821 0.590992 1.97956 314.502
2900 0.763285 0.637237 0.583799 1.98432 305.608
3000 0.743477 0.621338 0.603698 1.96851 304.859
3100 0.746714 0.660233 0.627473 2.03442 303.592
3200 0.760207 0.653831 0.633408 2.04745 305.434
3300 0.746122 0.620871 0.627563 1.99456 299.529
3400 0.745305 0.633513 0.609547 1.98836 301.905
3500 0.735902 0.651603 0.632672 2.02018 295.969
3600 0.722613 0.633188 0.613256 1.96906 296.058
3700 0.750296 0.653663 0.593203 1.99716 296.859
3800 0.76334 0.666028 0.573325 2.00269 299.207
3900 0.729473 0.671906 0.568639 1.97002 297.354
4000 0.705078 0.662099 0.583694 1.95087 306.5
4100 0.758451 0.66049 0.599454 2.01839 320.318
4200 0.768353 0.66007 0.616311 2.04473 318.41
4300 0.779231 0.659724 0.638403 2.07736 314.104
4400 0.777079 0.652082 0.679727 2.10889 298.067
4500 0.764928 0.660585 0.647111 2.07262 295.235
4600 0.809816 0.690687 0.644881 2.14538 290.338
4700 0.818324 0.729111 0.643123 2.19056 307.385
4800 0.839869 0.782842 0.642771 2.26548 320.213
4900 0.898747 0.823073 0.606686 2.32851 305.693
5000 0.886556 0.803346 0.583991 2.27389 298.865
