# Structure               Density         msd                   
333-EXP-11-vasp          1.4594291       3.37427
333-EXP-1-vasp           1.5329564       3.79783
333-EXP-27-vasp          1.5382232       2.66982
333-EXP-6-vasp           1.3867102       4.19912
333-HD-100C-11-VASP      1.9939932       0.716407
333-HD-100C-14-VASP      1.8952586       0.875916
333-HD-100C-20-VASP      1.9525358       0.751377
333-RV-31-vasp           1.4204665       7.11588
333-RV-32-vasp           1.400369        7.86417
333U-50C-14-vasp         1.6093426       3.9014
333U-50C-1-vasp          1.6616584       3.14703
333U-50C-20-vasp         1.7278661       2.36178
333U-50C-26-vasp         1.4343051       7.49803
333U-50C-33-vasp         1.701333        2.31165
333U-50C-48-vasp         1.7215889       2.27389
333U-50C-5-vasp          1.6516858       4.28852
333U-50C-9-vasp          1.7478941       1.75836
