# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0179809 0.0167784 0.0184883 0.0532477 299.043
200 0.0638864 0.0652867 0.0597807 0.188954 299.061
300 0.0891204 0.112383 0.0983475 0.299851 319.679
400 0.109152 0.171125 0.138482 0.418759 317.973
500 0.121532 0.157353 0.15958 0.438466 300.557
600 0.126074 0.159056 0.168437 0.453567 300.252
700 0.143423 0.162045 0.169499 0.474967 291.26
800 0.141859 0.15252 0.163161 0.457539 299.884
900 0.148466 0.169089 0.170868 0.488422 313.617
1000 0.166115 0.21557 0.173656 0.555341 309.405
1100 0.187339 0.23326 0.18028 0.600878 293.357
1200 0.183419 0.254176 0.18969 0.627285 294.278
1300 0.18699 0.255093 0.180075 0.622157 292.638
1400 0.176138 0.227005 0.157165 0.560308 304.388
1500 0.16489 0.200766 0.174636 0.540293 313.804
1600 0.168109 0.190634 0.166956 0.525699 306.174
1700 0.179578 0.188201 0.168165 0.535944 294.86
1800 0.173419 0.199648 0.177076 0.550143 300.426
1900 0.16036 0.194058 0.16491 0.519328 299.519
2000 0.160772 0.16096 0.155342 0.477074 302.486
2100 0.164542 0.15401 0.170633 0.489184 314.998
2200 0.175172 0.149195 0.170059 0.494426 308.821
2300 0.185948 0.173365 0.172183 0.531496 292.577
2400 0.192806 0.189922 0.174193 0.556922 293.896
2500 0.195847 0.208539 0.186997 0.591383 305.228
2600 0.181095 0.223229 0.188695 0.593019 316.293
2700 0.200393 0.254294 0.205051 0.659738 303.517
2800 0.211715 0.242669 0.222124 0.676508 287.419
2900 0.209025 0.22008 0.225326 0.65443 292.62
3000 0.215581 0.218896 0.214636 0.649113 301.874
3100 0.211698 0.237608 0.195753 0.645059 307.569
3200 0.219125 0.255211 0.220705 0.695042 305.07
3300 0.226461 0.286471 0.238058 0.750991 323.253
3400 0.236122 0.283028 0.231085 0.750234 317.39
3500 0.239771 0.263297 0.213336 0.716404 296.898
3600 0.24196 0.257223 0.201316 0.700499 301.03
3700 0.237179 0.253838 0.201878 0.692895 301.399
3800 0.232729 0.252718 0.20605 0.691497 285.238
3900 0.247441 0.242415 0.215393 0.705249 290.661
4000 0.247536 0.228688 0.230967 0.707191 293.763
4100 0.239698 0.210401 0.243915 0.694015 305.223
4200 0.229715 0.227507 0.274776 0.731997 307.029
4300 0.231772 0.239728 0.286042 0.757542 309.701
4400 0.262529 0.245669 0.293615 0.801814 287.339
4500 0.269443 0.260898 0.285494 0.815835 285.214
4600 0.28575 0.248825 0.281748 0.816323 304.6
4700 0.31864 0.261491 0.292378 0.872509 304.617
4800 0.305821 0.276326 0.290179 0.872326 300.248
4900 0.289302 0.265788 0.294924 0.850014 291.024
5000 0.289209 0.250516 0.292719 0.832444 284.872
5100 0.281814 0.236671 0.292109 0.810593 288.566
5200 0.260519 0.215618 0.287052 0.763189 298.135
5300 0.250274 0.205275 0.29093 0.746479 304.095
5400 0.251191 0.206288 0.272158 0.729636 302.175
5500 0.265262 0.228576 0.275062 0.7689 290.432
5600 0.271674 0.261926 0.272794 0.806393 275.155
5700 0.269006 0.276165 0.272426 0.817597 303.698
5800 0.275605 0.308543 0.267512 0.85166 302.046
5900 0.277742 0.338917 0.277972 0.894631 300.58
6000 0.266042 0.324954 0.283882 0.874878 307.773
6100 0.255501 0.291247 0.265161 0.811909 299.708
6200 0.242944 0.262625 0.272195 0.777765 291.629
6300 0.254148 0.2521 0.296177 0.802426 286.063
6400 0.234818 0.226234 0.271774 0.732826 297.328
6500 0.220222 0.224289 0.256438 0.700949 304.368
